cancer.type	eQTL.type	tagSNP	LD	SNP.ID	SNP.position.hg19	Gene.symbol	Gene.position.hg19	Beta	t-stat	P-value	GWAS-Traits	
SKCM	cis	1	rs1018184	chr6:86648475	SNHG5	chr6:86386726-86388451:-	0.53	4.92	4.79E-6	Response to antipsychotic treatment	
SKCM	cis	1	rs1025646	chr3:41754422	ULK4	chr3:41288091-42003660:-	0.79	5.07	2.64E-6	Diastolic blood pressure	
SKCM	cis	1	rs1042658	chr17:38173902	GSDMA	chr17:38119226-38134019:+	-0.29	-5.02	3.14E-6	Neutrophil count;White blood cell count;C-reactive protein and white blood cell count	
SKCM	cis	1	rs10455158	chr6:86672825	SNHG5	chr6:86386726-86388451:-	-0.56	-5.34	8.91E-7	Response to antipsychotic treatment	
SKCM	cis	1	rs10455449	chr6:86592226	SNHG5	chr6:86386726-86388451:-	-0.55	-5.16	1.85E-6	Response to antipsychotic treatment	
SKCM	cis	1	rs10455455	chr6:86670214	SNHG5	chr6:86386726-86388451:-	-0.55	-5.23	1.41E-6	Response to antipsychotic treatment	
SKCM	cis	1	rs10455456	chr6:86670322	SNHG5	chr6:86386726-86388451:-	-0.56	-5.34	8.91E-7	Response to antipsychotic treatment	
SKCM	cis	1	rs10461617	chr5:56104308	C5orf35	chr5:56205103-56213010:+	0.75	4.84	6.55E-6	Type 2 diabetes	
SKCM	cis	1	rs10498958	chr6:86649705	SNHG5	chr6:86386726-86388451:-	0.54	5.26	1.25E-6	Response to antipsychotic treatment	
SKCM	cis	1	rs10501335	chr11:55306577	OR4A16	chr11:55110677-55111661:+	0.9	4.97	3.85E-6	Systemic lupus erythematosus	
SKCM	cis	1	rs10501336	chr11:55315519	OR4A16	chr11:55110677-55111661:+	0.9	4.97	3.85E-6	Systemic lupus erythematosus	
SKCM	cis	1	rs10843647	chr12:30341934	ERGIC2	chr12:29493580-29534143:-	0.32	4.77	8.32E-6	Glucose homeostasis traits	
SKCM	cis	1	rs10896043	chr11:65543827	SNX32	chr11:65601410-65621170:+	-0.81	-5.31	1.02E-6	Systemic lupus erythematosus	
SKCM	cis	1	rs10944161	chr6:86630376	SNHG5	chr6:86386726-86388451:-	-0.55	-5.23	1.41E-6	Response to antipsychotic treatment	
SKCM	cis	1	rs10944163	chr6:86658693	SNHG5	chr6:86386726-86388451:-	-0.55	-5.23	1.41E-6	Response to antipsychotic treatment	
SKCM	cis	1	rs10944169	chr6:86683036	SNHG5	chr6:86386726-86388451:-	-0.56	-5.37	7.86E-7	Response to antipsychotic treatment	
SKCM	cis	1	rs10944170	chr6:86685469	SNHG5	chr6:86386726-86388451:-	-0.56	-5.41	6.72E-7	Response to antipsychotic treatment	
SKCM	cis	1	rs10951138	chr7:26481804	HOXA11	chr7:27220777-27224842:-	0.72	4.79	7.91E-6	Visceral adipose tissue/subcutaneous adipose tissue ratio	
SKCM	cis	1	rs11014976	chr10:26450959	GAD2	chr10:26505236-26593491:+	0.48	4.93	4.54E-6	Obesity-related traits	
SKCM	cis	1	rs11103631	chr9:137906694	OLFM1	chr9:137967089-138013031:+	-0.66	-4.72	1.02E-5	Trans-epidermal water loss	
