cancer.type	eQTL.type	tagSNP	LD	SNP.ID	SNP.position.hg19	Gene.symbol	Gene.position.hg19	Beta	t-stat	P-value	GWAS-Traits	
KICH	cis	1	rs1013338	chr22:38974154	CBY1	chr22:39052658-39069853:+	0.74	5.39	3.13E-6	Resting heart rate	
KICH	cis	1	rs1016669	chr3:41894440	ULK4	chr3:41288091-42003660:-	0.96	8.21	3.4E-10	Diastolic blood pressure	
KICH	cis	1	rs10212536	chr3:41827026	ULK4	chr3:41288091-42003660:-	0.99	8.69	7.7E-11	Diastolic blood pressure	
KICH	cis	1	rs1025646	chr3:41754422	ULK4	chr3:41288091-42003660:-	0.89	5.87	6.7E-7	Diastolic blood pressure	
KICH	cis	1	rs1052501	chr3:41925398	ULK4	chr3:41288091-42003660:-	-0.99	-8.74	6.58E-11	Diastolic blood pressure	
KICH	cis	1	rs1056610	chr22:39080078	CBY1	chr22:39052658-39069853:+	-0.76	-5.6	1.62E-6	Resting heart rate	
KICH	cis	1	rs10734259	chr11:18314865	GTF2H1	chr11:18343816-18388590:+	0.45	5.1	8.08E-6	Pancreatic cancer	
KICH	cis	1	rs10741741	chr11:18342081	GTF2H1	chr11:18343816-18388590:+	-0.47	-5.18	6.2E-6	Pancreatic cancer	
KICH	cis	1	rs10741742	chr11:18342160	GTF2H1	chr11:18343816-18388590:+	0.47	5.48	2.36E-6	Pancreatic cancer	
KICH	cis	1	rs10832921	chr11:18380835	GTF2H1	chr11:18343816-18388590:+	0.47	5.34	3.69E-6	Pancreatic cancer	
KICH	cis	1	rs10865914	chr3:41919499	ULK4	chr3:41288091-42003660:-	-0.99	-8.74	6.58E-11	Diastolic blood pressure	
KICH	cis	1	rs11161511	chr1:76210477	ACADM	chr1:76190043-76229353:+	-0.49	-5.24	5.14E-6	Blood metabolite levels;Acylcarnitine levels	
KICH	cis	1	rs1125203	chr3:41760895	ULK4	chr3:41288091-42003660:-	0.94	7.6	2.36E-9	Diastolic blood pressure	
KICH	cis	1	rs1140047	chr11:18327684	GTF2H1	chr11:18343816-18388590:+	0.45	5.1	8.08E-6	Pancreatic cancer	
KICH	cis	1	rs114960066	chr3:41882323	ULK4	chr3:41288091-42003660:-	1	8.66	8.29E-11	Diastolic blood pressure	
KICH	cis	1	rs11701281	chr21:35314242	FAM165B	chr21:35747749-35775074:+	1.35	5.32	3.96E-6	Red blood cell traits	
KICH	cis	1	rs11701963	chr21:35323657	FAM165B	chr21:35747749-35775074:+	1.26	5.21	5.75E-6	Red blood cell traits	
KICH	cis	1	rs11923562	chr3:41760331	ULK4	chr3:41288091-42003660:-	0.89	5.87	6.7E-7	Diastolic blood pressure	
KICH	cis	1	rs11928580	chr3:41885722	ULK4	chr3:41288091-42003660:-	1	8.66	8.29E-11	Diastolic blood pressure	
KICH	cis	1	rs12286683	chr11:18348662	GTF2H1	chr11:18343816-18388590:+	0.45	5.1	8.08E-6	Pancreatic cancer	
KICH	cis	1	rs12639255	chr3:41861738	ULK4	chr3:41288091-42003660:-	0.96	7.75	1.45E-9	Diastolic blood pressure	
KICH	cis	1	rs13047059	chr21:35327602	FAM165B	chr21:35747749-35775074:+	1.29	5.17	6.44E-6	Red blood cell traits	
KICH	cis	1	rs13087719	chr3:41951576	ULK4	chr3:41288091-42003660:-	-0.99	-8.74	6.58E-11	Diastolic blood pressure	
KICH	cis	1	rs13252719	chr8:71734569	XKR9	chr8:71581600-71648176:+	1.06	11.33	3.34E-14	Bone mineral density	
KICH	cis	1	rs13253842	chr8:71625503	XKR9	chr8:71581600-71648176:+	1.05	11.27	3.89E-14	Bone mineral density	
KICH	cis	1	rs13325965	chr3:41914942	ULK4	chr3:41288091-42003660:-	1	6.71	4.25E-8	Diastolic blood pressure	
KICH	cis	1	rs1385499	chr8:119974708	COLEC10	chr8:120079424-120119195:+	-0.66	-5.72	1.09E-6	Bone mineral density (hip);Bone mineral density	
KICH	cis	1	rs1520884	chr11:18309700	GTF2H1	chr11:18343816-18388590:+	-0.45	-5.1	8.08E-6	Pancreatic cancer	
KICH	cis	1	rs1564716	chr3:41862613	ULK4	chr3:41288091-42003660:-	0.96	7.75	1.45E-9	Diastolic blood pressure	
KICH	cis	1	rs1607908	chr3:41905196	ULK4	chr3:41288091-42003660:-	0.99	8.74	6.58E-11	Diastolic blood pressure	
KICH	cis	1	rs1612124	chr3:41967893	ULK4	chr3:41288091-42003660:-	-0.97	-8.04	5.9E-10	Diastolic blood pressure	
KICH	cis	1	rs1613759	chr3:41906183	ULK4	chr3:41288091-42003660:-	0.99	8.74	6.58E-11	Diastolic blood pressure	
KICH	cis	1	rs1615243	chr3:41965234	ULK4	chr3:41288091-42003660:-	-0.99	-8.74	6.58E-11	Diastolic blood pressure	
KICH	cis	1	rs1615543	chr3:41906404	ULK4	chr3:41288091-42003660:-	0.99	8.74	6.58E-11	Diastolic blood pressure	
KICH	cis	1	rs1628874	chr3:41955714	ULK4	chr3:41288091-42003660:-	-0.99	-8.74	6.58E-11	Diastolic blood pressure	
KICH	cis	1	rs1629460	chr3:41927449	ULK4	chr3:41288091-42003660:-	-0.99	-8.74	6.58E-11	Diastolic blood pressure	
KICH	cis	1	rs17061431	chr3:41792655	ULK4	chr3:41288091-42003660:-	0.94	7.15	1.02E-8	Diastolic blood pressure	
KICH	cis	1	rs17062109	chr3:41810364	ULK4	chr3:41288091-42003660:-	0.99	8.74	6.58E-11	Diastolic blood pressure	
KICH	cis	1	rs17063584	chr3:41861463	ULK4	chr3:41288091-42003660:-	0.96	7.75	1.45E-9	Diastolic blood pressure	
KICH	cis	1	rs17063599	chr3:41861676	ULK4	chr3:41288091-42003660:-	0.96	7.75	1.45E-9	Diastolic blood pressure	
KICH	cis	1	rs17063649	chr3:41863406	ULK4	chr3:41288091-42003660:-	0.96	7.75	1.45E-9	Diastolic blood pressure	
KICH	cis	1	rs17064124	chr3:41890803	ULK4	chr3:41288091-42003660:-	0.96	8.21	3.4E-10	Diastolic blood pressure	
KICH	cis	1	rs1716642	chr3:41965865	ULK4	chr3:41288091-42003660:-	-0.99	-8.74	6.58E-11	Diastolic blood pressure	
KICH	cis	1	rs1716644	chr3:41968028	ULK4	chr3:41288091-42003660:-	-0.97	-8.04	5.9E-10	Diastolic blood pressure	
KICH	cis	1	rs1716651	chr3:41975099	ULK4	chr3:41288091-42003660:-	-0.99	-8.74	6.58E-11	Diastolic blood pressure	
KICH	cis	1	rs1716657	chr3:41918456	ULK4	chr3:41288091-42003660:-	-0.99	-8.74	6.58E-11	Diastolic blood pressure	
KICH	cis	1	rs1716660	chr3:41929960	ULK4	chr3:41288091-42003660:-	-0.99	-8.74	6.58E-11	Diastolic blood pressure	
KICH	cis	1	rs1716661	chr3:41962818	ULK4	chr3:41288091-42003660:-	-0.99	-8.74	6.58E-11	Diastolic blood pressure	
KICH	cis	1	rs1716664	chr3:41948378	ULK4	chr3:41288091-42003660:-	-0.99	-8.74	6.58E-11	Diastolic blood pressure	
KICH	cis	1	rs1716668	chr3:41907850	ULK4	chr3:41288091-42003660:-	0.99	8.74	6.58E-11	Diastolic blood pressure	
KICH	cis	1	rs1716669	chr3:41908681	ULK4	chr3:41288091-42003660:-	0.99	8.74	6.58E-11	Diastolic blood pressure	
KICH	cis	1	rs1716676	chr3:41903208	ULK4	chr3:41288091-42003660:-	0.99	8.74	6.58E-11	Diastolic blood pressure	
KICH	cis	1	rs1716683	chr3:41923074	ULK4	chr3:41288091-42003660:-	-0.99	-8.74	6.58E-11	Diastolic blood pressure	
KICH	cis	1	rs1716685	chr3:41925301	ULK4	chr3:41288091-42003660:-	0.99	8.74	6.58E-11	Diastolic blood pressure	
KICH	cis	1	rs1716688	chr3:41926546	ULK4	chr3:41288091-42003660:-	-0.99	-8.74	6.58E-11	Diastolic blood pressure	
KICH	cis	1	rs1716690	chr3:41922102	ULK4	chr3:41288091-42003660:-	-0.99	-8.74	6.58E-11	Diastolic blood pressure	
KICH	cis	1	rs1716692	chr3:41983786	ULK4	chr3:41288091-42003660:-	-0.99	-8.74	6.58E-11	Diastolic blood pressure	
KICH	cis	1	rs1716693	chr3:41985600	ULK4	chr3:41288091-42003660:-	-0.96	-8.21	3.4E-10	Diastolic blood pressure	
KICH	cis	1	rs1716696	chr3:41935811	ULK4	chr3:41288091-42003660:-	-0.99	-8.74	6.58E-11	Diastolic blood pressure	
KICH	cis	1	rs1716984	chr3:41965532	ULK4	chr3:41288091-42003660:-	-0.99	-8.74	6.58E-11	Diastolic blood pressure	
KICH	cis	1	rs1716987	chr3:41970516	ULK4	chr3:41288091-42003660:-	-0.97	-8.04	5.9E-10	Diastolic blood pressure	
KICH	cis	1	rs1716993	chr3:41974556	ULK4	chr3:41288091-42003660:-	-0.97	-8.04	5.9E-10	Diastolic blood pressure	
KICH	cis	1	rs1716997	chr3:41924333	ULK4	chr3:41288091-42003660:-	-0.99	-8.74	6.58E-11	Diastolic blood pressure	
KICH	cis	1	rs1716999	chr3:41930041	ULK4	chr3:41288091-42003660:-	-0.99	-8.74	6.58E-11	Diastolic blood pressure	
KICH	cis	1	rs1717000	chr3:41930219	ULK4	chr3:41288091-42003660:-	-0.99	-8.74	6.58E-11	Diastolic blood pressure	
KICH	cis	1	rs1717001	chr3:41934949	ULK4	chr3:41288091-42003660:-	-0.99	-8.74	6.58E-11	Diastolic blood pressure	
KICH	cis	1	rs1717006	chr3:41940448	ULK4	chr3:41288091-42003660:-	1	8.99	3.03E-11	Diastolic blood pressure	
KICH	cis	1	rs1717009	chr3:41946308	ULK4	chr3:41288091-42003660:-	-0.99	-8.74	6.58E-11	Diastolic blood pressure	
KICH	cis	1	rs1717011	chr3:41980199	ULK4	chr3:41288091-42003660:-	-0.99	-8.74	6.58E-11	Diastolic blood pressure	
KICH	cis	1	rs1717014	chr3:41917395	ULK4	chr3:41288091-42003660:-	0.99	8.74	6.58E-11	Diastolic blood pressure	
KICH	cis	1	rs1717017	chr3:41915616	ULK4	chr3:41288091-42003660:-	0.99	8.74	6.58E-11	Diastolic blood pressure	
KICH	cis	1	rs1717020	chr3:41981490	ULK4	chr3:41288091-42003660:-	0.99	8.74	6.58E-11	Diastolic blood pressure	
KICH	cis	1	rs1717021	chr3:41983860	ULK4	chr3:41288091-42003660:-	-0.99	-8.74	6.58E-11	Diastolic blood pressure	
KICH	cis	1	rs1717024	chr3:41984888	ULK4	chr3:41288091-42003660:-	-0.95	-8.86	4.53E-11	Diastolic blood pressure	
KICH	cis	1	rs1717027	chr3:41987920	ULK4	chr3:41288091-42003660:-	-0.96	-8.21	3.4E-10	Diastolic blood pressure	
KICH	cis	1	rs1717031	chr3:41905791	ULK4	chr3:41288091-42003660:-	0.99	8.74	6.58E-11	Diastolic blood pressure	
KICH	cis	1	rs1717033	chr3:41910216	ULK4	chr3:41288091-42003660:-	0.99	8.74	6.58E-11	Diastolic blood pressure	
KICH	cis	1	rs17433780	chr1:89474818	GBP3	chr1:89472367-89488549:-	0.67	8.67	8.0E-11	Carotid intima media thickness	
KICH	cis	1	rs17761864	chr17:2171637	SRR	chr17:2207248-2228553:+	-0.72	-5.41	3.0E-6	Esophageal cancer (squamous cell)	
KICH	cis	1	rs1823874	chr15:100357435	C15orf51	chr15:100330361-100347132:-	-0.72	-5.64	1.42E-6	IgG glycosylation	
KICH	cis	1	rs1994157	chr3:41897482	ULK4	chr3:41288091-42003660:-	0.94	7.31	6.12E-9	Diastolic blood pressure	
KICH	cis	1	rs2061164	chr11:18329006	GTF2H1	chr11:18343816-18388590:+	0.45	5.1	8.08E-6	Pancreatic cancer	
KICH	cis	1	rs2072795	chr22:39064209	CBY1	chr22:39052658-39069853:+	-0.68	-5.49	2.32E-6	Resting heart rate	
KICH	cis	1	rs2081302	chr2:23945355	LOC375190	chr2:24299728-24397519:+	0.73	6.52	7.8E-8	Obesity-related traits	
KICH	cis	1	rs2128834	chr3:41862645	ULK4	chr3:41288091-42003660:-	0.96	7.75	1.45E-9	Diastolic blood pressure	
KICH	cis	1	rs2128835	chr3:41862873	ULK4	chr3:41288091-42003660:-	0.96	7.75	1.45E-9	Diastolic blood pressure	
KICH	cis	1	rs2272006	chr3:41997059	ULK4	chr3:41288091-42003660:-	-0.99	-8.74	6.58E-11	Diastolic blood pressure	
KICH	cis	1	rs2272007	chr3:41996136	ULK4	chr3:41288091-42003660:-	-1	-8.66	8.29E-11	Diastolic blood pressure	
KICH	cis	1	rs2277862	chr20:34152782	CPNE1	chr20:34213968-34262539:-	-0.76	-5.34	3.72E-6	Cholesterol, total	
KICH	cis	1	rs2356559	chr1:45981512	CCDC163P	chr1:45960581-45965646:-	-0.86	-5.59	1.64E-6	Homocysteine levels	
KICH	cis	1	rs2371623	chr3:41761083	ULK4	chr3:41288091-42003660:-	0.94	7.6	2.36E-9	Diastolic blood pressure	
KICH	cis	1	rs2371627	chr3:41839219	ULK4	chr3:41288091-42003660:-	1	8.66	8.29E-11	Diastolic blood pressure	
KICH	cis	1	rs2625667	chr3:41900951	ULK4	chr3:41288091-42003660:-	0.96	8.21	3.4E-10	Diastolic blood pressure	
KICH	cis	1	rs2625668	chr3:41905930	ULK4	chr3:41288091-42003660:-	0.99	8.74	6.58E-11	Diastolic blood pressure	
KICH	cis	1	rs2683695	chr3:41914928	ULK4	chr3:41288091-42003660:-	0.99	8.74	6.58E-11	Diastolic blood pressure	
KICH	cis	1	rs2683696	chr3:41914898	ULK4	chr3:41288091-42003660:-	0.99	8.74	6.58E-11	Diastolic blood pressure	
KICH	cis	1	rs2739330	chr22:24295286	GSTT1	chr22:24376141-24384284:-	0.85	6.74	3.87E-8	Liver enzyme levels (gamma-glutamyl transferase)	
KICH	cis	1	rs2739330	chr22:24295286	LOC391322	chr22:24373117-24374043:+	0.74	5.94	5.24E-7	Liver enzyme levels (gamma-glutamyl transferase)	
KICH	cis	1	rs2816815	chr6:86691656	SNHG5	chr6:86386726-86388451:-	-0.61	-6	4.39E-7	Response to antipsychotic treatment	
KICH	cis	1	rs28702390	chr3:41889920	ULK4	chr3:41288091-42003660:-	0.94	7.31	6.12E-9	Diastolic blood pressure	
KICH	cis	1	rs28733681	chr3:41863444	ULK4	chr3:41288091-42003660:-	0.96	7.75	1.45E-9	Diastolic blood pressure	
KICH	cis	1	rs28755797	chr3:41774446	ULK4	chr3:41288091-42003660:-	0.93	6.11	3.01E-7	Diastolic blood pressure	
KICH	cis	1	rs3740711	chr11:18379839	GTF2H1	chr11:18343816-18388590:+	0.47	5.34	3.69E-6	Pancreatic cancer	
KICH	cis	1	rs3774372	chr3:41877414	ULK4	chr3:41288091-42003660:-	1	6.64	5.36E-8	Diastolic blood pressure	
KICH	cis	1	rs3890604	chr3:41760625	ULK4	chr3:41288091-42003660:-	0.94	7.6	2.36E-9	Diastolic blood pressure	
KICH	cis	1	rs3934103	chr3:41977214	ULK4	chr3:41288091-42003660:-	-0.97	-8.04	5.9E-10	Diastolic blood pressure	
KICH	cis	1	rs4150550	chr11:18350898	GTF2H1	chr11:18343816-18388590:+	0.47	5.48	2.36E-6	Pancreatic cancer	
KICH	cis	1	rs4150562	chr11:18354995	GTF2H1	chr11:18343816-18388590:+	0.47	5.48	2.36E-6	Pancreatic cancer	
KICH	cis	1	rs4150564	chr11:18355308	GTF2H1	chr11:18343816-18388590:+	0.45	5.1	8.08E-6	Pancreatic cancer	
KICH	cis	1	rs4150566	chr11:18355599	GTF2H1	chr11:18343816-18388590:+	0.44	5.11	7.94E-6	Pancreatic cancer	
KICH	cis	1	rs4150575	chr11:18356466	GTF2H1	chr11:18343816-18388590:+	0.44	5.11	7.94E-6	Pancreatic cancer	
KICH	cis	1	rs4150579	chr11:18357180	GTF2H1	chr11:18343816-18388590:+	-0.47	-5.48	2.36E-6	Pancreatic cancer	
KICH	cis	1	rs4150610	chr11:18364140	GTF2H1	chr11:18343816-18388590:+	0.45	5.1	8.08E-6	Pancreatic cancer	
KICH	cis	1	rs4150612	chr11:18364358	GTF2H1	chr11:18343816-18388590:+	0.47	5.48	2.36E-6	Pancreatic cancer	
KICH	cis	1	rs4150615	chr11:18365028	GTF2H1	chr11:18343816-18388590:+	-0.47	-5.42	2.89E-6	Pancreatic cancer	
KICH	cis	1	rs4150622	chr11:18365710	GTF2H1	chr11:18343816-18388590:+	0.45	5.1	8.08E-6	Pancreatic cancer	
KICH	cis	1	rs4150650	chr11:18374279	GTF2H1	chr11:18343816-18388590:+	0.47	5.42	2.89E-6	Pancreatic cancer	
KICH	cis	1	rs4150651	chr11:18374425	GTF2H1	chr11:18343816-18388590:+	0.47	5.42	2.89E-6	Pancreatic cancer	
KICH	cis	1	rs4150661	chr11:18379629	GTF2H1	chr11:18343816-18388590:+	0.48	5.46	2.55E-6	Pancreatic cancer	
KICH	cis	1	rs4150673	chr11:18383449	GTF2H1	chr11:18343816-18388590:+	0.49	5.69	1.2E-6	Pancreatic cancer	
KICH	cis	1	rs4353250	chr11:18323517	GTF2H1	chr11:18343816-18388590:+	0.45	5.1	8.08E-6	Pancreatic cancer	
