cancer.type	eQTL.type	tagSNP	LD	SNP.ID	SNP.position.hg19	Gene.symbol	Gene.position.hg19	Beta	t-stat	P-value	GWAS-Traits	
MESO	cis	1	rs10037375	chr5:115533407	COMMD10	chr5:115420727-115628978:+	-0.59	-4.83	9.28E-6	Metabolite levels  (X-11787)	
MESO	cis	1	rs10051747	chr5:56083289	C5orf35	chr5:56205103-56213010:+	0.79	5.21	2.3E-6	Type 2 diabetes	
MESO	cis	1	rs10064106	chr5:115572158	COMMD10	chr5:115420727-115628978:+	0.59	4.84	8.98E-6	Metabolite levels  (X-11787)	
MESO	cis	1	rs10157597	chr1:45990278	CCDC163P	chr1:45960581-45965646:-	-0.67	-8.32	1.1E-11	Homocysteine levels	
MESO	cis	1	rs1016669	chr3:41894440	ULK4	chr3:41288091-42003660:-	0.87	5.95	1.35E-7	Diastolic blood pressure	
MESO	cis	1	rs1018184	chr6:86648475	SNHG5	chr6:86386726-86388451:-	0.67	5.27	1.82E-6	Response to antipsychotic treatment	
MESO	cis	1	rs10212536	chr3:41827026	ULK4	chr3:41288091-42003660:-	0.86	5.53	6.79E-7	Diastolic blood pressure	
MESO	cis	1	rs10228845	chr7:21583617	DNAH11	chr7:21582833-21941455:+	-0.58	-6.06	8.88E-8	Multiple cancers (lung cancer, gastric cancer, and squamous cell carcinoma)	
MESO	cis	1	rs10229224	chr7:21583921	DNAH11	chr7:21582833-21941455:+	-0.58	-6.06	8.88E-8	Multiple cancers (lung cancer, gastric cancer, and squamous cell carcinoma)	
MESO	cis	1	rs10234309	chr7:135311167	SLC13A4	chr7:135365993-135412933:-	-0.69	-4.78	1.12E-5	Paget's disease	
MESO	cis	1	rs1025646	chr3:41754422	ULK4	chr3:41288091-42003660:-	0.81	5.41	1.07E-6	Diastolic blood pressure	
MESO	cis	1	rs10445300	chr17:2114587	SRR	chr17:2207248-2228553:+	-0.81	-6.14	6.45E-8	Esophageal cancer (squamous cell)	
MESO	cis	1	rs1044717	chr1:45976587	CCDC163P	chr1:45960581-45965646:-	-0.69	-8.68	2.66E-12	Homocysteine levels	
MESO	cis	1	rs10455158	chr6:86672825	SNHG5	chr6:86386726-86388451:-	-0.67	-5.27	1.82E-6	Response to antipsychotic treatment	
MESO	cis	1	rs10455449	chr6:86592226	SNHG5	chr6:86386726-86388451:-	-0.67	-5.28	1.75E-6	Response to antipsychotic treatment	
MESO	cis	1	rs10455455	chr6:86670214	SNHG5	chr6:86386726-86388451:-	-0.67	-5.27	1.82E-6	Response to antipsychotic treatment	
MESO	cis	1	rs10455456	chr6:86670322	SNHG5	chr6:86386726-86388451:-	-0.67	-5.27	1.82E-6	Response to antipsychotic treatment	
MESO	cis	1	rs10456622	chr6:49396453	MUT	chr6:49398994-49431031:-	0.59	5.35	1.37E-6	Folate pathway vitamin levels	
MESO	cis	1	rs10461617	chr5:56104308	C5orf35	chr5:56205103-56213010:+	0.83	5.72	3.26E-7	Type 2 diabetes	
MESO	cis	1	rs10470686	chr3:48449956	TREX1	chr3:48501186-48509043:+	-0.41	-4.73	1.32E-5	Longevity	
MESO	cis	1	rs10498958	chr6:86649705	SNHG5	chr6:86386726-86388451:-	0.67	5.51	7.34E-7	Response to antipsychotic treatment	
MESO	cis	1	rs1052501	chr3:41925398	ULK4	chr3:41288091-42003660:-	-0.87	-5.95	1.35E-7	Diastolic blood pressure	
MESO	cis	1	rs10736426	chr1:45984353	CCDC163P	chr1:45960581-45965646:-	0.64	8.04	3.32E-11	Homocysteine levels	
MESO	cis	1	rs10865914	chr3:41919499	ULK4	chr3:41288091-42003660:-	-0.87	-5.95	1.35E-7	Diastolic blood pressure	
MESO	cis	1	rs10890361	chr1:46346234	CCDC163P	chr1:45960581-45965646:-	-0.51	-4.78	1.11E-5	Body mass index	
MESO	cis	1	rs10944161	chr6:86630376	SNHG5	chr6:86386726-86388451:-	-0.67	-5.27	1.82E-6	Response to antipsychotic treatment	
MESO	cis	1	rs10944163	chr6:86658693	SNHG5	chr6:86386726-86388451:-	-0.67	-5.27	1.82E-6	Response to antipsychotic treatment	
MESO	cis	1	rs10944169	chr6:86683036	SNHG5	chr6:86386726-86388451:-	-0.67	-5.27	1.82E-6	Response to antipsychotic treatment	
MESO	cis	1	rs10944170	chr6:86685469	SNHG5	chr6:86386726-86388451:-	-0.67	-5.27	1.82E-6	Response to antipsychotic treatment	
MESO	cis	1	rs11123170	chr2:113978940	LOC654433	chr2:113993107-114024579:+	-0.71	-6.26	4.07E-8	Renal function-related traits (BUN)	
MESO	cis	1	rs11123170	chr2:113978940	PAX8	chr2:113973575-114036498:-	-0.68	-6.14	6.34E-8	Renal function-related traits (BUN)	
MESO	cis	1	rs11130170	chr3:48449897	TREX1	chr3:48501186-48509043:+	-0.41	-4.73	1.33E-5	Longevity	
MESO	cis	1	rs111315781	chr2:201738724	PPIL3	chr2:201735680-201753999:-	-0.92	-7.17	1.11E-9	Triptolide cytotoxicity	
MESO	cis	1	rs11211132	chr1:45990516	CCDC163P	chr1:45960581-45965646:-	-0.67	-8.32	1.1E-11	Homocysteine levels	
MESO	cis	1	rs1125203	chr3:41760895	ULK4	chr3:41288091-42003660:-	0.78	5.16	2.71E-6	Diastolic blood pressure	
MESO	cis	1	rs113333037	chr17:2200106	SRR	chr17:2207248-2228553:+	-0.82	-5.72	3.34E-7	Esophageal cancer (squamous cell)	
MESO	cis	1	rs1141321	chr6:49412433	MUT	chr6:49398994-49431031:-	0.57	5.27	1.84E-6	Folate pathway vitamin levels	
MESO	cis	1	rs114960066	chr3:41882323	ULK4	chr3:41288091-42003660:-	0.87	5.95	1.35E-7	Diastolic blood pressure	
MESO	cis	1	rs11579634	chr1:46466391	CCDC163P	chr1:45960581-45965646:-	0.5	4.83	9.37E-6	Body mass index	
MESO	cis	1	rs11671010	chr19:35559474	LOC643719	chr19:35067639-35068596:-	-0.72	-4.73	1.33E-5	Serum albumin level	
MESO	cis	1	rs11712561	chr3:48435272	TREX1	chr3:48501186-48509043:+	-0.44	-5.1	3.49E-6	Longevity	
MESO	cis	1	rs11739344	chr5:56111087	C5orf35	chr5:56205103-56213010:+	0.83	5.72	3.26E-7	Type 2 diabetes	
MESO	cis	1	rs11758849	chr6:86708262	SNHG5	chr6:86386726-86388451:-	-0.68	-5.05	4.12E-6	Response to antipsychotic treatment	
MESO	cis	1	rs11759855	chr6:86610841	SNHG5	chr6:86386726-86388451:-	-0.67	-5.27	1.82E-6	Response to antipsychotic treatment	
MESO	cis	1	rs1188130	chr8:13173084	C8orf48	chr8:13424352-13425796:+	1.16	5.34	1.4E-6	Obesity-related traits	
MESO	cis	1	rs11882144	chr19:42072602	CEACAM21	chr19:42055886-42093196:+	0.65	5.65	4.38E-7	Schizophrenia	
MESO	cis	1	rs11923562	chr3:41760331	ULK4	chr3:41288091-42003660:-	0.84	5.47	8.69E-7	Diastolic blood pressure	
MESO	cis	1	rs11928580	chr3:41885722	ULK4	chr3:41288091-42003660:-	0.87	5.95	1.35E-7	Diastolic blood pressure	
MESO	cis	1	rs11976020	chr7:72247800	TYW1B	chr7:72023729-72298813:-	0.96	7.23	8.74E-10	Educational attainment (years of education)	
MESO	cis	1	rs12130219	chr1:152162106	FLG	chr1:152274651-152297679:-	0.61	4.69	1.56E-5	Inflammatory skin disease	
