cancer.type	eQTL.type	tagSNP	LD	SNP.ID	SNP.position.hg19	Gene.symbol	Gene.position.hg19	Beta	t-stat	P-value	GWAS-Traits	
KIRC	cis	1	rs1000113	chr5:150240076	IRGM	chr5:150226085-150280295:+	0.62	8.07	5.25E-15	Crohn's disease	
KIRC	cis	1	rs1000113	chr5:150240076	LOC134466	chr5:150310000-150326146:-	0.34	4.31	1.93E-5	Crohn's disease	
KIRC	cis	1	rs10002332	chr4:129875301	C4orf33	chr4:130014829-130033842:+	0.45	7.21	2.09E-12	Chronic obstructive pulmonary disease (moderate to severe)	
KIRC	cis	1	rs10002541	chr4:56395011	SRD5A3	chr4:56212409-56237866:+	-0.18	-3.85	0.000131	Personality dimensions	
KIRC	cis	1	rs10002541	chr4:56395011	TMEM165	chr4:56262090-56292342:+	0.22	6.04	2.93E-9	Personality dimensions	
KIRC	cis	1	rs10005733	chr4:292001	ZNF718	chr4:53272-156488:+	0.47	8.92	8.67E-18	Immune response to smallpox vaccine (IL-6)	
KIRC	cis	1	rs10005989	chr4:56405206	SRD5A3	chr4:56212409-56237866:+	-0.18	-3.89	0.000114	Personality dimensions	
KIRC	cis	1	rs10005989	chr4:56405206	TMEM165	chr4:56262090-56292342:+	0.23	6.41	3.43E-10	Personality dimensions	
KIRC	cis	1	rs10006789	chr4:1330333	CRIPAK	chr4:1385340-1389782:+	0.25	6.07	2.48E-9	Systolic blood pressure	
KIRC	cis	1	rs10008757	chr4:76903036	NAAA	chr4:76831809-76862166:-	-0.52	-10.75	2.12E-24	Longevity	
KIRC	cis	1	rs10009541	chr4:17682218	LAP3	chr4:17578927-17609590:+	0.21	6.41	3.3E-10	Parasitemia in Tripanosoma cruzi seropositivity	
KIRC	cis	1	rs10009541	chr4:17682218	MED28	chr4:17616273-17629791:+	-0.16	-3.53	0.000451	Parasitemia in Tripanosoma cruzi seropositivity	
KIRC	cis	1	rs10009741	chr4:75711506	BTC	chr4:75671448-75719882:-	0.27	3.53	0.000451	Electroencephalogram traits	
KIRC	cis	1	rs10011647	chr4:75711216	BTC	chr4:75671448-75719882:-	0.3	4.13	4.19E-5	Electroencephalogram traits	
KIRC	cis	1	rs10011865	chr4:17645710	LAP3	chr4:17578927-17609590:+	-0.21	-6.32	5.72E-10	Parasitemia in Tripanosoma cruzi seropositivity	
KIRC	cis	1	rs10011865	chr4:17645710	MED28	chr4:17616273-17629791:+	0.18	3.99	7.59E-5	Parasitemia in Tripanosoma cruzi seropositivity	
KIRC	cis	1	rs10012335	chr4:17628630	LAP3	chr4:17578927-17609590:+	-0.2	-6.1	2.17E-9	Parasitemia in Tripanosoma cruzi seropositivity	
KIRC	cis	1	rs10012335	chr4:17628630	MED28	chr4:17616273-17629791:+	0.23	5.27	2.04E-7	Parasitemia in Tripanosoma cruzi seropositivity	
KIRC	cis	1	rs10014189	chr4:75710935	BTC	chr4:75671448-75719882:-	-0.27	-3.79	0.000168	Electroencephalogram traits	
KIRC	cis	1	rs1001446	chr19:32900957	ZNF507	chr19:32836514-32878571:+	0.16	3.56	0.000406	Bipolar disorder	
KIRC	cis	1	rs10015752	chr4:108891445	HADH	chr4:108910940-108956330:+	0.26	3.68	0.000255	Amyotrophic lateral sclerosis (sporadic)	
KIRC	cis	1	rs10016506	chr4:56396674	SRD5A3	chr4:56212409-56237866:+	-0.18	-3.9	0.000108	Personality dimensions	
KIRC	cis	1	rs10016506	chr4:56396674	TMEM165	chr4:56262090-56292342:+	0.22	6.02	3.41E-9	Personality dimensions	
KIRC	cis	1	rs10018049	chr4:39117401	WDR19	chr4:39184024-39287429:+	0.19	5.02	7.07E-7	Uric acid levels	
KIRC	cis	1	rs10019681	chr4:89832532	FAM13AOS	chr4:89630940-89651254:+	-0.12	-3.59	0.000357	Post bronchodilator FEV1;Post bronchodilator FEV1/FVC ratio	
KIRC	cis	1	rs10019856	chr4:17615742	LAP3	chr4:17578927-17609590:+	-0.21	-6.55	1.4E-10	Parasitemia in Tripanosoma cruzi seropositivity	
KIRC	cis	1	rs10019856	chr4:17615742	MED28	chr4:17616273-17629791:+	0.23	5.29	1.85E-7	Parasitemia in Tripanosoma cruzi seropositivity	
KIRC	cis	1	rs10023155	chr4:108890626	HADH	chr4:108910940-108956330:+	0.25	3.53	0.000458	Amyotrophic lateral sclerosis (sporadic)	
KIRC	cis	1	rs10023907	chr4:88772535	MEPE	chr4:88754140-88767942:+	-0.22	-4.35	1.61E-5	Bone mineral density;Bone mineral density (paediatric, total body less head)	
KIRC	cis	1	rs1002675	chr3:38445226	XYLB	chr3:38388251-38456467:+	0.16	4.31	1.93E-5	Electrocardiographic conduction measures	
KIRC	cis	1	rs1002676	chr3:38444932	XYLB	chr3:38388251-38456467:+	-0.15	-4.01	7.05E-5	Electrocardiographic conduction measures	
KIRC	cis	1	rs10026775	chr4:39116775	WDR19	chr4:39184024-39287429:+	0.19	5.02	7.07E-7	Uric acid levels	
KIRC	cis	1	rs10027325	chr4:282608	ZNF718	chr4:53272-156488:+	0.42	7.37	6.95E-13	Immune response to smallpox vaccine (IL-6)	
KIRC	cis	1	rs10027437	chr4:103557251	MANBA	chr4:103552644-103682151:-	0.16	3.68	0.000256	Primary biliary cirrhosis	
KIRC	cis	1	rs10027755	chr4:17615954	LAP3	chr4:17578927-17609590:+	-0.22	-6.72	5.0E-11	Parasitemia in Tripanosoma cruzi seropositivity	
KIRC	cis	1	rs10027755	chr4:17615954	MED28	chr4:17616273-17629791:+	0.19	4.3	2.04E-5	Parasitemia in Tripanosoma cruzi seropositivity	
KIRC	cis	1	rs10027813	chr4:39121438	WDR19	chr4:39184024-39287429:+	0.18	4.83	1.83E-6	Uric acid levels	
KIRC	cis	1	rs10028589	chr4:89841060	FAM13AOS	chr4:89630940-89651254:+	-0.12	-3.53	0.00046	Post bronchodilator FEV1;Post bronchodilator FEV1/FVC ratio	
KIRC	cis	1	rs10028679	chr4:89841170	FAM13AOS	chr4:89630940-89651254:+	-0.12	-3.53	0.00046	Post bronchodilator FEV1;Post bronchodilator FEV1/FVC ratio	
KIRC	cis	1	rs10030904	chr4:39115223	WDR19	chr4:39184024-39287429:+	0.19	4.96	9.76E-7	Uric acid levels	
KIRC	cis	1	rs10032326	chr4:17630717	LAP3	chr4:17578927-17609590:+	-0.2	-6.08	2.43E-9	Parasitemia in Tripanosoma cruzi seropositivity	
KIRC	cis	1	rs10032326	chr4:17630717	MED28	chr4:17616273-17629791:+	0.24	5.47	7.09E-8	Parasitemia in Tripanosoma cruzi seropositivity	
KIRC	cis	1	rs10034433	chr4:56421176	SRD5A3	chr4:56212409-56237866:+	-0.18	-4.04	6.23E-5	Personality dimensions	
KIRC	cis	1	rs10034433	chr4:56421176	TMEM165	chr4:56262090-56292342:+	0.22	6.23	1.01E-9	Personality dimensions	
KIRC	cis	1	rs10035646	chr5:115534974	COMMD10	chr5:115420727-115628978:+	0.35	4.15	3.87E-5	Asthma or chronic obstructive pulmonary disease	
KIRC	cis	1	rs10036292	chr5:115595871	COMMD10	chr5:115420727-115628978:+	0.33	3.78	0.000178	Asthma or chronic obstructive pulmonary disease	
KIRC	cis	1	rs10037055	chr5:176691279	PRELID1	chr5:176730835-176733949:+	-0.13	-3.78	0.000173	Migraine without aura	
KIRC	cis	1	rs1003719	chr21:38491095	PIGP	chr21:38437664-38445458:-	-0.39	-8.82	1.94E-17	Eye color traits	
KIRC	cis	1	rs1003719	chr21:38491095	TTC3	chr21:38445571-38575406:+	0.19	3.88	0.00012	Eye color traits	
