cancer.type	eQTL.type	tagSNP	LD	SNP.ID	SNP.position.hg19	Gene.symbol	Gene.position.hg19	Beta	t-stat	P-value	GWAS-Traits	
THCA	cis	1	rs10000348	chr4:111379036	ENPEP	chr4:111397229-111484491:+	0.17	4.12	4.45E-5	Blood pressure	
THCA	cis	1	rs1000113	chr5:150240076	LOC134466	chr5:150310000-150326146:-	0.46	6.14	1.71E-9	Crohn's disease	
THCA	cis	1	rs1000113	chr5:150240076	ZNF300	chr5:150273964-150284391:-	0.16	3.42	0.000675	Crohn's disease	
THCA	cis	1	rs10002332	chr4:129875301	C4orf33	chr4:130014829-130033842:+	0.56	8.91	1.04E-17	Chronic obstructive pulmonary disease (moderate to severe)	
THCA	cis	1	rs10002541	chr4:56395011	TMEM165	chr4:56262090-56292342:+	0.15	3.71	0.000234	Personality dimensions	
THCA	cis	1	rs10003229	chr4:57809598	C4orf14	chr4:57829517-57843826:-	0.22	4.04	6.27E-5	Response to bleomycin (chromatid breaks)	
THCA	cis	1	rs10003641	chr4:71340427	AMTN	chr4:71384298-71398459:+	0.22	5.33	1.55E-7	Alcoholism (heaviness of drinking)	
THCA	cis	1	rs10003708	chr4:90643051	MMRN1	chr4:90816003-90875778:+	0.31	3.98	8.02E-5	Parkinson's disease	
THCA	cis	1	rs10005733	chr4:292001	ZNF718	chr4:53272-156488:+	0.55	11.5	3.43E-27	Immune response to smallpox vaccine (IL-6)	
THCA	cis	1	rs10005932	chr4:122664782	EXOSC9	chr4:122722472-122738175:+	0.15	3.98	8.04E-5	Type 2 diabetes	
THCA	cis	1	rs10005989	chr4:56405206	TMEM165	chr4:56262090-56292342:+	0.16	4.11	4.69E-5	Personality dimensions	
THCA	cis	1	rs10006789	chr4:1330333	CRIPAK	chr4:1385340-1389782:+	0.37	7.07	5.67E-12	Systolic blood pressure	
THCA	cis	1	rs10007119	chr4:3473066	LRPAP1	chr4:3514290-3534224:-	0.2	4.85	1.66E-6	Triglycerides;Cholesterol, total;LDL cholesterol	
THCA	cis	1	rs10007789	chr4:165890377	C4orf39	chr4:165878100-165880273:+	0.19	5.38	1.19E-7	Ovarian cancer in BRCA1 mutation carriers	
THCA	cis	1	rs10008757	chr4:76903036	NAAA	chr4:76831809-76862166:-	-0.35	-6.99	9.18E-12	Longevity	
THCA	cis	1	rs1000940	chr17:5283252	C1QBP	chr17:5336099-5342471:-	0.14	4	7.47E-5	Body mass index	
THCA	cis	1	rs1000940	chr17:5283252	NLRP1	chr17:5404719-5487832:-	-0.21	-4.25	2.55E-5	Body mass index	
THCA	cis	1	rs1000940	chr17:5283252	RABEP1	chr17:5185558-5289131:+	-0.12	-3.51	0.000496	Body mass index	
THCA	cis	1	rs10009741	chr4:75711506	BTC	chr4:75671448-75719882:-	0.2	3.92	0.000103	Electroencephalogram traits	
THCA	cis	1	rs1001021	chr22:26403599	HPS4	chr22:26847447-26879820:-	-0.3	-3.62	0.000331	Schizophrenia, bipolar disorder and depression (combined)	
THCA	cis	1	rs10011259	chr4:54285952	SCFD2	chr4:53739152-54232242:-	0.2	3.92	0.000101	DNA methylation (variation)	
THCA	cis	1	rs10011543	chr4:75711122	BTC	chr4:75671448-75719882:-	-0.2	-3.87	0.000124	Electroencephalogram traits	
THCA	cis	1	rs10011647	chr4:75711216	BTC	chr4:75671448-75719882:-	0.2	3.92	0.000103	Electroencephalogram traits	
THCA	cis	1	rs10011835	chr4:71340722	AMTN	chr4:71384298-71398459:+	0.22	5.33	1.55E-7	Alcoholism (heaviness of drinking)	
THCA	cis	1	rs10012335	chr4:17628630	MED28	chr4:17616273-17629791:+	0.2	4.42	1.22E-5	Parasitemia in Tripanosoma cruzi seropositivity	
THCA	cis	1	rs10012625	chr4:118651007	NDST3	chr4:118954773-119179786:+	-0.25	-4.76	2.55E-6	Neutrophil count	
THCA	cis	1	rs10013113	chr4:53348892	KIAA0114	chr4:53578621-53580305:+	0.19	3.65	0.000296	Biochemical measures	
THCA	cis	1	rs10014189	chr4:75710935	BTC	chr4:75671448-75719882:-	-0.2	-3.92	0.000102	Electroencephalogram traits	
THCA	cis	1	rs1001446	chr19:32900957	DPY19L3	chr19:32896677-32975236:+	0.17	4.87	1.54E-6	Bipolar disorder	
THCA	cis	1	rs1001446	chr19:32900957	ZNF507	chr19:32836514-32878571:+	0.25	6.27	7.97E-10	Bipolar disorder	
THCA	cis	1	rs1001530	chr5:176985515	DOK3	chr5:176928915-176937427:-	0.27	6.2	1.22E-9	Alzheimer disease and age of onset	
THCA	cis	1	rs10016433	chr4:122664771	EXOSC9	chr4:122722472-122738175:+	0.15	3.98	8.04E-5	Type 2 diabetes	
THCA	cis	1	rs10016506	chr4:56396674	TMEM165	chr4:56262090-56292342:+	0.15	3.7	0.000238	Personality dimensions	
THCA	cis	1	rs10017445	chr4:68423787	CENPC1	chr4:68337989-68411256:-	0.29	6.4	3.7E-10	Parkinson's disease	
THCA	cis	1	rs10017445	chr4:68423787	STAP1	chr4:68424446-68473053:+	-0.14	-3.34	0.000888	Parkinson's disease	
THCA	cis	1	rs10017903	chr4:54267009	SCFD2	chr4:53739152-54232242:-	0.2	3.92	0.000101	DNA methylation (variation)	
THCA	cis	1	rs10018049	chr4:39117401	KLHL5	chr4:39046659-39123828:+	-0.2	-5.67	2.52E-8	Uric acid levels	
THCA	cis	1	rs10019856	chr4:17615742	MED28	chr4:17616273-17629791:+	0.18	4.02	6.79E-5	Parasitemia in Tripanosoma cruzi seropositivity	
THCA	cis	1	rs10021364	chr4:310691	ZNF718	chr4:53272-156488:+	-0.51	-9.38	2.76E-19	Immune response to smallpox vaccine (IL-6)	
THCA	cis	1	rs10023335	chr4:77358987	CCDC158	chr4:77234193-77328458:-	0.17	3.69	0.000251	Creatinine levels	
THCA	cis	1	rs10023335	chr4:77358987	FAM47E	chr4:77135193-77204923:+	0.15	3.96	8.71E-5	Creatinine levels	
THCA	cis	1	rs10024243	chr4:118651065	NDST3	chr4:118954773-119179786:+	-0.25	-4.79	2.27E-6	Neutrophil count	
THCA	cis	1	rs10026531	chr4:154727070	RNF175	chr4:154631313-154681387:-	-0.2	-4.34	1.71E-5	Electrocardiographic conduction measures	
THCA	cis	1	rs10026676	chr4:56478752	KDR	chr4:55944427-55991762:-	-0.11	-3.49	0.00052	Waist-to-hip ratio adjusted for body mass index	
THCA	cis	1	rs10026676	chr4:56478752	NMU	chr4:56461405-56502465:-	0.2	3.59	0.000361	Waist-to-hip ratio adjusted for body mass index	
THCA	cis	1	rs10026676	chr4:56478752	PDCL2	chr4:56422693-56458379:-	0.31	4.81	2.0E-6	Waist-to-hip ratio adjusted for body mass index	
THCA	cis	1	rs1002675	chr3:38445226	ACVR2B	chr3:38495790-38534631:+	0.14	3.49	0.000521	Electrocardiographic conduction measures	
THCA	cis	1	rs1002675	chr3:38445226	LOC100128640	chr3:38492524-38496311:-	0.23	4.87	1.52E-6	Electrocardiographic conduction measures	
THCA	cis	1	rs1002675	chr3:38445226	XYLB	chr3:38388251-38456467:+	0.2	4.86	1.58E-6	Electrocardiographic conduction measures	
THCA	cis	1	rs1002676	chr3:38444932	LOC100128640	chr3:38492524-38496311:-	-0.21	-4.27	2.39E-5	Electrocardiographic conduction measures	
THCA	cis	1	rs1002676	chr3:38444932	SCN5A	chr3:38589554-38691164:-	-0.17	-3.52	0.000474	Electrocardiographic conduction measures	
THCA	cis	1	rs1002676	chr3:38444932	XYLB	chr3:38388251-38456467:+	-0.21	-5.07	5.79E-7	Electrocardiographic conduction measures	
