cancer.type	eQTL.type	tagSNP	LD	SNP.ID	SNP.position.hg19	Gene.symbol	Gene.position.hg19	Beta	t-stat	P-value	GWAS-Traits	
LGG	cis	1	rs10000348	chr4:111379036	ENPEP	chr4:111397229-111484491:+	0.22	4.94	1.09E-6	Blood pressure	
LGG	cis	1	rs1000113	chr5:150240076	LOC134466	chr5:150310000-150326146:-	0.45	5.02	7.17E-7	Crohn's disease	
LGG	cis	1	rs10002332	chr4:129875301	C4orf33	chr4:130014829-130033842:+	0.59	9.6	4.2E-20	Chronic obstructive pulmonary disease (moderate to severe)	
LGG	cis	1	rs10002541	chr4:56395011	TMEM165	chr4:56262090-56292342:+	0.17	5.03	6.8E-7	Personality dimensions	
LGG	cis	1	rs10005733	chr4:292001	ZNF718	chr4:53272-156488:+	0.25	5.26	2.19E-7	Immune response to smallpox vaccine (IL-6)	
LGG	cis	1	rs1000597	chr7:30937178	C7orf16	chr7:31726799-31748068:+	0.36	4.8	2.16E-6	Nephrolithiasis	
LGG	cis	1	rs10005989	chr4:56405206	TMEM165	chr4:56262090-56292342:+	0.18	5.24	2.41E-7	Personality dimensions	
LGG	cis	1	rs10006789	chr4:1330333	CRIPAK	chr4:1385340-1389782:+	0.25	5.5	5.99E-8	Systolic blood pressure	
LGG	cis	1	rs10008757	chr4:76903036	NAAA	chr4:76831809-76862166:-	-0.46	-11.13	8.51E-26	Longevity	
LGG	cis	1	rs10010758	chr4:37938518	PTTG2	chr4:37962056-37962630:+	0.28	4.74	2.83E-6	Periodontal microbiota	
LGG	cis	1	rs10010758	chr4:37938518	TBC1D1	chr4:37892720-38140793:+	0.15	3.59	0.00037	Periodontal microbiota	
LGG	cis	1	rs10011865	chr4:17645710	MED28	chr4:17616273-17629791:+	0.19	4.02	6.65E-5	Parasitemia in Tripanosoma cruzi seropositivity	
LGG	cis	1	rs10012335	chr4:17628630	MED28	chr4:17616273-17629791:+	0.21	4.44	1.1E-5	Parasitemia in Tripanosoma cruzi seropositivity	
LGG	cis	1	rs1001530	chr5:176985515	DOK3	chr5:176928915-176937427:-	0.21	3.78	0.000179	Alzheimer disease and age of onset	
LGG	cis	1	rs10016506	chr4:56396674	TMEM165	chr4:56262090-56292342:+	0.17	4.99	8.2E-7	Personality dimensions	
LGG	cis	1	rs10016562	chr4:122949327	SPATA5	chr4:123844225-124240602:+	-0.16	-3.8	0.000164	Emphysema imaging phenotypes	
LGG	cis	1	rs10019856	chr4:17615742	MED28	chr4:17616273-17629791:+	0.21	4.52	7.79E-6	Parasitemia in Tripanosoma cruzi seropositivity	
LGG	cis	1	rs10021364	chr4:310691	ZNF718	chr4:53272-156488:+	-0.27	-5.25	2.32E-7	Immune response to smallpox vaccine (IL-6)	
LGG	cis	1	rs10023335	chr4:77358987	FAM47E	chr4:77135193-77204923:+	0.22	4.99	8.59E-7	Creatinine levels	
LGG	cis	1	rs10023335	chr4:77358987	STBD1	chr4:77172853-77232282:+	-0.2	-5.02	7.26E-7	Creatinine levels	
LGG	cis	1	rs10026676	chr4:56478752	SRD5A3	chr4:56212409-56237866:+	-0.17	-3.66	0.000276	Waist-to-hip ratio adjusted for body mass index	
LGG	cis	1	rs10027325	chr4:282608	ZNF718	chr4:53272-156488:+	0.23	4.61	5.07E-6	Immune response to smallpox vaccine (IL-6)	
LGG	cis	1	rs10027755	chr4:17615954	MED28	chr4:17616273-17629791:+	0.21	4.39	1.41E-5	Parasitemia in Tripanosoma cruzi seropositivity	
LGG	cis	1	rs10029750	chr4:120172543	MYOZ2	chr4:120056939-120108935:+	0.23	4.48	9.39E-6	Corneal astigmatism	
LGG	cis	1	rs10030019	chr4:106998448	NPNT	chr4:106816605-106892827:+	-0.23	-4.86	1.61E-6	Airflow obstruction	
LGG	cis	1	rs10032326	chr4:17630717	MED28	chr4:17616273-17629791:+	0.21	4.47	9.64E-6	Parasitemia in Tripanosoma cruzi seropositivity	
LGG	cis	1	rs10033071	chr4:111375852	ENPEP	chr4:111397229-111484491:+	0.22	4.93	1.12E-6	Blood pressure	
LGG	cis	1	rs10034433	chr4:56421176	TMEM165	chr4:56262090-56292342:+	0.17	5.18	3.17E-7	Personality dimensions	
LGG	cis	1	rs10035646	chr5:115534974	COMMD10	chr5:115420727-115628978:+	0.47	5.96	4.83E-9	Asthma or chronic obstructive pulmonary disease	
