cancer.type	eQTL.type	tagSNP	LD	SNP.ID	SNP.position.hg19	Gene.symbol	Gene.position.hg19	Beta	t-stat	P-value	GWAS-Traits	
BLCA	cis	1	rs1000113	chr5:150240076	LOC134466	chr5:150310000-150326146:-	0.53	6.99	1.26E-11	Crohn's disease	
BLCA	cis	1	rs10002332	chr4:129875301	C4orf33	chr4:130014829-130033842:+	0.28	4.37	1.61E-5	Chronic obstructive pulmonary disease (moderate to severe)	
BLCA	cis	1	rs10003641	chr4:71340427	AMTN	chr4:71384298-71398459:+	0.25	4.13	4.46E-5	Alcoholism (heaviness of drinking)	
BLCA	cis	1	rs10008757	chr4:76903036	NAAA	chr4:76831809-76862166:-	-0.39	-6.41	4.28E-10	Longevity	
BLCA	cis	1	rs10011835	chr4:71340722	AMTN	chr4:71384298-71398459:+	0.25	4.13	4.46E-5	Alcoholism (heaviness of drinking)	
BLCA	cis	1	rs10021364	chr4:310691	ZNF718	chr4:53272-156488:+	-0.33	-4.4	1.4E-5	Immune response to smallpox vaccine (IL-6)	
BLCA	cis	1	rs1003719	chr21:38491095	PIGP	chr21:38437664-38445458:-	-0.31	-5.45	8.92E-8	Eye color traits	
BLCA	cis	1	rs1003719	chr21:38491095	TTC3	chr21:38445571-38575406:+	0.25	5.11	5.06E-7	Eye color traits	
BLCA	cis	1	rs10041072	chr5:150259642	LOC134466	chr5:150310000-150326146:-	0.45	6.15	1.93E-9	Crohn's disease	
BLCA	cis	1	rs10051747	chr5:56083289	C5orf35	chr5:56205103-56213010:+	0.72	10.92	2.45E-24	Type 2 diabetes	
BLCA	cis	1	rs10051804	chr5:150226424	LOC134466	chr5:150310000-150326146:-	0.4	4.98	9.62E-7	Crohn's disease	
BLCA	cis	1	rs10051924	chr5:150226639	LOC134466	chr5:150310000-150326146:-	0.4	4.98	9.62E-7	Crohn's disease	
BLCA	cis	1	rs10052606	chr5:150272217	LOC134466	chr5:150310000-150326146:-	0.46	5.97	5.47E-9	Crohn's disease	
BLCA	cis	1	rs10053750	chr5:150270051	LOC134466	chr5:150310000-150326146:-	0.47	6.24	1.17E-9	Crohn's disease	
BLCA	cis	1	rs10057988	chr5:150272062	LOC134466	chr5:150310000-150326146:-	0.46	5.97	5.47E-9	Crohn's disease	
BLCA	cis	1	rs10058821	chr5:150226385	LOC134466	chr5:150310000-150326146:-	0.4	4.98	9.62E-7	Crohn's disease	
BLCA	cis	1	rs10058943	chr5:150226586	LOC134466	chr5:150310000-150326146:-	0.4	4.98	9.62E-7	Crohn's disease	
BLCA	cis	1	rs10061105	chr5:150255185	LOC134466	chr5:150310000-150326146:-	0.48	6.27	9.54E-10	Crohn's disease	
BLCA	cis	1	rs10065172	chr5:150227998	LOC134466	chr5:150310000-150326146:-	0.43	5.35	1.52E-7	Crohn's disease	
BLCA	cis	1	rs1006581	chr7:150511923	TMEM176A	chr7:150497854-150502208:+	-0.17	-4.54	7.38E-6	Forced expiratory volume in 1 second (environmental interaction)	
BLCA	cis	1	rs10069077	chr5:110170026	TMEM232	chr5:109624934-110062381:-	-0.36	-4.03	6.69E-5	Mortality in heart failure	
BLCA	cis	1	rs10078968	chr5:150244273	LOC134466	chr5:150310000-150326146:-	0.43	5.77	1.66E-8	Crohn's disease	
BLCA	cis	1	rs10078	chr5:438102	C5orf55	chr5:441645-443258:-	0.3	4.35	1.71E-5	Fat distribution (HIV)	
BLCA	cis	1	rs10097215	chr8:2506899	CLN8	chr8:1711870-1734735:+	0.33	3.93	0.000101	Plasma omega-6 polyunsaturated fatty acid levels (gamma-linolenic acid)	
BLCA	cis	1	rs10103769	chr8:8573036	CLDN23	chr8:8559666-8561616:+	-0.23	-3.99	7.89E-5	Obesity-related traits	
BLCA	cis	1	rs10110591	chr8:8576608	CLDN23	chr8:8559666-8561616:+	0.27	5.01	8.27E-7	Obesity-related traits	
BLCA	cis	1	rs10117059	chr9:123653477	LOC253039	chr9:123605320-123616644:+	-0.36	-6.08	2.96E-9	Rheumatoid arthritis	
BLCA	cis	1	rs10119803	chr9:21666066	KLHL9	chr9:21324054-21335429:-	-0.31	-4.81	2.13E-6	Gut microbiome composition (winter)	
BLCA	cis	1	rs10136440	chr14:104397367	TDRD9	chr14:104394817-104519002:+	-0.35	-5.51	6.46E-8	Bipolar disorder	
BLCA	cis	1	rs10140433	chr14:74659989	LIN52	chr14:74551656-74667117:+	-0.36	-8.09	7.85E-15	Common traits (Other)	
BLCA	cis	1	rs10144220	chr14:74647904	LIN52	chr14:74551656-74667117:+	-0.36	-8.28	2.14E-15	Common traits (Other)	
BLCA	cis	1	rs10149651	chr14:104394440	TDRD9	chr14:104394817-104519002:+	-0.34	-5.49	7.41E-8	Bipolar disorder	
BLCA	cis	1	rs10150201	chr14:74649157	LIN52	chr14:74551656-74667117:+	-0.36	-8.28	2.07E-15	Common traits (Other)	
