cancer.type	eQTL.type	tagSNP	LD	SNP.ID	SNP.position.hg19	Gene.symbol	Gene.position.hg19	Beta	t-stat	P-value	GWAS-Traits	
UVM	cis	1	rs10006789	chr4:1330333	CRIPAK	chr4:1385340-1389782:+	0.81	4.63	2.27E-5	Systolic blood pressure	
UVM	cis	1	rs10008757	chr4:76903036	NAAA	chr4:76831809-76862166:-	-0.44	-4.99	6.33E-6	Longevity	
UVM	cis	1	rs1003719	chr21:38491095	PIGP	chr21:38437664-38445458:-	-0.63	-4.93	8.02E-6	Eye color traits	
UVM	cis	1	rs10051747	chr5:56083289	C5orf35	chr5:56205103-56213010:+	1.05	6.59	1.79E-8	Type 2 diabetes	
UVM	cis	1	rs1006396	chr22:30017000	CABP7	chr22:30116344-30127818:+	1.03	6.84	6.87E-9	Lipid traits	
UVM	cis	1	rs10140433	chr14:74659989	LIN52	chr14:74551656-74667117:+	-0.44	-5.65	5.92E-7	Common traits (Other)	
UVM	cis	1	rs10144220	chr14:74647904	LIN52	chr14:74551656-74667117:+	-0.44	-5.65	5.92E-7	Common traits (Other)	
UVM	cis	1	rs10150201	chr14:74649157	LIN52	chr14:74551656-74667117:+	-0.44	-5.65	5.92E-7	Common traits (Other)	
UVM	cis	1	rs10157597	chr1:45990278	CCDC163P	chr1:45960581-45965646:-	-0.76	-7.95	1.07E-10	Homocysteine levels	
UVM	cis	1	rs10178982	chr2:202227640	ALS2CR12	chr2:202153148-202222101:-	-0.46	-4.69	1.82E-5	Basal cell carcinoma	
UVM	cis	1	rs10206231	chr2:202229225	ALS2CR12	chr2:202153148-202222101:-	-0.46	-4.69	1.82E-5	Basal cell carcinoma	
UVM	cis	1	rs10234309	chr7:135311167	PL-5283	chr7:135347221-135378160:+	0.69	5.84	2.88E-7	Paget's disease	
UVM	cis	1	rs1042658	chr17:38173902	GSDMA	chr17:38119226-38134019:+	-0.87	-7.55	4.73E-10	Neutrophil count;White blood cell count;C-reactive protein and white blood cell count	
UVM	cis	1	rs10431505	chr12:58178589	TSFM	chr12:58176536-58191367:+	-0.57	-5.04	5.32E-6	Multiple sclerosis	
UVM	cis	1	rs1044717	chr1:45976587	CCDC163P	chr1:45960581-45965646:-	-0.83	-9.05	1.73E-12	Homocysteine levels	
UVM	cis	1	rs10461617	chr5:56104308	C5orf35	chr5:56205103-56213010:+	0.95	6.34	4.59E-8	Type 2 diabetes	
