cancer.type	eQTL.type	tagSNP	LD	SNP.ID	SNP.position.hg19	Gene.symbol	Gene.position.hg19	Beta	t-stat	P-value	GWAS-Traits	
PAAD	cis	1	rs1000113	chr5:150240076	LOC134466	chr5:150310000-150326146:-	0.75	6.27	3.56E-9	Crohn's disease	
PAAD	cis	1	rs10002332	chr4:129875301	C4orf33	chr4:130014829-130033842:+	0.51	6.02	1.27E-8	Chronic obstructive pulmonary disease (moderate to severe)	
PAAD	cis	1	rs10006789	chr4:1330333	CRIPAK	chr4:1385340-1389782:+	0.53	7.13	3.77E-11	Systolic blood pressure	
PAAD	cis	1	rs10008757	chr4:76903036	NAAA	chr4:76831809-76862166:-	-0.45	-5.5	1.53E-7	Longevity	
PAAD	cis	1	rs10009541	chr4:17682218	MED28	chr4:17616273-17629791:+	-0.39	-4.45	1.65E-5	Parasitemia in Tripanosoma cruzi seropositivity	
PAAD	cis	1	rs10011865	chr4:17645710	MED28	chr4:17616273-17629791:+	0.46	5.49	1.67E-7	Parasitemia in Tripanosoma cruzi seropositivity	
PAAD	cis	1	rs10012335	chr4:17628630	MED28	chr4:17616273-17629791:+	0.48	5.77	4.25E-8	Parasitemia in Tripanosoma cruzi seropositivity	
PAAD	cis	1	rs10019856	chr4:17615742	MED28	chr4:17616273-17629791:+	0.43	5.06	1.2E-6	Parasitemia in Tripanosoma cruzi seropositivity	
PAAD	cis	1	rs10027755	chr4:17615954	MED28	chr4:17616273-17629791:+	0.48	5.77	4.25E-8	Parasitemia in Tripanosoma cruzi seropositivity	
PAAD	cis	1	rs10032326	chr4:17630717	MED28	chr4:17616273-17629791:+	0.47	5.76	4.44E-8	Parasitemia in Tripanosoma cruzi seropositivity	
PAAD	cis	1	rs1003719	chr21:38491095	PIGP	chr21:38437664-38445458:-	-0.49	-6.28	3.29E-9	Eye color traits	
PAAD	cis	1	rs10041072	chr5:150259642	LOC134466	chr5:150310000-150326146:-	0.67	5.72	5.44E-8	Crohn's disease	
PAAD	cis	1	rs10051747	chr5:56083289	C5orf35	chr5:56205103-56213010:+	1.04	9.89	3.83E-18	Type 2 diabetes	
PAAD	cis	1	rs10051804	chr5:150226424	LOC134466	chr5:150310000-150326146:-	0.68	6.02	1.25E-8	Crohn's disease	
PAAD	cis	1	rs10051924	chr5:150226639	LOC134466	chr5:150310000-150326146:-	0.68	6.02	1.25E-8	Crohn's disease	
PAAD	cis	1	rs10052606	chr5:150272217	LOC134466	chr5:150310000-150326146:-	0.67	5.72	5.44E-8	Crohn's disease	
PAAD	cis	1	rs10053750	chr5:150270051	LOC134466	chr5:150310000-150326146:-	0.67	5.72	5.44E-8	Crohn's disease	
PAAD	cis	1	rs10057988	chr5:150272062	LOC134466	chr5:150310000-150326146:-	0.67	5.72	5.44E-8	Crohn's disease	
PAAD	cis	1	rs10058821	chr5:150226385	LOC134466	chr5:150310000-150326146:-	0.68	6.02	1.25E-8	Crohn's disease	
PAAD	cis	1	rs10058943	chr5:150226586	LOC134466	chr5:150310000-150326146:-	0.68	6.02	1.25E-8	Crohn's disease	
PAAD	cis	1	rs10061105	chr5:150255185	LOC134466	chr5:150310000-150326146:-	0.67	5.72	5.44E-8	Crohn's disease	
PAAD	cis	1	rs10065172	chr5:150227998	LOC134466	chr5:150310000-150326146:-	0.65	5.73	5.25E-8	Crohn's disease	
PAAD	cis	1	rs1006722	chr4:17618713	MED28	chr4:17616273-17629791:+	-0.5	-6	1.4E-8	Parasitemia in Tripanosoma cruzi seropositivity	
PAAD	cis	1	rs10078968	chr5:150244273	LOC134466	chr5:150310000-150326146:-	0.67	5.72	5.44E-8	Crohn's disease	
PAAD	cis	1	rs1008374	chr4:17683219	MED28	chr4:17616273-17629791:+	0.45	5.25	5.08E-7	Parasitemia in Tripanosoma cruzi seropositivity	
PAAD	cis	1	rs1008375	chr4:17682834	MED28	chr4:17616273-17629791:+	0.46	5.33	3.44E-7	Parasitemia in Tripanosoma cruzi seropositivity	
PAAD	cis	1	rs10117059	chr9:123653477	LOC253039	chr9:123605320-123616644:+	-0.57	-7.62	2.46E-12	Rheumatoid arthritis	
PAAD	cis	1	rs1012376	chr14:65294790	CHURC1	chr14:65381140-65411309:+	0.53	4.02	9.04E-5	Daytime sleep phenotypes	
PAAD	cis	1	rs10138183	chr14:75615227	EIF2B2	chr14:75469612-75476292:+	0.39	4.38	2.18E-5	Height	
PAAD	cis	1	rs10140433	chr14:74659989	LIN52	chr14:74551656-74667117:+	-0.42	-7.21	2.4E-11	Common traits (Other)	
PAAD	cis	1	rs10142626	chr14:75555636	EIF2B2	chr14:75469612-75476292:+	0.37	4.16	5.28E-5	Height	
PAAD	cis	1	rs10142865	chr14:75555624	EIF2B2	chr14:75469612-75476292:+	0.37	4.16	5.28E-5	Height	
PAAD	cis	1	rs10144220	chr14:74647904	LIN52	chr14:74551656-74667117:+	-0.43	-7.66	2.01E-12	Common traits (Other)	
PAAD	cis	1	rs10146482	chr14:75574087	EIF2B2	chr14:75469612-75476292:+	0.37	4.16	5.28E-5	Height	
PAAD	cis	1	rs10149880	chr14:75633008	EIF2B2	chr14:75469612-75476292:+	-0.37	-4.07	7.49E-5	Height	
PAAD	cis	1	rs10150201	chr14:74649157	LIN52	chr14:74551656-74667117:+	-0.44	-7.49	4.99E-12	Common traits (Other)	
