cancer.type	eQTL.type	tagSNP	LD	SNP.ID	SNP.position.hg19	Gene.symbol	Gene.position.hg19	Beta	t-stat	P-value	GWAS-Traits	
BRCA	cis	1	rs1000083	chr5:96533469	ERAP2	chr5:96211644-96255398:+	-0.28	-4.05	5.6E-5	Cisplatin-induced ototoxicity	
BRCA	cis	1	rs1000113	chr5:150240076	LOC134466	chr5:150310000-150326146:-	0.33	7.52	1.15E-13	Crohn's disease	
BRCA	cis	1	rs10003641	chr4:71340427	AMTN	chr4:71384298-71398459:+	0.26	7.54	1.01E-13	Alcoholism (heaviness of drinking)	
BRCA	cis	1	rs10005932	chr4:122664782	EXOSC9	chr4:122722472-122738175:+	0.13	4.27	2.1E-5	Type 2 diabetes	
BRCA	cis	1	rs10007119	chr4:3473066	LRPAP1	chr4:3514290-3534224:-	0.11	3.85	0.000127	Triglycerides;Cholesterol, total;LDL cholesterol	
BRCA	cis	1	rs10007789	chr4:165890377	TRIM61	chr4:165875600-165898818:-	0.25	7.81	1.35E-14	Ovarian cancer in BRCA1 mutation carriers	
BRCA	cis	1	rs10008757	chr4:76903036	NAAA	chr4:76831809-76862166:-	-0.21	-5.34	1.13E-7	Longevity	
BRCA	cis	1	rs10011835	chr4:71340722	AMTN	chr4:71384298-71398459:+	0.26	7.59	7.07E-14	Alcoholism (heaviness of drinking)	
BRCA	cis	1	rs10012335	chr4:17628630	MED28	chr4:17616273-17629791:+	0.14	3.63	0.000301	Parasitemia in Tripanosoma cruzi seropositivity	
BRCA	cis	1	rs1001373	chr1:171684506	VAMP4	chr1:171669298-171711214:-	0.19	5.4	8.1E-8	Hippocampal atrophy	
BRCA	cis	1	rs10016433	chr4:122664771	EXOSC9	chr4:122722472-122738175:+	0.13	4.27	2.1E-5	Type 2 diabetes	
BRCA	cis	1	rs10017445	chr4:68423787	STAP1	chr4:68424446-68473053:+	-0.17	-6.16	1.02E-9	Parkinson's disease	
BRCA	cis	1	rs10018049	chr4:39117401	KLHL5	chr4:39046659-39123828:+	-0.16	-5.03	5.75E-7	Uric acid levels	
BRCA	cis	1	rs10023907	chr4:88772535	SPP1	chr4:88896802-88904562:+	-0.18	-5.76	1.07E-8	Bone mineral density;Bone mineral density (paediatric, total body less head)	
BRCA	cis	1	rs10026676	chr4:56478752	SRD5A3	chr4:56212409-56237866:+	-0.17	-4.33	1.65E-5	Waist-to-hip ratio adjusted for body mass index	
BRCA	cis	1	rs1002675	chr3:38445226	XYLB	chr3:38388251-38456467:+	0.19	5.68	1.7E-8	Electrocardiographic conduction measures	
BRCA	cis	1	rs1002676	chr3:38444932	LOC100128640	chr3:38492524-38496311:-	-0.14	-3.78	0.000165	Electrocardiographic conduction measures	
BRCA	cis	1	rs1002676	chr3:38444932	XYLB	chr3:38388251-38456467:+	-0.21	-6.3	4.29E-10	Electrocardiographic conduction measures	
BRCA	cis	1	rs10026775	chr4:39116775	KLHL5	chr4:39046659-39123828:+	-0.16	-4.99	7.02E-7	Uric acid levels	
BRCA	cis	1	rs10027325	chr4:282608	ZNF718	chr4:53272-156488:+	0.29	6.77	2.08E-11	Immune response to smallpox vaccine (IL-6)	
BRCA	cis	1	rs10027437	chr4:103557251	MANBA	chr4:103552644-103682151:-	0.19	4.97	7.68E-7	Primary biliary cirrhosis	
BRCA	cis	1	rs10027813	chr4:39121438	KLHL5	chr4:39046659-39123828:+	-0.15	-4.71	2.77E-6	Uric acid levels	
BRCA	cis	1	rs10029851	chr4:109628025	LOC285456	chr4:109459346-109541613:-	0.25	5.25	1.82E-7	Amyotrophic lateral sclerosis (sporadic)	
BRCA	cis	1	rs10030019	chr4:106998448	TBCK	chr4:106967233-107237861:-	0.23	7.28	6.31E-13	Airflow obstruction	
BRCA	cis	1	rs10030904	chr4:39115223	KLHL5	chr4:39046659-39123828:+	-0.16	-5.01	6.29E-7	Uric acid levels	
BRCA	cis	1	rs10031525	chr4:54519579	LNX1	chr4:54326439-54518682:-	0.13	3.45	0.000582	Beard thickness	
BRCA	cis	1	rs10032326	chr4:17630717	MED28	chr4:17616273-17629791:+	0.14	3.61	0.000325	Parasitemia in Tripanosoma cruzi seropositivity	
BRCA	cis	1	rs10036292	chr5:115595871	COMMD10	chr5:115420727-115628978:+	0.22	4.57	5.42E-6	Asthma or chronic obstructive pulmonary disease	
BRCA	cis	1	rs10037055	chr5:176691279	MXD3	chr5:176732501-176739292:-	0.11	4.77	2.08E-6	Migraine without aura	
BRCA	cis	1	rs1003719	chr21:38491095	PIGP	chr21:38437664-38445458:-	-0.25	-7.74	2.36E-14	Eye color traits	
BRCA	cis	1	rs10037872	chr5:82439920	XRCC4	chr5:82373317-82649577:+	-0.12	-3.57	0.000372	Hypertension	
BRCA	cis	1	rs10041281	chr5:172886305	ATP6V0E1	chr5:172410763-172461900:+	-0.1	-3.4	0.000702	Stroke	
BRCA	cis	1	rs10042854	chr5:82439695	TMEM167A	chr5:82348667-82373272:-	0.12	4.23	2.54E-5	Hypertension	
BRCA	cis	1	rs10042854	chr5:82439695	XRCC4	chr5:82373317-82649577:+	0.15	4.22	2.63E-5	Hypertension	
BRCA	cis	1	rs10043018	chr5:82434317	XRCC4	chr5:82373317-82649577:+	-0.12	-3.54	0.000411	Hypertension	
BRCA	cis	1	rs10043228	chr5:115597048	COMMD10	chr5:115420727-115628978:+	0.22	4.57	5.36E-6	Asthma or chronic obstructive pulmonary disease	
BRCA	cis	1	rs1004467	chr10:104594507	SFXN2	chr10:104474298-104498946:+	-0.22	-4.49	7.77E-6	Hypertension;Systolic blood pressure;Diastolic blood pressure	
BRCA	cis	1	rs10046678	chr8:23816123	CHMP7	chr8:23101150-23119512:+	-0.16	-3.42	0.000658	Subcutaneous adipose tissue	
BRCA	cis	1	rs10046678	chr8:23816123	ENTPD4	chr8:23243442-23315244:-	-0.13	-3.44	0.000599	Subcutaneous adipose tissue	
BRCA	cis	1	rs10046678	chr8:23816123	RHOBTB2	chr8:22844930-22877710:+	-0.15	-4.01	6.55E-5	Subcutaneous adipose tissue	
BRCA	cis	1	rs1004868	chr2:231038910	SP110	chr2:231033645-231084827:-	0.21	4.08	4.79E-5	Obesity-related traits	
BRCA	cis	1	rs1004869	chr2:231039271	SP110	chr2:231033645-231084827:-	0.21	4.05	5.42E-5	Obesity-related traits	
BRCA	cis	1	rs10051240	chr5:115569931	COMMD10	chr5:115420727-115628978:+	0.21	4.49	7.77E-6	Asthma or chronic obstructive pulmonary disease	
BRCA	cis	1	rs10051747	chr5:56083289	C5orf35	chr5:56205103-56213010:+	0.75	18.4	7.24E-66	Type 2 diabetes	
BRCA	cis	1	rs10055844	chr5:82437095	XRCC4	chr5:82373317-82649577:+	-0.12	-3.45	0.000584	Hypertension	
BRCA	cis	1	rs10055868	chr5:115471612	COMMD10	chr5:115420727-115628978:+	0.24	5.08	4.56E-7	Asthma or chronic obstructive pulmonary disease	
BRCA	cis	1	rs10055948	chr5:82439256	XRCC4	chr5:82373317-82649577:+	-0.12	-3.54	0.000421	Hypertension	
BRCA	cis	1	rs10062350	chr5:115453497	COMMD10	chr5:115420727-115628978:+	0.23	4.57	5.52E-6	Asthma or chronic obstructive pulmonary disease	
BRCA	cis	1	rs10066259	chr5:115451892	COMMD10	chr5:115420727-115628978:+	0.21	4.16	3.51E-5	Asthma or chronic obstructive pulmonary disease	
BRCA	cis	1	rs10068	chr17:33901965	SLFN12L	chr17:33801926-33864880:-	0.09	4.83	1.57E-6	Response to radiotherapy in cancer (late toxicity)	
BRCA	cis	1	rs10073364	chr5:115592582	COMMD10	chr5:115420727-115628978:+	0.22	4.57	5.42E-6	Asthma or chronic obstructive pulmonary disease	
BRCA	cis	1	rs10076701	chr5:131596419	PDLIM4	chr5:131593351-131609145:+	-0.16	-5.57	3.31E-8	Blood metabolite levels	
BRCA	cis	1	rs10076701	chr5:131596419	SLC22A5	chr5:131705401-131731302:+	-0.13	-4.84	1.5E-6	Blood metabolite levels	
BRCA	cis	1	rs10077862	chr5:82437141	XRCC4	chr5:82373317-82649577:+	-0.12	-3.45	0.000584	Hypertension	
BRCA	cis	1	rs10079394	chr5:115600919	COMMD10	chr5:115420727-115628978:+	0.23	4.82	1.66E-6	Asthma or chronic obstructive pulmonary disease	
BRCA	cis	1	rs10082611	chr11:27320108	LGR4	chr11:27387510-27494334:-	0.15	4.4	1.22E-5	Bone mineral density (paediatric, skull)	
BRCA	cis	1	rs10082678	chr11:27320448	LGR4	chr11:27387510-27494334:-	-0.16	-4.47	8.81E-6	Bone mineral density (paediatric, skull)	
BRCA	cis	1	rs10082679	chr11:27320658	LGR4	chr11:27387510-27494334:-	0.15	4.27	2.16E-5	Bone mineral density (paediatric, skull)	
BRCA	cis	1	rs10083488	chr14:65853346	LOC645431	chr14:65877313-65879335:-	-0.23	-4.82	1.64E-6	Ischemic stroke	
BRCA	cis	1	rs1009051	chr3:49521549	AMT	chr3:49454212-49460012:-	0.14	4.76	2.18E-6	Menarche (age at onset)	
BRCA	cis	1	rs1009051	chr3:49521549	CCDC36	chr3:49235861-49295537:+	0.1	3.94	8.84E-5	Menarche (age at onset)	
BRCA	cis	1	rs1009051	chr3:49521549	GMPPB	chr3:49758932-49761384:-	-0.12	-3.58	0.000353	Menarche (age at onset)	
BRCA	cis	1	rs1009051	chr3:49521549	NCKIPSD	chr3:48711280-48723334:-	0.16	4.01	6.48E-5	Menarche (age at onset)	
BRCA	cis	1	rs1009051	chr3:49521549	P4HTM	chr3:49027341-49044579:+	0.09	3.78	0.000168	Menarche (age at onset)	
BRCA	cis	1	rs1009051	chr3:49521549	WDR6	chr3:49044637-49053386:+	-0.15	-4.61	4.6E-6	Menarche (age at onset)	
BRCA	cis	1	rs1009170	chr14:92636713	NDUFB1	chr14:92582470-92588153:-	0.12	4.06	5.32E-5	Dialysis-related mortality	
BRCA	cis	1	rs10093594	chr8:96033236	C8orf38	chr8:95908040-96088396:+	0.15	3.56	0.000394	Vincristine-induced peripheral neuropathy in acute lymphoblastic leukemia	
