cancer.type	eQTL.type	tagSNP	LD	SNP.ID	SNP.position.hg19	Gene.symbol	Gene.position.hg19	Beta	t-stat	P-value	GWAS-Traits	
GBM	cis	1	rs10002332	chr4:129875301	C4orf33	chr4:130014829-130033842:+	0.47	5.4	3.15E-7	Chronic obstructive pulmonary disease (moderate to severe)	
GBM	cis	1	rs10006789	chr4:1330333	CRIPAK	chr4:1385340-1389782:+	0.42	4.92	2.61E-6	Systolic blood pressure	
GBM	cis	1	rs10008757	chr4:76903036	NAAA	chr4:76831809-76862166:-	-0.57	-6.95	1.71E-10	Longevity	
GBM	cis	1	rs1003719	chr21:38491095	PIGP	chr21:38437664-38445458:-	-0.33	-4.18	5.49E-5	Eye color traits	
GBM	cis	1	rs10051747	chr5:56083289	C5orf35	chr5:56205103-56213010:+	0.93	10.19	3.81E-18	Type 2 diabetes	
GBM	cis	1	rs10117059	chr9:123653477	LOC253039	chr9:123605320-123616644:+	-0.64	-5.62	1.18E-7	Rheumatoid arthritis	
GBM	cis	1	rs10119803	chr9:21666066	KLHL9	chr9:21324054-21335429:-	-0.51	-4.16	5.83E-5	Gut microbiome composition (winter)	
GBM	cis	1	rs10140433	chr14:74659989	LIN52	chr14:74551656-74667117:+	-0.37	-5.11	1.18E-6	Common traits (Other)	
GBM	cis	1	rs10144220	chr14:74647904	LIN52	chr14:74551656-74667117:+	-0.41	-5.54	1.66E-7	Common traits (Other)	
GBM	cis	1	rs10150201	chr14:74649157	LIN52	chr14:74551656-74667117:+	-0.38	-5.25	6.17E-7	Common traits (Other)	
GBM	cis	1	rs10157597	chr1:45990278	CCDC163P	chr1:45960581-45965646:-	-0.44	-5.61	1.2E-7	Homocysteine levels	
GBM	cis	1	rs1016669	chr3:41894440	ULK4	chr3:41288091-42003660:-	0.74	8.75	1.16E-14	Diastolic blood pressure	
GBM	cis	1	rs1018184	chr6:86648475	SNHG5	chr6:86386726-86388451:-	0.69	8.7	1.57E-14	Response to antipsychotic treatment	
GBM	cis	1	rs10185421	chr2:137537699	THSD7B	chr2:137523115-138435287:+	-0.45	-4.24	4.35E-5	Pancreatic cancer	
GBM	cis	1	rs10212536	chr3:41827026	ULK4	chr3:41288091-42003660:-	0.7	7.78	2.23E-12	Diastolic blood pressure	
GBM	cis	1	rs10216533	chr8:143763690	PSCA	chr8:143761875-143764142:+	0.56	5	1.89E-6	Gastric adenocarcinoma (histologically verified);Non-cardia gastric cancer;Gastric cancer;Duodenal ulcer;Bladder cancer	
GBM	cis	1	rs10218795	chr1:145416056	NOTCH2NL	chr1:145209111-145295525:+	0.71	4.69	7.02E-6	Coronary heart disease	
GBM	cis	1	rs10228845	chr7:21583617	DNAH11	chr7:21582833-21941455:+	-0.58	-6.33	4.03E-9	Multiple cancers (lung cancer, gastric cancer, and squamous cell carcinoma)	
GBM	cis	1	rs10229224	chr7:21583921	DNAH11	chr7:21582833-21941455:+	-0.59	-6.4	2.78E-9	Multiple cancers (lung cancer, gastric cancer, and squamous cell carcinoma)	
GBM	cis	1	rs1025646	chr3:41754422	ULK4	chr3:41288091-42003660:-	0.82	8.23	1.99E-13	Diastolic blood pressure	
GBM	cis	1	rs1030831	chr4:130025037	C4orf33	chr4:130014829-130033842:+	-0.49	-5.68	8.73E-8	Chronic obstructive pulmonary disease (moderate to severe)	
GBM	cis	1	rs1034219	chr1:93022678	EVI5	chr1:92974255-93257961:-	-0.55	-5.09	1.28E-6	Cholesterol, total	
GBM	cis	1	rs1037147	chr4:130025873	C4orf33	chr4:130014829-130033842:+	-0.49	-5.68	8.73E-8	Chronic obstructive pulmonary disease (moderate to severe)	
GBM	cis	1	rs1040726	chr20:3264267	ITPA	chr20:3190056-3204504:+	-0.5	-4.95	2.34E-6	IFN-related cytopenia	
GBM	cis	1	rs1040727	chr20:3264292	ITPA	chr20:3190056-3204504:+	-0.55	-5.39	3.32E-7	IFN-related cytopenia	
GBM	cis	1	rs10416218	chr19:33599127	GPATCH1	chr19:33571786-33621318:+	0.4	4.5	1.54E-5	Bone properties (heel)	
GBM	cis	1	rs10416218	chr19:33599127	RHPN2	chr19:33469499-33555824:-	-0.38	-4.24	4.27E-5	Bone properties (heel)	
GBM	cis	1	rs10416265	chr19:33605300	GPATCH1	chr19:33571786-33621318:+	0.42	4.6	1.0E-5	Bone properties (heel)	
