cancer.type	eQTL.type	tagSNP	LD	SNP.ID	SNP.position.hg19	Gene.symbol	Gene.position.hg19	Beta	t-stat	P-value	GWAS-Traits	
PCPG	cis	1	rs1001530	chr5:176985515	HK3	chr5:176307871-176326333:-	-0.54	-4.29	3.16E-5	Alzheimer disease and age of onset	
PCPG	cis	1	rs1003719	chr21:38491095	PIGP	chr21:38437664-38445458:-	-0.4	-4.49	1.41E-5	Eye color traits	
PCPG	cis	1	rs10051747	chr5:56083289	C5orf35	chr5:56205103-56213010:+	0.9	7.79	9.3E-13	Type 2 diabetes	
PCPG	cis	1	rs10078	chr5:438102	C5orf55	chr5:441645-443258:-	0.39	4.73	5.03E-6	Fat distribution (HIV)	
PCPG	cis	1	rs10088139	chr8:27740661	CCDC25	chr8:27590835-27630170:-	-0.37	-4.17	5.04E-5	Adverse response to chemotherapy (neutropenia/leucopenia) (cisplatin)	
PCPG	cis	1	rs10088835	chr8:27740523	CCDC25	chr8:27590835-27630170:-	-0.37	-4.17	5.04E-5	Adverse response to chemotherapy (neutropenia/leucopenia) (cisplatin)	
PCPG	cis	1	rs10103507	chr8:27740693	CCDC25	chr8:27590835-27630170:-	-0.37	-4.17	5.04E-5	Adverse response to chemotherapy (neutropenia/leucopenia) (cisplatin)	
PCPG	cis	1	rs10117059	chr9:123653477	LOC253039	chr9:123605320-123616644:+	-0.56	-5.43	2.15E-7	Rheumatoid arthritis	
PCPG	cis	1	rs10140433	chr14:74659989	LIN52	chr14:74551656-74667117:+	-0.32	-5.98	1.48E-8	Common traits (Other)	
PCPG	cis	1	rs10143866	chr14:52884355	TXNDC16	chr14:52897309-53019301:-	-0.41	-4.1	6.69E-5	Smooth-surface caries	
PCPG	cis	1	rs10144220	chr14:74647904	LIN52	chr14:74551656-74667117:+	-0.31	-5.74	4.9E-8	Common traits (Other)	
PCPG	cis	1	rs10150201	chr14:74649157	LIN52	chr14:74551656-74667117:+	-0.31	-5.86	2.7E-8	Common traits (Other)	
PCPG	cis	1	rs10157597	chr1:45990278	CCDC163P	chr1:45960581-45965646:-	-0.6	-9.63	1.84E-17	Homocysteine levels	
PCPG	cis	1	rs10165485	chr2:54481636	C2orf73	chr2:54558071-54588714:+	0.57	4.26	3.5E-5	Telomere length	
PCPG	cis	1	rs1016669	chr3:41894440	ULK4	chr3:41288091-42003660:-	0.79	11.24	8.88E-22	Diastolic blood pressure	
PCPG	cis	1	rs10169714	chr2:73808773	ALMS1P	chr2:73872046-73912692:+	0.61	5.88	2.48E-8	Metabolite levels	
PCPG	cis	1	rs10175180	chr2:73673123	ALMS1P	chr2:73872046-73912692:+	0.59	5.83	3.16E-8	Metabolite levels	
PCPG	cis	1	rs10178409	chr2:73855507	ALMS1P	chr2:73872046-73912692:+	0.62	6.09	8.44E-9	Urinary metabolites	
PCPG	cis	1	rs10179134	chr2:73637519	ALMS1P	chr2:73872046-73912692:+	0.62	5.87	2.54E-8	Metabolite levels	
PCPG	cis	1	rs1018184	chr6:86648475	SNHG5	chr6:86386726-86388451:-	0.51	6.64	5.15E-10	Response to antipsychotic treatment	
PCPG	cis	1	rs10184268	chr2:73627044	ALMS1P	chr2:73872046-73912692:+	0.62	6.13	7.15E-9	Metabolite levels	
PCPG	cis	1	rs10186501	chr2:73697844	ALMS1P	chr2:73872046-73912692:+	0.6	5.92	2.0E-8	Metabolite levels	
PCPG	cis	1	rs10187192	chr2:73713500	ALMS1P	chr2:73872046-73912692:+	0.61	5.55	1.2E-7	Metabolite levels	
PCPG	cis	1	rs10187416	chr2:73713741	ALMS1P	chr2:73872046-73912692:+	0.57	5.61	9.13E-8	Metabolite levels	
PCPG	cis	1	rs10189574	chr2:73698518	ALMS1P	chr2:73872046-73912692:+	0.6	5.92	2.0E-8	Metabolite levels	
PCPG	cis	1	rs10190219	chr2:73658331	ALMS1P	chr2:73872046-73912692:+	0.6	5.71	5.68E-8	Metabolite levels	
PCPG	cis	1	rs10193972	chr2:73717656	ALMS1P	chr2:73872046-73912692:+	0.6	5.9	2.19E-8	Metabolite levels	
PCPG	cis	1	rs10207220	chr2:73785046	ALMS1P	chr2:73872046-73912692:+	0.61	5.82	3.31E-8	Metabolite levels	
PCPG	cis	1	rs10209928	chr2:108863898	SULT1C2	chr2:108905095-108926370:+	0.55	5.41	2.41E-7	Blood pressure	
PCPG	cis	1	rs10212536	chr3:41827026	ULK4	chr3:41288091-42003660:-	0.71	10.09	1.09E-18	Diastolic blood pressure	
PCPG	cis	1	rs10218795	chr1:145416056	NOTCH2NL	chr1:145209111-145295525:+	0.71	5.7	5.81E-8	Coronary heart disease	
PCPG	cis	1	rs10234309	chr7:135311167	PL-5283	chr7:135347221-135378160:+	0.45	4.62	8.2E-6	Paget's disease	
PCPG	cis	1	rs10234309	chr7:135311167	SLC13A4	chr7:135365993-135412933:-	-0.68	-6.1	8.17E-9	Paget's disease	
PCPG	cis	1	rs10238070	chr7:23909791	C7orf46	chr7:23719749-23742268:+	0.44	5.59	9.95E-8	Schizophrenia	
PCPG	cis	1	rs10245161	chr7:23907692	C7orf46	chr7:23719749-23742268:+	0.44	5.59	9.95E-8	Schizophrenia	
PCPG	cis	1	rs1025646	chr3:41754422	ULK4	chr3:41288091-42003660:-	0.72	9.66	1.53E-17	Diastolic blood pressure	
PCPG	cis	1	rs10257777	chr7:23910981	C7orf46	chr7:23719749-23742268:+	0.44	5.63	8.16E-8	Schizophrenia	
PCPG	cis	1	rs10262624	chr7:23915676	C7orf46	chr7:23719749-23742268:+	0.44	5.73	5.01E-8	Schizophrenia	
PCPG	cis	1	rs1035142	chr2:202153078	ALS2CR12	chr2:202153148-202222101:-	-0.41	-4.85	3.01E-6	Melanoma;Esophageal squamous cell carcinoma	
PCPG	cis	1	rs1040558	chr6:20713706	CDKAL1	chr6:20534688-21232632:+	0.41	4.19	4.64E-5	Type 2 diabetes	
PCPG	cis	1	rs10406920	chr19:17389648	MRPL34	chr19:17416477-17417652:+	-0.41	-4.35	2.47E-5	Breast cancer (estrogen-receptor negative);Breast Cancer in BRCA1 mutation carriers;Epithelial ovarian cancer;Ovarian cancer;Breast cancer	
PCPG	cis	1	rs10416218	chr19:33599127	GPATCH1	chr19:33571786-33621318:+	0.39	5.17	7.12E-7	Bone properties (heel)	
PCPG	cis	1	rs10423531	chr19:33600140	GPATCH1	chr19:33571786-33621318:+	0.39	5.17	7.12E-7	Bone properties (heel)	
PCPG	cis	1	rs10424178	chr19:17379558	MRPL34	chr19:17416477-17417652:+	-0.36	-4.22	4.21E-5	Breast cancer (estrogen-receptor negative);Breast Cancer in BRCA1 mutation carriers;Epithelial ovarian cancer;Ovarian cancer;Breast cancer	
PCPG	cis	1	rs10425939	chr19:17397244	MRPL34	chr19:17416477-17417652:+	-0.44	-4.58	9.7E-6	Breast cancer (estrogen-receptor negative);Breast Cancer in BRCA1 mutation carriers;Epithelial ovarian cancer;Ovarian cancer;Breast cancer	
PCPG	cis	1	rs1042658	chr17:38173902	GSDMA	chr17:38119226-38134019:+	-0.67	-8.35	3.61E-14	Neutrophil count;White blood cell count;C-reactive protein and white blood cell count	
PCPG	cis	1	rs10431505	chr12:58178589	FAM119B	chr12:58166383-58176323:+	0.57	5.45	1.97E-7	Multiple sclerosis	
PCPG	cis	1	rs10431505	chr12:58178589	TSFM	chr12:58176536-58191367:+	-0.6	-7.37	9.5E-12	Multiple sclerosis	
PCPG	cis	1	rs10431765	chr15:66044551	DPP8	chr15:65737999-65810035:-	-0.19	-4.65	7.23E-6	Mean corpuscular hemoglobin	
PCPG	cis	1	rs10445300	chr17:2114587	SRR	chr17:2207248-2228553:+	-0.59	-6.31	2.82E-9	Esophageal cancer (squamous cell)	
PCPG	cis	1	rs1044717	chr1:45976587	CCDC163P	chr1:45960581-45965646:-	-0.57	-9.54	3.03E-17	Homocysteine levels	
PCPG	cis	1	rs10455158	chr6:86672825	SNHG5	chr6:86386726-86388451:-	-0.48	-6.09	8.47E-9	Response to antipsychotic treatment	
PCPG	cis	1	rs10455449	chr6:86592226	SNHG5	chr6:86386726-86388451:-	-0.51	-6.14	6.88E-9	Response to antipsychotic treatment	
PCPG	cis	1	rs10455455	chr6:86670214	SNHG5	chr6:86386726-86388451:-	-0.51	-6.24	3.99E-9	Response to antipsychotic treatment	
PCPG	cis	1	rs10455456	chr6:86670322	SNHG5	chr6:86386726-86388451:-	-0.49	-6.23	4.28E-9	Response to antipsychotic treatment	
