cancer.type	eQTL.type	tagSNP	LD	SNP.ID	SNP.position.hg19	Gene.symbol	Gene.position.hg19	Beta	t-stat	P-value	GWAS-Traits	
LAML	cis	1	rs1000113	chr5:150240076	LOC134466	chr5:150310000-150326146:-	0.96	5.16	1.29E-6	Crohn's disease	
LAML	cis	1	rs10002332	chr4:129875301	C4orf33	chr4:130014829-130033842:+	0.6	4.81	5.44E-6	Chronic obstructive pulmonary disease (moderate to severe)	
LAML	cis	1	rs1003719	chr21:38491095	PIGP	chr21:38437664-38445458:-	-0.45	-5.53	2.63E-7	Eye color traits	
LAML	cis	1	rs1004467	chr10:104594507	SFXN2	chr10:104474298-104498946:+	-0.63	-5.28	7.52E-7	Hypertension;Systolic blood pressure;Diastolic blood pressure	
LAML	cis	1	rs10051747	chr5:56083289	C5orf35	chr5:56205103-56213010:+	0.88	7.67	1.19E-11	Type 2 diabetes	
LAML	cis	1	rs10069077	chr5:110170026	TMEM232	chr5:109624934-110062381:-	-0.72	-4.2	5.9E-5	Mortality in heart failure	
LAML	cis	1	rs10136948	chr14:75511075	EIF2B2	chr14:75469612-75476292:+	0.44	4.5	1.84E-5	Height	
LAML	cis	1	rs10138183	chr14:75615227	EIF2B2	chr14:75469612-75476292:+	0.46	4.47	2.07E-5	Height	
LAML	cis	1	rs10140851	chr14:75512612	EIF2B2	chr14:75469612-75476292:+	0.45	4.46	2.13E-5	Height	
LAML	cis	1	rs10142626	chr14:75555636	EIF2B2	chr14:75469612-75476292:+	0.42	4.2	5.82E-5	Height	
LAML	cis	1	rs10143132	chr14:75525850	EIF2B2	chr14:75469612-75476292:+	0.45	4.46	2.13E-5	Height	
LAML	cis	1	rs10149880	chr14:75633008	EIF2B2	chr14:75469612-75476292:+	-0.44	-4.38	3.0E-5	Height	
LAML	cis	1	rs10157597	chr1:45990278	CCDC163P	chr1:45960581-45965646:-	-1.26	-14.53	2.71E-26	Homocysteine levels	
LAML	cis	1	rs10169714	chr2:73808773	ALMS1P	chr2:73872046-73912692:+	0.54	5.2	1.09E-6	Metabolite levels	
LAML	cis	1	rs10169714	chr2:73808773	NAT8	chr2:73867850-73869537:-	0.66	6	3.32E-8	Metabolite levels	
LAML	cis	1	rs10175180	chr2:73673123	ALMS1P	chr2:73872046-73912692:+	0.53	5.18	1.19E-6	Metabolite levels	
