cancer.type	eQTL.type	tagSNP	LD	SNP.ID	SNP.position.hg19	Gene.symbol	Gene.position.hg19	Beta	t-stat	P-value	GWAS-Traits	
PRAD	cis	1	rs10000348	chr4:111379036	ENPEP	chr4:111397229-111484491:+	0.13	3.55	0.000431	Blood pressure	
PRAD	cis	1	rs1000113	chr5:150240076	C5orf62	chr5:150157867-150176297:+	0.3	3.82	0.000152	Crohn's disease	
PRAD	cis	1	rs1000113	chr5:150240076	LOC134466	chr5:150310000-150326146:-	0.65	9.78	1.08E-20	Crohn's disease	
PRAD	cis	1	rs10002085	chr4:147491160	ZNF827	chr4:146681892-146859607:-	-0.17	-3.77	0.000181	Heart rate	
PRAD	cis	1	rs10002332	chr4:129875301	C4orf33	chr4:130014829-130033842:+	0.47	7.84	3.01E-14	Chronic obstructive pulmonary disease (moderate to severe)	
PRAD	cis	1	rs10003641	chr4:71340427	AMTN	chr4:71384298-71398459:+	0.42	8.03	8.18E-15	Alcoholism (heaviness of drinking)	
PRAD	cis	1	rs10005733	chr4:292001	ZNF718	chr4:53272-156488:+	0.43	8.19	2.44E-15	Immune response to smallpox vaccine (IL-6)	
PRAD	cis	1	rs10005989	chr4:56405206	TMEM165	chr4:56262090-56292342:+	0.18	3.98	8.07E-5	Personality dimensions	
PRAD	cis	1	rs10006789	chr4:1330333	CRIPAK	chr4:1385340-1389782:+	0.37	6.86	2.2E-11	Systolic blood pressure	
PRAD	cis	1	rs10007119	chr4:3473066	LRPAP1	chr4:3514290-3534224:-	0.17	4.16	3.73E-5	Triglycerides;Cholesterol, total;LDL cholesterol	
PRAD	cis	1	rs10009541	chr4:17682218	MED28	chr4:17616273-17629791:+	-0.15	-3.85	0.000133	Parasitemia in Tripanosoma cruzi seropositivity	
PRAD	cis	1	rs10010958	chr4:147511918	ZNF827	chr4:146681892-146859607:-	-0.17	-3.81	0.00016	Heart rate	
PRAD	cis	1	rs10011259	chr4:54285952	FIP1L1	chr4:54243820-54326102:+	-0.18	-3.95	9.16E-5	DNA methylation (variation)	
PRAD	cis	1	rs10011730	chr4:75168571	RASSF6	chr4:74438862-74486340:-	0.36	4.15	4.01E-5	Immune reponse to smallpox (secreted IL-1beta)	
PRAD	cis	1	rs10011835	chr4:71340722	AMTN	chr4:71384298-71398459:+	0.42	8.03	8.18E-15	Alcoholism (heaviness of drinking)	
PRAD	cis	1	rs10011865	chr4:17645710	MED28	chr4:17616273-17629791:+	0.19	4.72	3.06E-6	Parasitemia in Tripanosoma cruzi seropositivity	
PRAD	cis	1	rs10012335	chr4:17628630	MED28	chr4:17616273-17629791:+	0.23	5.68	2.32E-8	Parasitemia in Tripanosoma cruzi seropositivity	
PRAD	cis	1	rs1001446	chr19:32900957	DPY19L3	chr19:32896677-32975236:+	0.11	3.65	0.00029	Bipolar disorder	
PRAD	cis	1	rs10014502	chr4:147514051	ZNF827	chr4:146681892-146859607:-	-0.16	-3.61	0.00034	Heart rate	
PRAD	cis	1	rs10017903	chr4:54267009	FIP1L1	chr4:54243820-54326102:+	-0.18	-3.88	0.000119	DNA methylation (variation)	
