cancer.type	eQTL.type	tagSNP	LD	SNP.ID	SNP.position.hg19	Gene.symbol	Gene.position.hg19	Beta	t-stat	P-value	GWAS-Traits	
OV	cis	1	rs10008757	chr4:76903036	NAAA	chr4:76831809-76862166:-	-0.28	-4.8	2.61E-6	Longevity	
OV	cis	1	rs10009541	chr4:17682218	LAP3	chr4:17578927-17609590:+	0.25	4.16	4.25E-5	Parasitemia in Tripanosoma cruzi seropositivity	
OV	cis	1	rs10011865	chr4:17645710	LAP3	chr4:17578927-17609590:+	-0.26	-4.59	6.73E-6	Parasitemia in Tripanosoma cruzi seropositivity	
OV	cis	1	rs10012335	chr4:17628630	LAP3	chr4:17578927-17609590:+	-0.25	-4.26	2.76E-5	Parasitemia in Tripanosoma cruzi seropositivity	
OV	cis	1	rs1001373	chr1:171684506	VAMP4	chr1:171669298-171711214:-	0.38	4.67	4.66E-6	Hippocampal atrophy	
OV	cis	1	rs10019856	chr4:17615742	LAP3	chr4:17578927-17609590:+	-0.24	-3.98	8.66E-5	Parasitemia in Tripanosoma cruzi seropositivity	
OV	cis	1	rs10021364	chr4:310691	ZNF718	chr4:53272-156488:+	-0.41	-3.98	8.82E-5	Immune response to smallpox vaccine (IL-6)	
OV	cis	1	rs1002676	chr3:38444932	LOC100128640	chr3:38492524-38496311:-	-0.24	-3.98	8.77E-5	Electrocardiographic conduction measures	
OV	cis	1	rs10027325	chr4:282608	ZNF718	chr4:53272-156488:+	0.41	4.7	4.14E-6	Immune response to smallpox vaccine (IL-6)	
OV	cis	1	rs10032326	chr4:17630717	LAP3	chr4:17578927-17609590:+	-0.25	-4.22	3.25E-5	Parasitemia in Tripanosoma cruzi seropositivity	
OV	cis	1	rs1003719	chr21:38491095	PIGP	chr21:38437664-38445458:-	-0.32	-5.79	1.93E-8	Eye color traits	
OV	cis	1	rs10051747	chr5:56083289	C5orf35	chr5:56205103-56213010:+	0.71	8.99	3.86E-17	Type 2 diabetes	
OV	cis	1	rs10069964	chr5:101947692	C5orf30	chr5:102594442-102614361:+	-0.42	-3.9	0.000119	Crohn's disease	
OV	cis	1	rs10069964	chr5:101947692	GIN1	chr5:102421704-102455842:-	-0.52	-5.63	4.39E-8	Crohn's disease	
OV	cis	1	rs10069964	chr5:101947692	NUDT12	chr5:102884557-102898490:-	-0.52	-5.25	3.0E-7	Crohn's disease	
OV	cis	1	rs10069964	chr5:101947692	PPIP5K2	chr5:102455958-102538907:+	-0.45	-4.77	2.92E-6	Crohn's disease	
OV	cis	1	rs1008374	chr4:17683219	LAP3	chr4:17578927-17609590:+	-0.24	-4.08	5.94E-5	Parasitemia in Tripanosoma cruzi seropositivity	
OV	cis	1	rs1008375	chr4:17682834	LAP3	chr4:17578927-17609590:+	-0.23	-3.99	8.37E-5	Parasitemia in Tripanosoma cruzi seropositivity	
OV	cis	1	rs10097215	chr8:2506899	ARHGEF10	chr8:1772149-1906806:+	0.38	4.86	1.96E-6	Plasma omega-6 polyunsaturated fatty acid levels (gamma-linolenic acid)	
OV	cis	1	rs10097215	chr8:2506899	CLN8	chr8:1711870-1734735:+	0.38	4.35	1.95E-5	Plasma omega-6 polyunsaturated fatty acid levels (gamma-linolenic acid)	
OV	cis	1	rs1011054	chr4:120202387	METTL14	chr4:119606574-119632075:+	0.33	4.54	8.25E-6	Corneal astigmatism	
OV	cis	1	rs10117059	chr9:123653477	LOC253039	chr9:123605320-123616644:+	-0.27	-3.94	0.000102	Rheumatoid arthritis	
OV	cis	1	rs10134944	chr14:58119196	EXOC5	chr14:57669196-57735617:-	-0.37	-4.16	4.21E-5	Bipolar disorder	
OV	cis	1	rs10140433	chr14:74659989	LIN52	chr14:74551656-74667117:+	-0.24	-3.86	0.000142	Common traits (Other)	
OV	cis	1	rs10157597	chr1:45990278	CCDC163P	chr1:45960581-45965646:-	-0.98	-16.51	4.3E-43	Homocysteine levels	
OV	cis	1	rs10157597	chr1:45990278	MMACHC	chr1:45965856-45976737:+	-0.3	-4.15	4.38E-5	Homocysteine levels	
OV	cis	1	rs10164319	chr19:18569833	SSBP4	chr19:18530221-18545371:+	-0.31	-3.99	8.44E-5	Breast cancer	
OV	cis	1	rs10164323	chr19:18569492	SSBP4	chr19:18530221-18545371:+	-0.35	-4.47	1.15E-5	Breast cancer	
OV	cis	1	rs1016669	chr3:41894440	ULK4	chr3:41288091-42003660:-	0.64	8.5	1.19E-15	Diastolic blood pressure	
OV	cis	1	rs10169714	chr2:73808773	ALMS1P	chr2:73872046-73912692:+	0.37	5.8	1.84E-8	Metabolite levels	
OV	cis	1	rs10177607	chr2:240226439	MGC16025	chr2:240115027-240117153:-	0.45	4.17	4.11E-5	Perioperative myocardial infarction in coronary artery bypass surgery	
OV	cis	1	rs10177970	chr2:37512968	CEBPZ	chr2:37428778-37458740:-	0.28	4.51	9.68E-6	Chronic lymphocytic leukemia	
OV	cis	1	rs10178409	chr2:73855507	ALMS1P	chr2:73872046-73912692:+	0.36	5.14	5.08E-7	Urinary metabolites	
OV	cis	1	rs10178975	chr2:37514564	CEBPZ	chr2:37428778-37458740:-	-0.28	-4.41	1.51E-5	Chronic lymphocytic leukemia	
OV	cis	1	rs10179134	chr2:73637519	ALMS1P	chr2:73872046-73912692:+	0.39	5.84	1.46E-8	Metabolite levels	
OV	cis	1	rs1018184	chr6:86648475	SNHG5	chr6:86386726-86388451:-	0.65	10.99	1.49E-23	Response to antipsychotic treatment	
