cancer.type	eQTL.type	tagSNP	LD	SNP.ID	SNP.position.hg19	Gene.symbol	Gene.position.hg19	Beta	t-stat	P-value	GWAS-Traits	
UCEC	cis	1	rs10051747	chr5:56083289	C5orf35	chr5:56205103-56213010:+	0.58	6.18	5.74E-9	Type 2 diabetes	
UCEC	cis	1	rs10157597	chr1:45990278	CCDC163P	chr1:45960581-45965646:-	-0.57	-7.25	1.94E-11	Homocysteine levels	
UCEC	cis	1	rs1016669	chr3:41894440	ULK4	chr3:41288091-42003660:-	0.52	6.25	3.94E-9	Diastolic blood pressure	
UCEC	cis	1	rs10169714	chr2:73808773	ALMS1P	chr2:73872046-73912692:+	0.47	5.52	1.42E-7	Metabolite levels	
UCEC	cis	1	rs10175180	chr2:73673123	ALMS1P	chr2:73872046-73912692:+	0.54	6.52	9.93E-10	Metabolite levels	
UCEC	cis	1	rs10179134	chr2:73637519	ALMS1P	chr2:73872046-73912692:+	0.46	5.38	2.82E-7	Metabolite levels	
UCEC	cis	1	rs1018184	chr6:86648475	SNHG5	chr6:86386726-86388451:-	0.43	5.18	6.91E-7	Response to antipsychotic treatment	
UCEC	cis	1	rs10184268	chr2:73627044	ALMS1P	chr2:73872046-73912692:+	0.54	6.44	1.5E-9	Metabolite levels	
UCEC	cis	1	rs10186501	chr2:73697844	ALMS1P	chr2:73872046-73912692:+	0.53	6.34	2.47E-9	Metabolite levels	
UCEC	cis	1	rs10187416	chr2:73713741	ALMS1P	chr2:73872046-73912692:+	0.52	5.94	1.88E-8	Metabolite levels	
UCEC	cis	1	rs10189574	chr2:73698518	ALMS1P	chr2:73872046-73912692:+	0.55	6.57	7.66E-10	Metabolite levels	
UCEC	cis	1	rs10190219	chr2:73658331	ALMS1P	chr2:73872046-73912692:+	0.46	5.37	2.89E-7	Metabolite levels	
UCEC	cis	1	rs10193373	chr2:281886	SH3YL1	chr2:218138-264810:-	-0.5	-6.77	2.59E-10	Spherical equivalent (joint main effects and education interaction)	
UCEC	cis	1	rs10193972	chr2:73717656	ALMS1P	chr2:73872046-73912692:+	0.53	6.29	3.29E-9	Metabolite levels	
UCEC	cis	1	rs10207220	chr2:73785046	ALMS1P	chr2:73872046-73912692:+	0.47	5.53	1.39E-7	Metabolite levels	
UCEC	cis	1	rs10212536	chr3:41827026	ULK4	chr3:41288091-42003660:-	0.51	5.91	2.21E-8	Diastolic blood pressure	
UCEC	cis	1	rs10216533	chr8:143763690	PSCA	chr8:143761875-143764142:+	0.41	5.08	1.1E-6	Gastric adenocarcinoma (histologically verified);Non-cardia gastric cancer;Gastric cancer;Duodenal ulcer;Bladder cancer	
UCEC	cis	1	rs10218795	chr1:145416056	NOTCH2NL	chr1:145209111-145295525:+	0.72	6.9	1.34E-10	Coronary heart disease	
UCEC	cis	1	rs10234309	chr7:135311167	PL-5283	chr7:135347221-135378160:+	0.53	5.4	2.52E-7	Paget's disease	
UCEC	cis	1	rs1036554	chr2:86236099	LOC90784	chr2:86247339-86250991:-	-0.69	-6.42	1.65E-9	Response to methylphenidate treatment in attention-deficit/hyperactivity disorder (blood pressure)	
UCEC	cis	1	rs1044717	chr1:45976587	CCDC163P	chr1:45960581-45965646:-	-0.57	-7.3	1.52E-11	Homocysteine levels	
UCEC	cis	1	rs10455158	chr6:86672825	SNHG5	chr6:86386726-86388451:-	-0.42	-4.96	1.9E-6	Response to antipsychotic treatment	
UCEC	cis	1	rs1045531	chr8:143763547	PSCA	chr8:143761875-143764142:+	0.41	5.18	6.94E-7	Gastric adenocarcinoma (histologically verified);Non-cardia gastric cancer;Gastric cancer;Duodenal ulcer;Bladder cancer	
UCEC	cis	1	rs10455449	chr6:86592226	SNHG5	chr6:86386726-86388451:-	-0.54	-5.87	2.64E-8	Response to antipsychotic treatment	
UCEC	cis	1	rs10455455	chr6:86670214	SNHG5	chr6:86386726-86388451:-	-0.52	-5.88	2.51E-8	Response to antipsychotic treatment	
UCEC	cis	1	rs10455456	chr6:86670322	SNHG5	chr6:86386726-86388451:-	-0.42	-4.96	1.9E-6	Response to antipsychotic treatment	
UCEC	cis	1	rs1045547	chr8:143763757	PSCA	chr8:143761875-143764142:+	0.42	5.18	6.97E-7	Gastric adenocarcinoma (histologically verified);Non-cardia gastric cancer;Gastric cancer;Duodenal ulcer;Bladder cancer	
UCEC	cis	1	rs1045574	chr8:143763958	PSCA	chr8:143761875-143764142:+	0.43	5.39	2.62E-7	Gastric adenocarcinoma (histologically verified);Non-cardia gastric cancer;Gastric cancer;Duodenal ulcer;Bladder cancer	
UCEC	cis	1	rs1045605	chr8:143764101	PSCA	chr8:143761875-143764142:+	0.41	5.1	9.99E-7	Gastric adenocarcinoma (histologically verified);Non-cardia gastric cancer;Gastric cancer;Duodenal ulcer;Bladder cancer	
UCEC	cis	1	rs10456622	chr6:49396453	MUT	chr6:49398994-49431031:-	0.34	5.95	1.74E-8	Folate pathway vitamin levels	
UCEC	cis	1	rs10461617	chr5:56104308	C5orf35	chr5:56205103-56213010:+	0.55	6.17	5.86E-9	Type 2 diabetes	
UCEC	cis	1	rs10496191	chr2:73673798	ALMS1P	chr2:73872046-73912692:+	0.54	6.5	1.06E-9	Metabolite levels	
UCEC	cis	1	rs10496193	chr2:73773503	ALMS1P	chr2:73872046-73912692:+	0.51	6.09	9.0E-9	Metabolite levels	
UCEC	cis	1	rs10498958	chr6:86649705	SNHG5	chr6:86386726-86388451:-	0.53	5.93	1.94E-8	Response to antipsychotic treatment	
UCEC	cis	1	rs1052501	chr3:41925398	ULK4	chr3:41288091-42003660:-	-0.52	-6.32	2.73E-9	Diastolic blood pressure	
UCEC	cis	1	rs10736426	chr1:45984353	CCDC163P	chr1:45960581-45965646:-	0.47	6.48	1.23E-9	Homocysteine levels	
UCEC	cis	1	rs10747783	chr12:58176614	TSFM	chr12:58176536-58191367:+	-0.44	-4.76	4.57E-6	Multiple sclerosis	
UCEC	cis	1	rs10783847	chr12:58196447	TSFM	chr12:58176536-58191367:+	-0.4	-4.38	2.22E-5	Multiple sclerosis	
UCEC	cis	1	rs10865914	chr3:41919499	ULK4	chr3:41288091-42003660:-	-0.54	-6.59	6.63E-10	Diastolic blood pressure	
UCEC	cis	1	rs10877012	chr12:58162085	TSFM	chr12:58176536-58191367:+	-0.42	-4.5	1.35E-5	Multiple sclerosis	
UCEC	cis	1	rs10877015	chr12:58167788	TSFM	chr12:58176536-58191367:+	-0.41	-4.37	2.31E-5	Multiple sclerosis	
UCEC	cis	1	rs10877019	chr12:58172929	TSFM	chr12:58176536-58191367:+	0.5	5.54	1.33E-7	Multiple sclerosis	
UCEC	cis	1	rs10944161	chr6:86630376	SNHG5	chr6:86386726-86388451:-	-0.42	-4.96	1.9E-6	Response to antipsychotic treatment	
UCEC	cis	1	rs10944163	chr6:86658693	SNHG5	chr6:86386726-86388451:-	-0.53	-5.8	3.64E-8	Response to antipsychotic treatment	
UCEC	cis	1	rs10944169	chr6:86683036	SNHG5	chr6:86386726-86388451:-	-0.42	-4.96	1.9E-6	Response to antipsychotic treatment	
UCEC	cis	1	rs10944170	chr6:86685469	SNHG5	chr6:86386726-86388451:-	-0.42	-4.96	1.9E-6	Response to antipsychotic treatment	
UCEC	cis	1	rs1106844	chr14:36861613	MBIP	chr14:36767764-36789882:-	0.37	4.74	4.9E-6	Malaria	
UCEC	cis	1	rs1106845	chr14:36861356	MBIP	chr14:36767764-36789882:-	0.36	4.56	1.04E-5	Malaria	
UCEC	cis	1	rs11123170	chr2:113978940	LOC654433	chr2:113993107-114024579:+	-0.75	-8.55	1.22E-14	Renal function-related traits (BUN)	
UCEC	cis	1	rs111315781	chr2:201738724	PPIL3	chr2:201735680-201753999:-	-0.62	-4.72	5.21E-6	Triptolide cytotoxicity	
UCEC	cis	1	rs11132254	chr4:185611592	MLF1IP	chr4:185615220-185655286:-	-0.4	-5.43	2.17E-7	Kawasaki disease	
UCEC	cis	1	rs1114380	chr2:73804708	ALMS1P	chr2:73872046-73912692:+	0.47	5.52	1.42E-7	Metabolite levels	
UCEC	cis	1	rs11156875	chr14:35619816	PPP2R3C	chr14:35554679-35591679:-	0.51	4.79	4.01E-6	Atopic dermatitis	
UCEC	cis	1	rs11172333	chr12:58170335	TSFM	chr12:58176536-58191367:+	-0.45	-4.98	1.69E-6	Multiple sclerosis	
UCEC	cis	1	rs11172335	chr12:58175201	TSFM	chr12:58176536-58191367:+	-0.45	-4.76	4.48E-6	Multiple sclerosis	
UCEC	cis	1	rs11172342	chr12:58187758	TSFM	chr12:58176536-58191367:+	-0.45	-4.76	4.48E-6	Multiple sclerosis	
UCEC	cis	1	rs11172343	chr12:58188157	TSFM	chr12:58176536-58191367:+	-0.45	-4.76	4.48E-6	Multiple sclerosis	
UCEC	cis	1	rs11172349	chr12:58212528	TSFM	chr12:58176536-58191367:+	-0.46	-5	1.58E-6	Multiple sclerosis	
UCEC	cis	1	rs11172351	chr12:58213485	TSFM	chr12:58176536-58191367:+	-0.45	-4.89	2.51E-6	Multiple sclerosis	
UCEC	cis	1	rs11201312	chr10:81795778	LOC219347	chr10:81805991-81838949:-	0.65	4.7	5.66E-6	Chronic obstructive pulmonary disease-related biomarkers	
UCEC	cis	1	rs11201660	chr10:81854531	LOC219347	chr10:81805991-81838949:-	-0.71	-5.24	5.28E-7	Chronic obstructive pulmonary disease-related biomarkers	
UCEC	cis	1	rs11211132	chr1:45990516	CCDC163P	chr1:45960581-45965646:-	-0.57	-7.31	1.45E-11	Homocysteine levels	
UCEC	cis	1	rs1125203	chr3:41760895	ULK4	chr3:41288091-42003660:-	0.51	6.28	3.36E-9	Diastolic blood pressure	
UCEC	cis	1	rs1133483	chr4:100023923	ADH4	chr4:100044835-100065449:-	-0.38	-5.61	9.48E-8	HDL cholesterol	
UCEC	cis	1	rs1138273	chr3:134261437	ANAPC13	chr3:134196547-134204865:-	0.4	4.63	7.74E-6	Height	
UCEC	cis	1	rs1141321	chr6:49412433	MUT	chr6:49398994-49431031:-	0.41	6.83	1.93E-10	Folate pathway vitamin levels	
UCEC	cis	1	rs114960066	chr3:41882323	ULK4	chr3:41288091-42003660:-	0.52	6.33	2.61E-9	Diastolic blood pressure	
UCEC	cis	1	rs114976176	chr2:264621	SH3YL1	chr2:218138-264810:-	-0.46	-6.42	1.61E-9	Spherical equivalent (joint main effects and education interaction)	
UCEC	cis	1	rs11553746	chr2:272203	SH3YL1	chr2:218138-264810:-	-0.5	-6.58	7.34E-10	Spherical equivalent (joint main effects and education interaction)	
UCEC	cis	1	rs11638297	chr15:84782417	LOC388152	chr15:84867600-84898920:-	-0.48	-4.98	1.69E-6	Schizophrenia	
UCEC	cis	1	rs11638394	chr15:84778928	LOC388152	chr15:84867600-84898920:-	-0.43	-4.48	1.44E-5	Schizophrenia	
UCEC	cis	1	rs11645002	chr16:20617841	ACSM1	chr16:20634559-20709066:-	0.41	4.7	5.74E-6	Urinary metabolites	
UCEC	cis	1	rs11651264	chr17:79576394	TSPAN10	chr17:79609349-79615778:+	-0.66	-8.57	1.11E-14	Eye color traits	
UCEC	cis	1	rs11652797	chr17:79574124	TSPAN10	chr17:79609349-79615778:+	0.66	8.41	2.74E-14	Eye color traits	
UCEC	cis	1	rs11674602	chr2:73723185	ALMS1P	chr2:73872046-73912692:+	0.53	6.14	6.87E-9	Metabolite levels	
UCEC	cis	1	rs1167827	chr7:75163169	PMS2L3	chr7:75137070-75157418:-	-0.55	-6.65	5.04E-10	Body mass index	
UCEC	cis	1	rs11689392	chr2:73622026	ALMS1P	chr2:73872046-73912692:+	0.54	6.42	1.64E-9	Metabolite levels	
