cancer.type	eQTL.type	tagSNP	LD	SNP.ID	SNP.position.hg19	Gene.symbol	Gene.position.hg19	Beta	t-stat	P-value	GWAS-Traits	
LUSC	cis	1	rs1000113	chr5:150240076	LOC134466	chr5:150310000-150326146:-	0.42	5.85	9.32E-9	Crohn's disease	
LUSC	cis	1	rs10002332	chr4:129875301	C4orf33	chr4:130014829-130033842:+	0.38	7.03	7.39E-12	Chronic obstructive pulmonary disease (moderate to severe)	
LUSC	cis	1	rs10003708	chr4:90643051	MMRN1	chr4:90816003-90875778:+	0.25	3.95	9.0E-5	Parkinson's disease	
LUSC	cis	1	rs10006789	chr4:1330333	CRIPAK	chr4:1385340-1389782:+	0.3	5.13	4.2E-7	Systolic blood pressure	
LUSC	cis	1	rs10007119	chr4:3473066	LRPAP1	chr4:3514290-3534224:-	0.18	3.97	8.36E-5	Triglycerides;Cholesterol, total;LDL cholesterol	
LUSC	cis	1	rs10008757	chr4:76903036	NAAA	chr4:76831809-76862166:-	-0.27	-5.79	1.28E-8	Longevity	
LUSC	cis	1	rs10009741	chr4:75711506	G3BP2	chr4:76567955-76598667:-	0.31	3.8	0.000162	Electroencephalogram traits	
LUSC	cis	1	rs10011647	chr4:75711216	G3BP2	chr4:76567955-76598667:-	0.31	3.8	0.000162	Electroencephalogram traits	
LUSC	cis	1	rs1001204	chr2:30478779	LBH	chr2:30454397-30482899:+	-0.23	-3.75	0.000202	Systemic lupus erythematosus	
LUSC	cis	1	rs10012335	chr4:17628630	MED28	chr4:17616273-17629791:+	0.18	3.74	0.000209	Parasitemia in Tripanosoma cruzi seropositivity	
LUSC	cis	1	rs10030019	chr4:106998448	TBCK	chr4:106967233-107237861:-	0.28	5.3	1.75E-7	Airflow obstruction	
LUSC	cis	1	rs10033209	chr4:90653704	MMRN1	chr4:90816003-90875778:+	0.25	3.8	0.000166	Parkinson's disease	
LUSC	cis	1	rs1003719	chr21:38491095	PIGP	chr21:38437664-38445458:-	-0.33	-6.34	5.27E-10	Eye color traits	
LUSC	cis	1	rs10047845	chr14:103481677	MARK3	chr14:103851701-103970164:+	-0.31	-3.72	0.000223	Large B-cell lymphoma	
LUSC	cis	1	rs10051747	chr5:56083289	C5orf35	chr5:56205103-56213010:+	0.88	15.04	4.26E-42	Type 2 diabetes	
LUSC	cis	1	rs1006396	chr22:30017000	CCDC157	chr22:30752627-30772816:+	0.22	3.83	0.000143	Lipid traits	
LUSC	cis	1	rs1006396	chr22:30017000	NIPSNAP1	chr22:29950800-29977144:-	0.26	4.5	8.54E-6	Lipid traits	
LUSC	cis	1	rs1006581	chr7:150511923	TMEM176A	chr7:150497854-150502208:+	-0.11	-3.76	0.000189	Forced expiratory volume in 1 second (environmental interaction)	
LUSC	cis	1	rs1006599	chr3:132716570	TMEM108	chr3:132757171-133116618:+	0.21	4.91	1.24E-6	IgE grass sensitization	
LUSC	cis	1	rs1006722	chr4:17618713	MED28	chr4:17616273-17629791:+	-0.18	-3.85	0.000133	Parasitemia in Tripanosoma cruzi seropositivity	
LUSC	cis	1	rs10076701	chr5:131596419	C5orf56	chr5:131746673-131822549:+	0.12	4.15	3.87E-5	Blood metabolite levels	
LUSC	cis	1	rs10076701	chr5:131596419	SLC22A5	chr5:131705401-131731302:+	-0.19	-4.07	5.56E-5	Blood metabolite levels	
LUSC	cis	1	rs10080429	chr6:109738106	AKD1	chr6:109814059-110012415:-	-0.16	-3.8	0.000163	Height	
