cancer.type	eQTL.type	tagSNP	LD	SNP.ID	SNP.position.hg19	Gene.symbol	Gene.position.hg19	Beta	t-stat	P-value	GWAS-Traits	
STAD	cis	1	rs1000113	chr5:150240076	LOC134466	chr5:150310000-150326146:-	0.35	5.59	4.31E-8	Crohn's disease	
STAD	cis	1	rs10002332	chr4:129875301	C4orf33	chr4:130014829-130033842:+	0.44	6.95	1.52E-11	Chronic obstructive pulmonary disease (moderate to severe)	
STAD	cis	1	rs10007789	chr4:165890377	C4orf39	chr4:165878100-165880273:+	0.2	4.59	5.92E-6	Ovarian cancer in BRCA1 mutation carriers	
STAD	cis	1	rs10008757	chr4:76903036	NAAA	chr4:76831809-76862166:-	-0.41	-5.94	6.4E-9	Longevity	
STAD	cis	1	rs10009541	chr4:17682218	LAP3	chr4:17578927-17609590:+	0.19	3.93	9.95E-5	Parasitemia in Tripanosoma cruzi seropositivity	
STAD	cis	1	rs10011259	chr4:54285952	SCFD2	chr4:53739152-54232242:-	0.29	4.3	2.17E-5	DNA methylation (variation)	
STAD	cis	1	rs10012335	chr4:17628630	LAP3	chr4:17578927-17609590:+	-0.19	-3.94	9.48E-5	Parasitemia in Tripanosoma cruzi seropositivity	
STAD	cis	1	rs1001373	chr1:171684506	VAMP4	chr1:171669298-171711214:-	0.34	6.29	8.76E-10	Hippocampal atrophy	
STAD	cis	1	rs10017903	chr4:54267009	SCFD2	chr4:53739152-54232242:-	0.29	4.3	2.17E-5	DNA methylation (variation)	
STAD	cis	1	rs10019856	chr4:17615742	LAP3	chr4:17578927-17609590:+	-0.21	-4.38	1.53E-5	Parasitemia in Tripanosoma cruzi seropositivity	
STAD	cis	1	rs10023335	chr4:77358987	STBD1	chr4:77172853-77232282:+	-0.29	-4.31	2.06E-5	Creatinine levels	
STAD	cis	1	rs1002675	chr3:38445226	XYLB	chr3:38388251-38456467:+	0.21	4.27	2.49E-5	Electrocardiographic conduction measures	
STAD	cis	1	rs1002676	chr3:38444932	XYLB	chr3:38388251-38456467:+	-0.22	-4.47	1.04E-5	Electrocardiographic conduction measures	
STAD	cis	1	rs10032326	chr4:17630717	LAP3	chr4:17578927-17609590:+	-0.19	-3.96	8.75E-5	Parasitemia in Tripanosoma cruzi seropositivity	
STAD	cis	1	rs1003719	chr21:38491095	PIGP	chr21:38437664-38445458:-	-0.25	-5.17	3.72E-7	Eye color traits	
STAD	cis	1	rs1003719	chr21:38491095	TTC3	chr21:38445571-38575406:+	0.24	4.77	2.67E-6	Eye color traits	
STAD	cis	1	rs10041072	chr5:150259642	LOC134466	chr5:150310000-150326146:-	0.29	4.8	2.31E-6	Crohn's disease	
STAD	cis	1	rs10051747	chr5:56083289	C5orf35	chr5:56205103-56213010:+	0.87	17.13	1.97E-49	Type 2 diabetes	
STAD	cis	1	rs10051804	chr5:150226424	LOC134466	chr5:150310000-150326146:-	0.3	4.89	1.45E-6	Crohn's disease	
STAD	cis	1	rs10051924	chr5:150226639	LOC134466	chr5:150310000-150326146:-	0.31	4.91	1.31E-6	Crohn's disease	
STAD	cis	1	rs1005224	chr14:76173860	TTLL5	chr14:76127621-76421421:+	0.22	3.91	0.00011	Large artery stroke	
STAD	cis	1	rs10052606	chr5:150272217	LOC134466	chr5:150310000-150326146:-	0.32	5.06	6.35E-7	Crohn's disease	
STAD	cis	1	rs10053750	chr5:150270051	LOC134466	chr5:150310000-150326146:-	0.29	4.65	4.54E-6	Crohn's disease	
STAD	cis	1	rs10057988	chr5:150272062	LOC134466	chr5:150310000-150326146:-	0.32	5.06	6.35E-7	Crohn's disease	
STAD	cis	1	rs10058821	chr5:150226385	LOC134466	chr5:150310000-150326146:-	0.3	4.89	1.45E-6	Crohn's disease	
STAD	cis	1	rs10058943	chr5:150226586	LOC134466	chr5:150310000-150326146:-	0.3	4.85	1.76E-6	Crohn's disease	
STAD	cis	1	rs10061105	chr5:150255185	LOC134466	chr5:150310000-150326146:-	0.32	5.05	6.68E-7	Crohn's disease	
STAD	cis	1	rs10065172	chr5:150227998	LOC134466	chr5:150310000-150326146:-	0.28	4.54	7.53E-6	Crohn's disease	
STAD	cis	1	rs1007133	chr10:38225293	HSD17B7P2	chr10:38645308-38667432:+	-0.32	-3.84	0.000145	Obesity (extreme)	
STAD	cis	1	rs1007401	chr5:148382965	ARHGEF37	chr5:148961135-149014527:+	0.25	3.91	0.000109	Diastolic blood pressure	
STAD	cis	1	rs10076701	chr5:131596419	PDLIM4	chr5:131593351-131609145:+	-0.15	-3.83	0.000148	Blood metabolite levels	
STAD	cis	1	rs10078963	chr5:148400424	ARHGEF37	chr5:148961135-149014527:+	0.24	3.87	0.000129	Diastolic blood pressure	
STAD	cis	1	rs10078968	chr5:150244273	LOC134466	chr5:150310000-150326146:-	0.32	5.05	6.68E-7	Crohn's disease	
STAD	cis	1	rs10080429	chr6:109738106	SMPD2	chr6:109761931-109765121:+	0.25	4.92	1.3E-6	Height	
STAD	cis	1	rs1008374	chr4:17683219	LAP3	chr4:17578927-17609590:+	-0.18	-3.89	0.000117	Parasitemia in Tripanosoma cruzi seropositivity	
STAD	cis	1	rs1008375	chr4:17682834	LAP3	chr4:17578927-17609590:+	-0.19	-4.08	5.39E-5	Parasitemia in Tripanosoma cruzi seropositivity	
STAD	cis	1	rs10092003	chr8:96036422	C8orf38	chr8:95908040-96088396:+	-0.34	-4.13	4.47E-5	Vincristine-induced peripheral neuropathy in acute lymphoblastic leukemia	
STAD	cis	1	rs1009242	chr9:131916832	CRAT	chr9:131857075-131873070:-	0.28	4.97	9.82E-7	Blood metabolite ratios	
STAD	cis	1	rs1009242	chr9:131916832	PPP2R4	chr9:131873244-131911223:+	0.22	4.58	6.32E-6	Blood metabolite ratios	
STAD	cis	1	rs10093594	chr8:96033236	C8orf38	chr8:95908040-96088396:+	0.33	3.99	7.84E-5	Vincristine-induced peripheral neuropathy in acute lymphoblastic leukemia	
STAD	cis	1	rs10096455	chr8:96041250	C8orf38	chr8:95908040-96088396:+	-0.34	-4.13	4.4E-5	Vincristine-induced peripheral neuropathy in acute lymphoblastic leukemia	
STAD	cis	1	rs10098197	chr8:96042890	C8orf38	chr8:95908040-96088396:+	-0.34	-4.13	4.4E-5	Vincristine-induced peripheral neuropathy in acute lymphoblastic leukemia	
STAD	cis	1	rs10100089	chr8:96025093	C8orf38	chr8:95908040-96088396:+	-0.33	-3.91	0.000109	Vincristine-induced peripheral neuropathy in acute lymphoblastic leukemia	
STAD	cis	1	rs10100842	chr8:96025903	C8orf38	chr8:95908040-96088396:+	-0.33	-3.91	0.000109	Vincristine-induced peripheral neuropathy in acute lymphoblastic leukemia	
STAD	cis	1	rs10103841	chr8:96025904	C8orf38	chr8:95908040-96088396:+	-0.33	-3.91	0.000109	Vincristine-induced peripheral neuropathy in acute lymphoblastic leukemia	
STAD	cis	1	rs10106491	chr8:96038959	C8orf38	chr8:95908040-96088396:+	-0.34	-4.13	4.4E-5	Vincristine-induced peripheral neuropathy in acute lymphoblastic leukemia	
STAD	cis	1	rs10110267	chr8:92073814	LRRC69	chr8:92114847-92231464:+	-0.25	-4.5	9.18E-6	Migraine - clinic-based	
STAD	cis	1	rs10111300	chr8:96025631	C8orf38	chr8:95908040-96088396:+	-0.33	-3.91	0.000109	Vincristine-induced peripheral neuropathy in acute lymphoblastic leukemia	
STAD	cis	1	rs10112230	chr8:96038072	C8orf38	chr8:95908040-96088396:+	-0.34	-4.13	4.4E-5	Vincristine-induced peripheral neuropathy in acute lymphoblastic leukemia	
STAD	cis	1	rs10113545	chr8:96029707	C8orf38	chr8:95908040-96088396:+	-0.33	-3.92	0.000105	Vincristine-induced peripheral neuropathy in acute lymphoblastic leukemia	
STAD	cis	1	rs10117059	chr9:123653477	LOC253039	chr9:123605320-123616644:+	-0.36	-6.36	5.78E-10	Rheumatoid arthritis	
STAD	cis	1	rs10127539	chr1:110620117	ALX3	chr1:110602998-110613322:-	-0.22	-4.08	5.36E-5	Blood metabolite levels	
STAD	cis	1	rs1013338	chr22:38974154	LOC646851	chr22:38974125-39052634:-	0.24	5.28	2.18E-7	Resting heart rate	
STAD	cis	1	rs10135	chr22:39082174	LOC646851	chr22:38974125-39052634:-	-0.24	-5.19	3.38E-7	Resting heart rate	
STAD	cis	1	rs10144220	chr14:74647904	LIN52	chr14:74551656-74667117:+	-0.37	-6.89	2.2E-11	Common traits (Other)	
STAD	cis	1	rs10150201	chr14:74649157	LIN52	chr14:74551656-74667117:+	-0.37	-6.98	1.31E-11	Common traits (Other)	
STAD	cis	1	rs10157597	chr1:45990278	CCDC163P	chr1:45960581-45965646:-	-0.49	-7.96	1.86E-14	Homocysteine levels	
STAD	cis	1	rs10164319	chr19:18569833	ISYNA1	chr19:18545625-18548943:-	0.24	4.16	4.0E-5	Breast cancer	
STAD	cis	1	rs10164323	chr19:18569492	ISYNA1	chr19:18545625-18548943:-	0.23	3.95	9.28E-5	Breast cancer	
STAD	cis	1	rs1016669	chr3:41894440	ULK4	chr3:41288091-42003660:-	0.78	12.43	4.11E-30	Diastolic blood pressure	
STAD	cis	1	rs10169714	chr2:73808773	ALMS1P	chr2:73872046-73912692:+	0.49	7.73	9.19E-14	Metabolite levels	
STAD	cis	1	rs10169714	chr2:73808773	TPRKB	chr2:73956957-73964517:-	-0.21	-4.47	1.03E-5	Metabolite levels	
STAD	cis	1	rs10170846	chr2:223517705	FARSB	chr2:223436162-223520827:-	-0.25	-4.87	1.65E-6	Schizophrenia (inflammation and infection response interaction)	
STAD	cis	1	rs10172118	chr2:219913512	SLC23A3	chr2:220026183-220034817:-	0.38	4.38	1.52E-5	Height	
STAD	cis	1	rs10173081	chr2:102957348	IL1RL1	chr2:102927962-102968497:+	0.3	4.58	6.39E-6	Asthma	
STAD	cis	1	rs10177466	chr2:219910988	SLC23A3	chr2:220026183-220034817:-	0.36	4.15	4.02E-5	Height	
STAD	cis	1	rs10178409	chr2:73855507	ALMS1P	chr2:73872046-73912692:+	0.52	8.08	8.48E-15	Urinary metabolites	
STAD	cis	1	rs10178409	chr2:73855507	STAMBP	chr2:74056086-74100759:+	-0.27	-3.99	8.01E-5	Urinary metabolites	
STAD	cis	1	rs10178409	chr2:73855507	TPRKB	chr2:73956957-73964517:-	-0.21	-4.3	2.19E-5	Urinary metabolites	
STAD	cis	1	rs10179134	chr2:73637519	ALMS1P	chr2:73872046-73912692:+	0.47	7.57	2.68E-13	Metabolite levels	
STAD	cis	1	rs10179134	chr2:73637519	TPRKB	chr2:73956957-73964517:-	-0.22	-4.7	3.58E-6	Metabolite levels	
STAD	cis	1	rs10179458	chr2:102934974	IL1RL1	chr2:102927962-102968497:+	0.3	4.37	1.57E-5	Asthma	
STAD	cis	1	rs1018184	chr6:86648475	SNHG5	chr6:86386726-86388451:-	0.66	13.1	9.53E-33	Response to antipsychotic treatment	
STAD	cis	1	rs10187192	chr2:73713500	ALMS1P	chr2:73872046-73912692:+	0.49	7.69	1.25E-13	Metabolite levels	
STAD	cis	1	rs10187192	chr2:73713500	TPRKB	chr2:73956957-73964517:-	-0.23	-4.88	1.52E-6	Metabolite levels	
STAD	cis	1	rs10189154	chr2:102937544	IL1RL1	chr2:102927962-102968497:+	0.31	4.65	4.64E-6	Asthma	
STAD	cis	1	rs10189526	chr2:102937883	IL1RL1	chr2:102927962-102968497:+	0.31	4.65	4.64E-6	Asthma	
STAD	cis	1	rs10190219	chr2:73658331	ALMS1P	chr2:73872046-73912692:+	0.51	7.95	1.99E-14	Metabolite levels	
STAD	cis	1	rs10190219	chr2:73658331	TPRKB	chr2:73956957-73964517:-	-0.21	-4.39	1.49E-5	Metabolite levels	
STAD	cis	1	rs10193373	chr2:281886	SH3YL1	chr2:218138-264810:-	-0.6	-12.63	6.86E-31	Spherical equivalent (joint main effects and education interaction)	
STAD	cis	1	rs10197172	chr2:219955936	SLC23A3	chr2:220026183-220034817:-	0.39	4.67	4.23E-6	Height	
STAD	cis	1	rs10201445	chr2:219914717	SLC23A3	chr2:220026183-220034817:-	0.38	4.38	1.52E-5	Height	
STAD	cis	1	rs10207220	chr2:73785046	ALMS1P	chr2:73872046-73912692:+	0.51	8.05	1.01E-14	Metabolite levels	
STAD	cis	1	rs10207220	chr2:73785046	TPRKB	chr2:73956957-73964517:-	-0.2	-4.28	2.38E-5	Metabolite levels	
STAD	cis	1	rs10208728	chr2:219917303	SLC23A3	chr2:220026183-220034817:-	0.38	4.45	1.13E-5	Height	
STAD	cis	1	rs10209928	chr2:108863898	SULT1C2	chr2:108905095-108926370:+	0.27	4.22	2.99E-5	Blood pressure	
STAD	cis	1	rs10209928	chr2:108863898	SULT1C3	chr2:108863651-108881806:+	0.38	7.17	3.83E-12	Blood pressure	
STAD	cis	1	rs1021464	chr1:76375415	ACADM	chr1:76190043-76229353:+	-0.31	-4.48	9.92E-6	Attention function in attention deficit hyperactive disorder	
STAD	cis	1	rs10216533	chr8:143763690	PSCA	chr8:143761875-143764142:+	0.34	6.96	1.42E-11	Gastric adenocarcinoma (histologically verified);Non-cardia gastric cancer;Gastric cancer;Duodenal ulcer;Bladder cancer	
STAD	cis	1	rs10218795	chr1:145416056	NOTCH2NL	chr1:145209111-145295525:+	0.55	5.45	9.05E-8	Coronary heart disease	
STAD	cis	1	rs10234309	chr7:135311167	PL-5283	chr7:135347221-135378160:+	0.46	7.3	1.68E-12	Paget's disease	
STAD	cis	1	rs10234309	chr7:135311167	SLC13A4	chr7:135365993-135412933:-	-0.65	-10.22	7.01E-22	Paget's disease	
STAD	cis	1	rs10256972	chr7:1039003	ZFAND2A	chr7:1192544-1199855:-	0.38	6.28	9.23E-10	Longevity;Endometriosis	
STAD	cis	1	rs1028449	chr14:35512995	PPP2R3C	chr14:35554679-35591679:-	0.28	3.98	8.1E-5	Atopic dermatitis	
STAD	cis	1	rs1030831	chr4:130025037	C4orf33	chr4:130014829-130033842:+	-0.42	-6.82	3.39E-11	Chronic obstructive pulmonary disease (moderate to severe)	
STAD	cis	1	rs1037147	chr4:130025873	C4orf33	chr4:130014829-130033842:+	-0.42	-6.82	3.41E-11	Chronic obstructive pulmonary disease (moderate to severe)	
STAD	cis	1	rs10401507	chr19:52156867	SIGLEC14	chr19:52145808-52150132:-	-0.27	-3.86	0.000132	Plasma plasminogen levels	
STAD	cis	1	rs10402468	chr19:17384003	OCEL1	chr19:17337055-17340027:+	0.36	5.12	4.77E-7	Breast cancer (estrogen-receptor negative);Breast Cancer in BRCA1 mutation carriers;Epithelial ovarian cancer;Ovarian cancer;Breast cancer	
STAD	cis	1	rs10403249	chr19:18604942	ISYNA1	chr19:18545625-18548943:-	0.23	4.02	6.98E-5	Breast cancer	
STAD	cis	1	rs10405636	chr19:18538742	ISYNA1	chr19:18545625-18548943:-	0.22	3.92	0.000105	Breast cancer	
STAD	cis	1	rs10406920	chr19:17389648	OCEL1	chr19:17337055-17340027:+	0.33	4.69	3.72E-6	Breast cancer (estrogen-receptor negative);Breast Cancer in BRCA1 mutation carriers;Epithelial ovarian cancer;Ovarian cancer;Breast cancer	
STAD	cis	1	rs10409483	chr19:18590223	ISYNA1	chr19:18545625-18548943:-	0.22	3.89	0.000117	Breast cancer	
STAD	cis	1	rs10409505	chr19:18590251	ISYNA1	chr19:18545625-18548943:-	0.22	3.89	0.000117	Breast cancer	
STAD	cis	1	rs10411009	chr19:18606266	ISYNA1	chr19:18545625-18548943:-	0.25	4.4	1.41E-5	Breast cancer	
STAD	cis	1	rs10412972	chr19:52154905	SIGLEC14	chr19:52145808-52150132:-	-0.26	-3.85	0.000138	Plasma plasminogen levels	
STAD	cis	1	rs10416654	chr19:17385176	OCEL1	chr19:17337055-17340027:+	0.34	4.82	2.06E-6	Breast cancer (estrogen-receptor negative);Breast Cancer in BRCA1 mutation carriers;Epithelial ovarian cancer;Ovarian cancer;Breast cancer	
STAD	cis	1	rs1041748	chr22:24700854	POM121L9P	chr22:24647589-24661490:+	-0.25	-5.98	5.06E-9	Gut microbiome composition (summer)	
STAD	cis	1	rs10418154	chr19:17386006	OCEL1	chr19:17337055-17340027:+	0.34	4.82	2.06E-6	Breast cancer (estrogen-receptor negative);Breast Cancer in BRCA1 mutation carriers;Epithelial ovarian cancer;Ovarian cancer;Breast cancer	
STAD	cis	1	rs10418362	chr19:17386107	OCEL1	chr19:17337055-17340027:+	0.33	4.77	2.58E-6	Breast cancer (estrogen-receptor negative);Breast Cancer in BRCA1 mutation carriers;Epithelial ovarian cancer;Ovarian cancer;Breast cancer	
STAD	cis	1	rs10425939	chr19:17397244	OCEL1	chr19:17337055-17340027:+	0.33	4.57	6.55E-6	Breast cancer (estrogen-receptor negative);Breast Cancer in BRCA1 mutation carriers;Epithelial ovarian cancer;Ovarian cancer;Breast cancer	
STAD	cis	1	rs10425982	chr19:18586519	ISYNA1	chr19:18545625-18548943:-	0.23	3.93	9.87E-5	Breast cancer	
STAD	cis	1	rs1042658	chr17:38173902	GSDMA	chr17:38119226-38134019:+	-0.31	-5.49	7.23E-8	Neutrophil count;White blood cell count;C-reactive protein and white blood cell count	
STAD	cis	1	rs10427083	chr19:18550276	ISYNA1	chr19:18545625-18548943:-	0.22	3.84	0.000146	Breast cancer	
STAD	cis	1	rs10431505	chr12:58178589	FAM119B	chr12:58166383-58176323:+	0.43	7.27	2.0E-12	Multiple sclerosis	
STAD	cis	1	rs10431505	chr12:58178589	TSFM	chr12:58176536-58191367:+	-0.33	-6.93	1.78E-11	Multiple sclerosis	
STAD	cis	1	rs1043441	chr22:39130964	LOC646851	chr22:38974125-39052634:-	0.27	5.61	3.9E-8	Resting heart rate	
STAD	cis	1	rs10440301	chr4:17663199	LAP3	chr4:17578927-17609590:+	-0.22	-4.45	1.14E-5	Parasitemia in Tripanosoma cruzi seropositivity	
STAD	cis	1	rs10442	chr19:18545341	ISYNA1	chr19:18545625-18548943:-	0.22	3.84	0.000146	Breast cancer	
STAD	cis	1	rs10445300	chr17:2114587	SRR	chr17:2207248-2228553:+	-0.4	-7.7	1.12E-13	Esophageal cancer (squamous cell)	
STAD	cis	1	rs10445821	chr2:219909780	SLC23A3	chr2:220026183-220034817:-	0.33	3.92	0.000103	Height	
STAD	cis	1	rs1044717	chr1:45976587	CCDC163P	chr1:45960581-45965646:-	-0.51	-8.4	8.48E-16	Homocysteine levels	
STAD	cis	1	rs10454142	chr2:48646399	GTF2A1L	chr2:48844948-48960284:+	-0.28	-4.81	2.17E-6	Sex hormone-binding globulin levels	
STAD	cis	1	rs10455158	chr6:86672825	SNHG5	chr6:86386726-86388451:-	-0.66	-13	2.4E-32	Response to antipsychotic treatment	
STAD	cis	1	rs1045531	chr8:143763547	PSCA	chr8:143761875-143764142:+	0.34	6.96	1.42E-11	Gastric adenocarcinoma (histologically verified);Non-cardia gastric cancer;Gastric cancer;Duodenal ulcer;Bladder cancer	
STAD	cis	1	rs10455449	chr6:86592226	SNHG5	chr6:86386726-86388451:-	-0.65	-12.66	5.21E-31	Response to antipsychotic treatment	
STAD	cis	1	rs10455455	chr6:86670214	SNHG5	chr6:86386726-86388451:-	-0.66	-13.03	1.79E-32	Response to antipsychotic treatment	
STAD	cis	1	rs10455456	chr6:86670322	SNHG5	chr6:86386726-86388451:-	-0.66	-13	2.4E-32	Response to antipsychotic treatment	
STAD	cis	1	rs1045547	chr8:143763757	PSCA	chr8:143761875-143764142:+	0.34	6.96	1.42E-11	Gastric adenocarcinoma (histologically verified);Non-cardia gastric cancer;Gastric cancer;Duodenal ulcer;Bladder cancer	
STAD	cis	1	rs1045574	chr8:143763958	LY6K	chr8:143781529-143785582:+	0.25	3.82	0.000153	Gastric adenocarcinoma (histologically verified);Non-cardia gastric cancer;Gastric cancer;Duodenal ulcer;Bladder cancer	
STAD	cis	1	rs1045574	chr8:143763958	PSCA	chr8:143761875-143764142:+	0.33	6.74	5.64E-11	Gastric adenocarcinoma (histologically verified);Non-cardia gastric cancer;Gastric cancer;Duodenal ulcer;Bladder cancer	
STAD	cis	1	rs1045605	chr8:143764101	LY6K	chr8:143781529-143785582:+	0.25	3.87	0.000129	Gastric adenocarcinoma (histologically verified);Non-cardia gastric cancer;Gastric cancer;Duodenal ulcer;Bladder cancer	
STAD	cis	1	rs1045605	chr8:143764101	PSCA	chr8:143761875-143764142:+	0.34	6.94	1.62E-11	Gastric adenocarcinoma (histologically verified);Non-cardia gastric cancer;Gastric cancer;Duodenal ulcer;Bladder cancer	
STAD	cis	1	rs10456362	chr6:28221816	ZNF323	chr6:28292517-28324048:-	-0.3	-4.08	5.53E-5	Depression	
STAD	cis	1	rs10456622	chr6:49396453	MUT	chr6:49398994-49431031:-	0.39	7.49	4.55E-13	Folate pathway vitamin levels	
STAD	cis	1	rs10461617	chr5:56104308	C5orf35	chr5:56205103-56213010:+	0.87	17.03	4.94E-49	Type 2 diabetes	
STAD	cis	1	rs10463240	chr5:150256853	LOC134466	chr5:150310000-150326146:-	0.31	4.98	9.4E-7	Crohn's disease	
STAD	cis	1	rs10463307	chr5:150254620	LOC134466	chr5:150310000-150326146:-	0.33	5.12	4.79E-7	Crohn's disease	
STAD	cis	1	rs10463310	chr5:150260905	LOC134466	chr5:150310000-150326146:-	0.29	4.65	4.54E-6	Crohn's disease	
STAD	cis	1	rs1046701	chr14:59939804	C14orf149	chr14:59939406-59951126:-	0.51	4.98	9.52E-7	Schizophrenia	
STAD	cis	1	rs1046875	chr17:80685426	FN3KRP	chr17:80674582-80685889:+	0.31	4.82	2.1E-6	Glycated hemoglobin levels	
STAD	cis	1	rs1046896	chr17:80685533	FN3KRP	chr17:80674582-80685889:+	0.32	5.01	8.28E-7	Glycated hemoglobin levels	
STAD	cis	1	rs1046917	chr17:80685655	FN3KRP	chr17:80674582-80685889:+	0.31	4.85	1.79E-6	Glycated hemoglobin levels	
STAD	cis	1	rs10470686	chr3:48449956	TREX1	chr3:48501186-48509043:+	-0.26	-5.86	9.62E-9	Longevity	
STAD	cis	1	rs10485508	chr20:33605098	PROCR	chr20:33758727-33765164:+	-0.48	-5.12	4.86E-7	Anticoagulant levels;D-dimer levels;Protein C levels;Factor VII levels;Hemostatic factors and hematological phenotypes	
STAD	cis	1	rs10487505	chr7:127860163	PAX4	chr7:127250346-127255982:-	-0.19	-4.05	6.21E-5	circulating leptin levels;circulating leptin levels adjusted for BMI	
STAD	cis	1	rs10489249	chr1:171714521	VAMP4	chr1:171669298-171711214:-	0.34	6.35	6.17E-10	Hippocampal atrophy	
STAD	cis	1	rs10489251	chr1:171717534	VAMP4	chr1:171669298-171711214:-	0.33	5.98	5.1E-9	Hippocampal atrophy	
STAD	cis	1	rs1049564	chr14:20940606	PNP	chr14:20937542-20945246:+	-0.24	-4.05	6.09E-5	Interferon alpha levels in systemic lupus erythematosus	
STAD	cis	1	rs10498958	chr6:86649705	SNHG5	chr6:86386726-86388451:-	0.67	13.25	2.38E-33	Response to antipsychotic treatment	
STAD	cis	1	rs10500303	chr19:50512033	SIGLEC16	chr19:50472912-50479075:+	0.69	5.36	1.44E-7	antipsychotic drug dosage in schizophrenia or schizoaffective disorder	
STAD	cis	1	rs10509744	chr10:102271579	SEC31B	chr10:102246403-102289636:-	-0.24	-5.72	2.17E-8	Palmitoleic acid (16:1n-7) plasma levels	
STAD	cis	1	rs10510761	chr3:52965255	TMEM110	chr3:52867139-52931547:-	-0.4	-4.27	2.42E-5	Immune reponse to smallpox (secreted IL-2)	
STAD	cis	1	rs10517825	chr4:165893486	C4orf39	chr4:165878100-165880273:+	-0.21	-4.61	5.42E-6	Ovarian cancer in BRCA1 mutation carriers	
STAD	cis	1	rs1052483	chr2:219934348	SLC23A3	chr2:220026183-220034817:-	-0.36	-4.2	3.33E-5	Height	
STAD	cis	1	rs1052501	chr3:41925398	ULK4	chr3:41288091-42003660:-	-0.77	-12.12	6.42E-29	Diastolic blood pressure	
STAD	cis	1	rs1052676	chr1:171673054	VAMP4	chr1:171669298-171711214:-	0.34	6.36	5.64E-10	Hippocampal atrophy	
STAD	cis	1	rs10540	chr11:494662	RNH1	chr11:494512-507273:-	-0.43	-5.75	1.83E-8	Body mass index	
STAD	cis	1	rs1054399	chr10:102312565	SEC31B	chr10:102246403-102289636:-	-0.21	-5	8.75E-7	Palmitoleic acid (16:1n-7) plasma levels	
STAD	cis	1	rs1056610	chr22:39080078	LOC646851	chr22:38974125-39052634:-	-0.26	-5.55	5.15E-8	Resting heart rate	
STAD	cis	1	rs1056964	chr22:51017476	CPT1B	chr22:51007291-51017096:-	-0.38	-5.2	3.26E-7	Narcolepsy	
STAD	cis	1	rs1059312	chr12:129278864	MGC16384	chr12:129297749-129299295:-	0.19	3.94	9.49E-5	Systemic lupus erythematosus	
STAD	cis	1	rs1062687	chr22:39134715	LOC646851	chr22:38974125-39052634:-	0.25	5.31	1.85E-7	Resting heart rate	
STAD	cis	1	rs1065201	chr22:39069510	CBY1	chr22:39052658-39069853:+	0.21	4.17	3.83E-5	Resting heart rate	
STAD	cis	1	rs1065201	chr22:39069510	LOC646851	chr22:38974125-39052634:-	0.26	5.51	6.7E-8	Resting heart rate	
STAD	cis	1	rs10734259	chr11:18314865	GTF2H1	chr11:18343816-18388590:+	0.35	5.59	4.26E-8	Pancreatic cancer	
