cancer.type	eQTL.type	tagSNP	LD	SNP.ID	SNP.position.hg19	Gene.symbol	Gene.position.hg19	Beta	t-stat	P-value	GWAS-Traits	
CHOL	trans	1	rs10023510	chr4:131781757	FLJ46361	chr10:124516210-124557161:+	-0.96	-57.93	5.01E-15	Multiple sclerosis (severity)	
CHOL	trans	1	rs10220369	chr14:88501729	FLJ46361	chr10:124516210-124557161:+	0.96	26.68	2.38E-11	Multiple sclerosis	
CHOL	trans	1	rs1155738	chr12:59423171	C17orf77	chr17:72581057-72590348:+	0.98	197.95	6.86E-21	Temperament (bipolar disorder)	
CHOL	trans	1	rs1155738	chr12:59423171	TNP1	chr2:217724184-217724782:-	0.98	197.95	6.86E-21	Temperament (bipolar disorder)	
CHOL	trans	1	rs12068753	chr1:159692537	CXorf61	chrX:115592852-115594137:-	-1.95	-17.34	2.45E-9	C-reactive protein	
CHOL	trans	1	rs12084589	chr1:159688441	CXorf61	chrX:115592852-115594137:-	1.95	17.34	2.45E-9	C-reactive protein	
CHOL	trans	1	rs12796280	chr11:25193624	ZNF716	chr7:57509883-57533265:+	0.77	20.19	4.83E-10	Ovarian cancer	
CHOL	trans	1	rs13118522	chr4:22016628	DSCR8	chr21:39493545-39528604:+	-1.85	-20.65	3.79E-10	Obesity-related traits	
CHOL	trans	1	rs13118838	chr4:22016629	DSCR8	chr21:39493545-39528604:+	-1.85	-20.65	3.79E-10	Obesity-related traits	
CHOL	trans	1	rs1398829	chr4:22023275	DSCR8	chr21:39493545-39528604:+	1.85	20.65	3.79E-10	Obesity-related traits	
CHOL	trans	1	rs1473066	chr12:59438812	C17orf77	chr17:72581057-72590348:+	0.98	197.95	6.86E-21	Temperament (bipolar disorder)	
CHOL	trans	1	rs1473066	chr12:59438812	TNP1	chr2:217724184-217724782:-	0.98	197.95	6.86E-21	Temperament (bipolar disorder)	
CHOL	trans	1	rs1478090	chr4:131782201	FLJ46361	chr10:124516210-124557161:+	-0.96	-57.93	5.01E-15	Multiple sclerosis (severity)	
CHOL	trans	1	rs1478091	chr4:131790501	FLJ46361	chr10:124516210-124557161:+	-0.96	-57.93	5.01E-15	Multiple sclerosis (severity)	
CHOL	trans	1	rs16872248	chr4:22021500	DSCR8	chr21:39493545-39528604:+	1.85	20.65	3.79E-10	Obesity-related traits	
