cancer.type	eQTL.type	tagSNP	LD	SNP.ID	SNP.position.hg19	Gene.symbol	Gene.position.hg19	Beta	t-stat	P-value	GWAS-Traits	
SARC	cis	1	rs1000113	chr5:150240076	IRGM	chr5:150226085-150280295:+	0.47	4.23	3.29E-5	Crohn's disease	
SARC	cis	1	rs10002332	chr4:129875301	C4orf33	chr4:130014829-130033842:+	0.52	5.87	1.48E-8	Chronic obstructive pulmonary disease (moderate to severe)	
SARC	cis	1	rs10006789	chr4:1330333	CRIPAK	chr4:1385340-1389782:+	0.39	4.77	3.28E-6	Systolic blood pressure	
SARC	cis	1	rs10008757	chr4:76903036	NAAA	chr4:76831809-76862166:-	-0.27	-5.85	1.64E-8	Longevity	
SARC	cis	1	rs1003719	chr21:38491095	PIGP	chr21:38437664-38445458:-	-0.38	-4.96	1.35E-6	Eye color traits	
SARC	cis	1	rs10051747	chr5:56083289	C5orf35	chr5:56205103-56213010:+	0.68	7.4	2.47E-12	Type 2 diabetes	
SARC	cis	1	rs10051804	chr5:150226424	IRGM	chr5:150226085-150280295:+	0.5	4.54	8.99E-6	Crohn's disease	
SARC	cis	1	rs10051924	chr5:150226639	IRGM	chr5:150226085-150280295:+	0.5	4.54	9.03E-6	Crohn's disease	
SARC	cis	1	rs10058821	chr5:150226385	IRGM	chr5:150226085-150280295:+	0.5	4.54	8.99E-6	Crohn's disease	
SARC	cis	1	rs10058943	chr5:150226586	IRGM	chr5:150226085-150280295:+	0.5	4.54	9.03E-6	Crohn's disease	
SARC	cis	1	rs10065172	chr5:150227998	IRGM	chr5:150226085-150280295:+	0.5	4.54	9.03E-6	Crohn's disease	
SARC	cis	1	rs10117059	chr9:123653477	LOC253039	chr9:123605320-123616644:+	-0.44	-5.42	1.49E-7	Rheumatoid arthritis	
SARC	cis	1	rs10140433	chr14:74659989	LIN52	chr14:74551656-74667117:+	-0.37	-7.34	3.51E-12	Common traits (Other)	
SARC	cis	1	rs10144220	chr14:74647904	LIN52	chr14:74551656-74667117:+	-0.38	-7.54	1.02E-12	Common traits (Other)	
