cancer.type	eQTL.type	tagSNP	LD	SNP.ID	SNP.position.hg19	Gene.symbol	Gene.position.hg19	Beta	t-stat	P-value	GWAS-Traits	
COAD	cis	1	rs1000113	chr5:150240076	LOC134466	chr5:150310000-150326146:-	0.27	3.93	0.00011	Crohn's disease	
COAD	cis	1	rs10002541	chr4:56395011	SRD5A3	chr4:56212409-56237866:+	-0.27	-4.55	8.37E-6	Personality dimensions	
COAD	cis	1	rs10005989	chr4:56405206	SRD5A3	chr4:56212409-56237866:+	-0.27	-4.84	2.19E-6	Personality dimensions	
COAD	cis	1	rs10006789	chr4:1330333	CRIPAK	chr4:1385340-1389782:+	0.3	4.37	1.82E-5	Systolic blood pressure	
COAD	cis	1	rs10008757	chr4:76903036	NAAA	chr4:76831809-76862166:-	-0.32	-4.47	1.18E-5	Longevity	
COAD	cis	1	rs1001373	chr1:171684506	VAMP4	chr1:171669298-171711214:-	0.34	4.65	5.29E-6	Hippocampal atrophy	
COAD	cis	1	rs10016506	chr4:56396674	SRD5A3	chr4:56212409-56237866:+	-0.26	-4.43	1.38E-5	Personality dimensions	
COAD	cis	1	rs10023907	chr4:88772535	SPP1	chr4:88896802-88904562:+	-0.28	-5.18	4.41E-7	Bone mineral density;Bone mineral density (paediatric, total body less head)	
COAD	cis	1	rs10029750	chr4:120172543	FABP2	chr4:120238406-120243316:-	0.37	5.63	4.62E-8	Corneal astigmatism	
COAD	cis	1	rs10034433	chr4:56421176	SRD5A3	chr4:56212409-56237866:+	-0.26	-4.65	5.22E-6	Personality dimensions	
COAD	cis	1	rs1003719	chr21:38491095	PIGP	chr21:38437664-38445458:-	-0.32	-4.31	2.35E-5	Eye color traits	
COAD	cis	1	rs10041402	chr5:90738948	LOC100129716	chr5:90676164-90716531:+	0.34	4.11	5.37E-5	Smoking behavior	
COAD	cis	1	rs10051747	chr5:56083289	C5orf35	chr5:56205103-56213010:+	1.01	13.2	8.08E-31	Type 2 diabetes	
COAD	cis	1	rs10059163	chr5:90742444	LOC100129716	chr5:90676164-90716531:+	0.34	4.11	5.37E-5	Smoking behavior	
COAD	cis	1	rs10073935	chr5:90742188	LOC100129716	chr5:90676164-90716531:+	0.34	4.11	5.37E-5	Smoking behavior	
COAD	cis	1	rs10076701	chr5:131596419	PDLIM4	chr5:131593351-131609145:+	-0.15	-4.21	3.59E-5	Blood metabolite levels	
COAD	cis	1	rs10078	chr5:438102	C5orf55	chr5:441645-443258:-	0.36	4.42	1.45E-5	Fat distribution (HIV)	
COAD	cis	1	rs10080429	chr6:109738106	SMPD2	chr6:109761931-109765121:+	0.29	4.78	2.9E-6	Height	
COAD	cis	1	rs10086778	chr8:10814140	SOX7	chr8:10581279-10697299:-	-0.25	-3.98	9.09E-5	Asthma and hay fever	
COAD	cis	1	rs10086872	chr8:10814210	SOX7	chr8:10581279-10697299:-	-0.25	-3.98	9.09E-5	Asthma and hay fever	
COAD	cis	1	rs10087376	chr8:10814617	SOX7	chr8:10581279-10697299:-	-0.25	-4.09	5.77E-5	Asthma and hay fever	
COAD	cis	1	rs10088439	chr8:8576699	FLJ10661	chr8:8086092-8102386:+	0.42	4.79	2.79E-6	Obesity-related traits	
COAD	cis	1	rs1008953	chr20:43980726	SYS1-DBNDD2	chr20:43991701-44039245:+	0.37	3.92	0.000115	Psoriasis	
COAD	cis	1	rs1009051	chr3:49521549	ARIH2	chr3:48956281-49022969:+	-0.3	-3.84	0.000153	Menarche (age at onset)	
COAD	cis	1	rs1009051	chr3:49521549	WDR6	chr3:49044637-49053386:+	-0.37	-5.51	8.63E-8	Menarche (age at onset)	
COAD	cis	1	rs10094684	chr8:10814888	SOX7	chr8:10581279-10697299:-	-0.25	-4.09	5.77E-5	Asthma and hay fever	
COAD	cis	1	rs10095261	chr8:10815377	SOX7	chr8:10581279-10697299:-	-0.26	-4.14	4.78E-5	Asthma and hay fever	
COAD	cis	1	rs10095390	chr8:10815515	SOX7	chr8:10581279-10697299:-	-0.26	-4.11	5.23E-5	Asthma and hay fever	
COAD	cis	1	rs10095733	chr8:8574646	FLJ10661	chr8:8086092-8102386:+	0.38	4.31	2.28E-5	Obesity-related traits	
COAD	cis	1	rs10095849	chr8:39408586	ADAM32	chr8:38965050-39142435:+	-0.35	-4.39	1.65E-5	Visceral adipose tissue/subcutaneous adipose tissue ratio	
COAD	cis	1	rs10096350	chr8:124184470	FAM83A	chr8:124191287-124222317:+	-0.49	-4.34	2.01E-5	Urinary uromodulin levels	
COAD	cis	1	rs10096455	chr8:96041250	C8orf38	chr8:95908040-96088396:+	-0.29	-4.02	7.63E-5	Vincristine-induced peripheral neuropathy in acute lymphoblastic leukemia	
COAD	cis	1	rs10096872	chr8:10814297	SOX7	chr8:10581279-10697299:-	-0.25	-4.04	6.99E-5	Asthma and hay fever	
COAD	cis	1	rs10097626	chr8:10814860	SOX7	chr8:10581279-10697299:-	0.25	4.1	5.52E-5	Asthma and hay fever	
COAD	cis	1	rs10098197	chr8:96042890	C8orf38	chr8:95908040-96088396:+	-0.29	-4.02	7.63E-5	Vincristine-induced peripheral neuropathy in acute lymphoblastic leukemia	
COAD	cis	1	rs10098234	chr8:8576692	FLJ10661	chr8:8086092-8102386:+	0.42	4.79	2.79E-6	Obesity-related traits	
COAD	cis	1	rs10103769	chr8:8573036	FLJ10661	chr8:8086092-8102386:+	0.38	4.33	2.15E-5	Obesity-related traits	
COAD	cis	1	rs10106491	chr8:96038959	C8orf38	chr8:95908040-96088396:+	-0.29	-3.95	0.000101	Vincristine-induced peripheral neuropathy in acute lymphoblastic leukemia	
COAD	cis	1	rs1011054	chr4:120202387	FABP2	chr4:120238406-120243316:-	-0.36	-5.12	5.97E-7	Corneal astigmatism	
COAD	cis	1	rs10112230	chr8:96038072	C8orf38	chr8:95908040-96088396:+	-0.29	-3.95	0.000101	Vincristine-induced peripheral neuropathy in acute lymphoblastic leukemia	
COAD	cis	1	rs10117059	chr9:123653477	LOC253039	chr9:123605320-123616644:+	-0.38	-5.59	5.83E-8	Rheumatoid arthritis	
COAD	cis	1	rs10120103	chr9:102695468	STX17	chr9:102668915-102736817:+	-0.28	-3.85	0.000146	Alopecia areata	
COAD	cis	1	rs10121601	chr9:102687445	STX17	chr9:102668915-102736817:+	-0.28	-3.91	0.000119	Alopecia areata	
COAD	cis	1	rs10123261	chr9:102695442	STX17	chr9:102668915-102736817:+	-0.28	-3.91	0.000119	Alopecia areata	
COAD	cis	1	rs10128711	chr11:18632984	SPTY2D1	chr11:18627949-18656020:-	-0.4	-6.46	5.23E-10	Cholesterol, total	
COAD	cis	1	rs1013338	chr22:38974154	CBY1	chr22:39052658-39069853:+	0.29	5.01	1.0E-6	Resting heart rate	
COAD	cis	1	rs10135	chr22:39082174	CBY1	chr22:39052658-39069853:+	-0.33	-5.73	2.79E-8	Resting heart rate	
COAD	cis	1	rs10136440	chr14:104397367	TDRD9	chr14:104394817-104519002:+	-0.33	-4.86	2.03E-6	Bipolar disorder	
COAD	cis	1	rs10136948	chr14:75511075	MLH3	chr14:75480467-75518235:-	0.25	4.27	2.73E-5	Height	
COAD	cis	1	rs10138183	chr14:75615227	MLH3	chr14:75480467-75518235:-	0.28	4.74	3.56E-6	Height	
