cancer.type	eQTL.type	tagSNP	LD	SNP.ID	SNP.position.hg19	Gene.symbol	Gene.position.hg19	Beta	t-stat	P-value	GWAS-Traits	
ESCA	cis	1	rs1000113	chr5:150240076	LOC134466	chr5:150310000-150326146:-	0.47	4.44	1.66E-5	Crohn's disease	
ESCA	cis	1	rs10002332	chr4:129875301	C4orf33	chr4:130014829-130033842:+	0.47	6.72	3.13E-10	Chronic obstructive pulmonary disease (moderate to severe)	
ESCA	cis	1	rs10008757	chr4:76903036	NAAA	chr4:76831809-76862166:-	-0.33	-4.27	3.41E-5	Longevity	
ESCA	cis	1	rs10041072	chr5:150259642	LOC134466	chr5:150310000-150326146:-	0.55	5.54	1.22E-7	Crohn's disease	
ESCA	cis	1	rs10051747	chr5:56083289	C5orf35	chr5:56205103-56213010:+	0.71	7.1	3.85E-11	Type 2 diabetes	
ESCA	cis	1	rs10051804	chr5:150226424	LOC134466	chr5:150310000-150326146:-	0.54	5.12	8.81E-7	Crohn's disease	
ESCA	cis	1	rs10051924	chr5:150226639	LOC134466	chr5:150310000-150326146:-	0.55	5.13	8.39E-7	Crohn's disease	
ESCA	cis	1	rs10052606	chr5:150272217	LOC134466	chr5:150310000-150326146:-	0.54	5.24	5.13E-7	Crohn's disease	
ESCA	cis	1	rs10053750	chr5:150270051	LOC134466	chr5:150310000-150326146:-	0.57	5.59	9.72E-8	Crohn's disease	
ESCA	cis	1	rs10057988	chr5:150272062	LOC134466	chr5:150310000-150326146:-	0.54	5.24	5.13E-7	Crohn's disease	
ESCA	cis	1	rs10058821	chr5:150226385	LOC134466	chr5:150310000-150326146:-	0.54	5.12	8.81E-7	Crohn's disease	
ESCA	cis	1	rs10058943	chr5:150226586	LOC134466	chr5:150310000-150326146:-	0.55	5.13	8.39E-7	Crohn's disease	
ESCA	cis	1	rs10061105	chr5:150255185	LOC134466	chr5:150310000-150326146:-	0.56	5.53	1.3E-7	Crohn's disease	
ESCA	cis	1	rs10065172	chr5:150227998	LOC134466	chr5:150310000-150326146:-	0.55	5.15	7.63E-7	Crohn's disease	
ESCA	cis	1	rs10078968	chr5:150244273	LOC134466	chr5:150310000-150326146:-	0.56	5.53	1.3E-7	Crohn's disease	
ESCA	cis	1	rs10128890	chr12:1903390	ADIPOR2	chr12:1800247-1897844:+	0.4	4.31	2.82E-5	Blood pressure (smoking interaction)	
ESCA	cis	1	rs10140433	chr14:74659989	LIN52	chr14:74551656-74667117:+	-0.3	-4.25	3.69E-5	Common traits (Other)	
ESCA	cis	1	rs10144220	chr14:74647904	LIN52	chr14:74551656-74667117:+	-0.32	-4.42	1.82E-5	Common traits (Other)	
ESCA	cis	1	rs10155981	chr7:22756463	RPS2P32	chr7:23530007-23531029:+	-0.55	-4.26	3.47E-5	Bilirubin levels	
ESCA	cis	1	rs10155987	chr7:22756536	RPS2P32	chr7:23530007-23531029:+	-0.55	-4.26	3.47E-5	Bilirubin levels	
ESCA	cis	1	rs10157597	chr1:45990278	CCDC163P	chr1:45960581-45965646:-	-0.77	-9.98	1.67E-18	Homocysteine levels	
ESCA	cis	1	rs10175180	chr2:73673123	ALMS1P	chr2:73872046-73912692:+	0.42	4.3	2.98E-5	Metabolite levels	
ESCA	cis	1	rs1018184	chr6:86648475	SNHG5	chr6:86386726-86388451:-	0.65	7.8	7.61E-13	Response to antipsychotic treatment	
ESCA	cis	1	rs10184268	chr2:73627044	ALMS1P	chr2:73872046-73912692:+	0.43	4.29	3.11E-5	Metabolite levels	
ESCA	cis	1	rs10186501	chr2:73697844	ALMS1P	chr2:73872046-73912692:+	0.42	4.34	2.55E-5	Metabolite levels	
ESCA	cis	1	rs10187416	chr2:73713741	ALMS1P	chr2:73872046-73912692:+	0.42	4.39	2.1E-5	Metabolite levels	
ESCA	cis	1	rs10189574	chr2:73698518	ALMS1P	chr2:73872046-73912692:+	0.43	4.41	1.88E-5	Metabolite levels	
ESCA	cis	1	rs10193373	chr2:281886	SH3YL1	chr2:218138-264810:-	-0.62	-8.4	2.38E-14	Spherical equivalent (joint main effects and education interaction)	
ESCA	cis	1	rs10193972	chr2:73717656	ALMS1P	chr2:73872046-73912692:+	0.43	4.4	2.0E-5	Metabolite levels	
ESCA	cis	1	rs10207220	chr2:73785046	ALMS1P	chr2:73872046-73912692:+	0.43	4.24	3.8E-5	Metabolite levels	
ESCA	cis	1	rs10215948	chr7:65747786	NCRNA00174	chr7:65841032-65865395:-	0.43	5.15	7.71E-7	Aortic root size	
ESCA	cis	1	rs10234018	chr7:66146284	NCRNA00174	chr7:65841032-65865395:-	0.4	5	1.5E-6	Aortic root size	
ESCA	cis	1	rs10234309	chr7:135311167	PL-5283	chr7:135347221-135378160:+	0.52	6.66	4.31E-10	Paget's disease	
ESCA	cis	1	rs10244498	chr7:66116056	NCRNA00174	chr7:65841032-65865395:-	-0.43	-5.14	8.02E-7	Aortic root size	
ESCA	cis	1	rs10252765	chr7:66228732	NCRNA00174	chr7:65841032-65865395:-	-0.4	-4.84	3.06E-6	Aortic root size	
ESCA	cis	1	rs10256972	chr7:1039003	ZFAND2A	chr7:1192544-1199855:-	0.49	5.94	1.74E-8	Longevity;Endometriosis	
ESCA	cis	1	rs10257427	chr7:65743208	NCRNA00174	chr7:65841032-65865395:-	0.43	5.15	7.71E-7	Aortic root size	
ESCA	cis	1	rs10274773	chr7:66133578	NCRNA00174	chr7:65841032-65865395:-	0.43	5.2	6.15E-7	Aortic root size	
ESCA	cis	1	rs1030831	chr4:130025037	C4orf33	chr4:130014829-130033842:+	-0.51	-6.58	6.35E-10	Chronic obstructive pulmonary disease (moderate to severe)	
ESCA	cis	1	rs1037147	chr4:130025873	C4orf33	chr4:130014829-130033842:+	-0.5	-6.86	1.48E-10	Chronic obstructive pulmonary disease (moderate to severe)	
