cancer.type	eQTL.type	tagSNP	LD	SNP.ID	SNP.position.hg19	Gene.symbol	Gene.position.hg19	Beta	t-stat	P-value	GWAS-Traits	
READ	cis	1	rs10002332	chr4:129875301	C4orf33	chr4:130014829-130033842:+	0.54	4.68	1.36E-5	Chronic obstructive pulmonary disease (moderate to severe)	
READ	cis	1	rs10051747	chr5:56083289	C5orf35	chr5:56205103-56213010:+	0.95	7.33	3.35E-10	Type 2 diabetes	
READ	cis	1	rs10076701	chr5:131596419	SLC22A5	chr5:131705401-131731302:+	-0.49	-5.09	3.01E-6	Blood metabolite levels	
READ	cis	1	rs10157597	chr1:45990278	CCDC163P	chr1:45960581-45965646:-	-0.85	-6.31	2.35E-8	Homocysteine levels	
READ	cis	1	rs1016669	chr3:41894440	ULK4	chr3:41288091-42003660:-	0.77	4.85	7.27E-6	Diastolic blood pressure	
READ	cis	1	rs1018184	chr6:86648475	SNHG5	chr6:86386726-86388451:-	0.7	4.9	6.13E-6	Response to antipsychotic treatment	
READ	cis	1	rs10193373	chr2:281886	SH3YL1	chr2:218138-264810:-	-0.62	-6.11	5.27E-8	Spherical equivalent (joint main effects and education interaction)	
READ	cis	1	rs10209928	chr2:108863898	SULT1C2	chr2:108905095-108926370:+	0.65	4.65	1.54E-5	Blood pressure	
READ	cis	1	rs10209928	chr2:108863898	SULT1C3	chr2:108863651-108881806:+	0.68	5.6	3.98E-7	Blood pressure	
READ	cis	1	rs10212536	chr3:41827026	ULK4	chr3:41288091-42003660:-	0.81	5.23	1.71E-6	Diastolic blood pressure	
READ	cis	1	rs10234309	chr7:135311167	PL-5283	chr7:135347221-135378160:+	0.7	5	4.1E-6	Paget's disease	
READ	cis	1	rs10234309	chr7:135311167	SLC13A4	chr7:135365993-135412933:-	-0.86	-5.61	3.86E-7	Paget's disease	
READ	cis	1	rs10242455	chr7:99240179	CYP3A5	chr7:99245818-99332821:-	-0.83	-4.7	1.3E-5	Blood metabolite levels	
READ	cis	1	rs1025646	chr3:41754422	ULK4	chr3:41288091-42003660:-	0.8	5.13	2.54E-6	Diastolic blood pressure	
READ	cis	1	rs1044717	chr1:45976587	CCDC163P	chr1:45960581-45965646:-	-0.79	-5.96	9.45E-8	Homocysteine levels	
READ	cis	1	rs10455158	chr6:86672825	SNHG5	chr6:86386726-86388451:-	-0.7	-4.9	6.13E-6	Response to antipsychotic treatment	
READ	cis	1	rs10455449	chr6:86592226	SNHG5	chr6:86386726-86388451:-	-0.71	-4.85	7.27E-6	Response to antipsychotic treatment	
READ	cis	1	rs10455455	chr6:86670214	SNHG5	chr6:86386726-86388451:-	-0.7	-4.9	6.13E-6	Response to antipsychotic treatment	
READ	cis	1	rs10455456	chr6:86670322	SNHG5	chr6:86386726-86388451:-	-0.7	-4.9	6.13E-6	Response to antipsychotic treatment	
READ	cis	1	rs1045574	chr8:143763958	PSCA	chr8:143761875-143764142:+	0.52	4.55	2.22E-5	Gastric adenocarcinoma (histologically verified);Non-cardia gastric cancer;Gastric cancer;Duodenal ulcer;Bladder cancer	
