cancer.type	eQTL.type	tagSNP	LD	SNP.ID	SNP.position.hg19	Gene.symbol	Gene.position.hg19	Beta	t-stat	P-value	GWAS-Traits	
TGCT	cis	1	rs1000113	chr5:150240076	LOC134466	chr5:150310000-150326146:-	0.59	4.35	2.76E-5	Crohn's disease	
TGCT	cis	1	rs10002332	chr4:129875301	C4orf33	chr4:130014829-130033842:+	0.51	4.56	1.2E-5	Chronic obstructive pulmonary disease (moderate to severe)	
TGCT	cis	1	rs10008757	chr4:76903036	NAAA	chr4:76831809-76862166:-	-0.31	-5.82	4.53E-8	Longevity	
TGCT	cis	1	rs10019835	chr4:156633186	GUCY1A3	chr4:156587862-156658212:+	-0.24	-4.2	5.03E-5	Diabetic kidney disease	
TGCT	cis	1	rs10023907	chr4:88772535	SPP1	chr4:88896802-88904562:+	-0.35	-5.15	9.63E-7	Bone mineral density;Bone mineral density (paediatric, total body less head)	
TGCT	cis	1	rs1003719	chr21:38491095	TTC3	chr21:38445571-38575406:+	0.19	4.3	3.44E-5	Eye color traits	
TGCT	cis	1	rs1004467	chr10:104594507	SFXN2	chr10:104474298-104498946:+	-0.81	-4.85	3.6E-6	Hypertension;Systolic blood pressure;Diastolic blood pressure	
TGCT	cis	1	rs10051747	chr5:56083289	C5orf35	chr5:56205103-56213010:+	0.83	9.34	4.5E-16	Type 2 diabetes	
TGCT	cis	1	rs10063647	chr5:127371588	FLJ33630	chr5:127276135-127419299:-	-0.18	-4.2	4.98E-5	Height	
TGCT	cis	1	rs10088439	chr8:8576699	FLJ10661	chr8:8086092-8102386:+	0.47	4.29	3.57E-5	Obesity-related traits	
TGCT	cis	1	rs10095733	chr8:8574646	FLJ10661	chr8:8086092-8102386:+	0.47	4.31	3.26E-5	Obesity-related traits	
TGCT	cis	1	rs10098234	chr8:8576692	FLJ10661	chr8:8086092-8102386:+	0.47	4.29	3.57E-5	Obesity-related traits	
TGCT	cis	1	rs10110591	chr8:8576608	FLJ10661	chr8:8086092-8102386:+	-0.48	-4.35	2.78E-5	Obesity-related traits	
TGCT	cis	1	rs10117059	chr9:123653477	LOC253039	chr9:123605320-123616644:+	-0.44	-4.41	2.2E-5	Rheumatoid arthritis	
TGCT	cis	1	rs10157597	chr1:45990278	CCDC163P	chr1:45960581-45965646:-	-0.28	-4.32	3.14E-5	Homocysteine levels	
TGCT	cis	1	rs1016669	chr3:41894440	ULK4	chr3:41288091-42003660:-	0.47	5.37	3.63E-7	Diastolic blood pressure	
TGCT	cis	1	rs10169714	chr2:73808773	ALMS1P	chr2:73872046-73912692:+	0.42	4.97	2.18E-6	Metabolite levels	
