cancer.type	eQTL.type	tagSNP	LD	SNP.ID	SNP.position.hg19	Gene.symbol	Gene.position.hg19	Beta	t-stat	P-value	GWAS-Traits	
HNSC	cis	1	rs1000113	chr5:150240076	LOC134466	chr5:150310000-150326146:-	0.43	5.75	1.54E-8	Crohn's disease	
HNSC	cis	1	rs10002332	chr4:129875301	C4orf33	chr4:130014829-130033842:+	0.42	8.15	3.11E-15	Chronic obstructive pulmonary disease (moderate to severe)	
HNSC	cis	1	rs10003641	chr4:71340427	AMTN	chr4:71384298-71398459:+	0.25	4.26	2.43E-5	Alcoholism (heaviness of drinking)	
HNSC	cis	1	rs10008757	chr4:76903036	NAAA	chr4:76831809-76862166:-	-0.5	-11.65	7.4E-28	Longevity	
HNSC	cis	1	rs10009541	chr4:17682218	FAM184B	chr4:17633711-17783135:-	0.18	4.48	9.15E-6	Parasitemia in Tripanosoma cruzi seropositivity	
HNSC	cis	1	rs10009541	chr4:17682218	LAP3	chr4:17578927-17609590:+	0.16	4.16	3.81E-5	Parasitemia in Tripanosoma cruzi seropositivity	
HNSC	cis	1	rs10011835	chr4:71340722	AMTN	chr4:71384298-71398459:+	0.25	4.26	2.43E-5	Alcoholism (heaviness of drinking)	
HNSC	cis	1	rs10011865	chr4:17645710	FAM184B	chr4:17633711-17783135:-	-0.16	-3.95	8.87E-5	Parasitemia in Tripanosoma cruzi seropositivity	
HNSC	cis	1	rs10012335	chr4:17628630	FAM184B	chr4:17633711-17783135:-	-0.15	-3.7	0.000243	Parasitemia in Tripanosoma cruzi seropositivity	
HNSC	cis	1	rs1001373	chr1:171684506	VAMP4	chr1:171669298-171711214:-	0.26	4.51	8.05E-6	Hippocampal atrophy	
HNSC	cis	1	rs10018478	chr4:108891986	HADH	chr4:108910940-108956330:+	0.26	3.96	8.55E-5	Amyotrophic lateral sclerosis (sporadic)	
HNSC	cis	1	rs10023155	chr4:108890626	HADH	chr4:108910940-108956330:+	0.29	4.08	5.22E-5	Amyotrophic lateral sclerosis (sporadic)	
