cancer.type	eQTL.type	tagSNP	LD	SNP.ID	SNP.position.hg19	Gene.symbol	Gene.position.hg19	Beta	t-stat	P-value	GWAS-Traits	
KIRP	cis	1	rs1000113	chr5:150240076	LOC134466	chr5:150310000-150326146:-	0.67	6.45	5.38E-10	Crohn's disease	
KIRP	cis	1	rs10002332	chr4:129875301	C4orf33	chr4:130014829-130033842:+	0.42	5.6	5.46E-8	Chronic obstructive pulmonary disease (moderate to severe)	
KIRP	cis	1	rs10002541	chr4:56395011	SRD5A3	chr4:56212409-56237866:+	-0.3	-4.71	3.94E-6	Personality dimensions	
KIRP	cis	1	rs10005733	chr4:292001	ZNF718	chr4:53272-156488:+	0.28	5.09	6.94E-7	Immune response to smallpox vaccine (IL-6)	
KIRP	cis	1	rs10005989	chr4:56405206	SRD5A3	chr4:56212409-56237866:+	-0.31	-5.03	8.97E-7	Personality dimensions	
KIRP	cis	1	rs10005989	chr4:56405206	TMEM165	chr4:56262090-56292342:+	0.25	3.99	8.48E-5	Personality dimensions	
KIRP	cis	1	rs10008757	chr4:76903036	NAAA	chr4:76831809-76862166:-	-0.44	-6.48	4.38E-10	Longevity	
KIRP	cis	1	rs1001021	chr22:26403599	HPS4	chr22:26847447-26879820:-	-0.39	-3.98	9.02E-5	Schizophrenia, bipolar disorder and depression (combined)	
KIRP	cis	1	rs1001021	chr22:26403599	SRRD	chr22:26879846-26887903:+	-0.48	-4.01	7.9E-5	Schizophrenia, bipolar disorder and depression (combined)	
KIRP	cis	1	rs10016506	chr4:56396674	SRD5A3	chr4:56212409-56237866:+	-0.29	-4.62	6.03E-6	Personality dimensions	
KIRP	cis	1	rs1002675	chr3:38445226	EXOG	chr3:38537763-38567796:+	-0.18	-4.34	2.06E-5	Electrocardiographic conduction measures	
KIRP	cis	1	rs1002676	chr3:38444932	EXOG	chr3:38537763-38567796:+	0.16	3.82	0.000165	Electrocardiographic conduction measures	
KIRP	cis	1	rs10027325	chr4:282608	ZNF718	chr4:53272-156488:+	0.28	4.79	2.73E-6	Immune response to smallpox vaccine (IL-6)	
KIRP	cis	1	rs10034433	chr4:56421176	SRD5A3	chr4:56212409-56237866:+	-0.3	-4.92	1.52E-6	Personality dimensions	
KIRP	cis	1	rs10034433	chr4:56421176	TMEM165	chr4:56262090-56292342:+	0.25	3.97	9.11E-5	Personality dimensions	
KIRP	cis	1	rs1003719	chr21:38491095	PIGP	chr21:38437664-38445458:-	-0.46	-8.24	7.81E-15	Eye color traits	
KIRP	cis	1	rs10041072	chr5:150259642	LOC134466	chr5:150310000-150326146:-	0.46	4.57	7.65E-6	Crohn's disease	
