cancer.type	eQTL.type	tagSNP	LD	SNP.ID	SNP.position.hg19	Gene.symbol	Gene.position.hg19	Beta	t-stat	P-value	GWAS-Traits	
CESC	cis	1	rs1000113	chr5:150240076	LOC134466	chr5:150310000-150326146:-	0.5	5.44	1.17E-7	Crohn's disease	
CESC	cis	1	rs10008757	chr4:76903036	NAAA	chr4:76831809-76862166:-	-0.3	-3.97	9.32E-5	Longevity	
CESC	cis	1	rs1003719	chr21:38491095	PIGP	chr21:38437664-38445458:-	-0.43	-6.3	1.19E-9	Eye color traits	
CESC	cis	1	rs10041072	chr5:150259642	LOC134466	chr5:150310000-150326146:-	0.42	5.13	5.49E-7	Crohn's disease	
CESC	cis	1	rs10051747	chr5:56083289	C5orf35	chr5:56205103-56213010:+	0.83	11.9	1.26E-26	Type 2 diabetes	
CESC	cis	1	rs10051804	chr5:150226424	LOC134466	chr5:150310000-150326146:-	0.44	5.04	8.53E-7	Crohn's disease	
CESC	cis	1	rs10051924	chr5:150226639	LOC134466	chr5:150310000-150326146:-	0.44	5.04	8.53E-7	Crohn's disease	
CESC	cis	1	rs10052606	chr5:150272217	LOC134466	chr5:150310000-150326146:-	0.38	4.48	1.1E-5	Crohn's disease	
CESC	cis	1	rs10053750	chr5:150270051	LOC134466	chr5:150310000-150326146:-	0.4	4.73	3.64E-6	Crohn's disease	
CESC	cis	1	rs10057988	chr5:150272062	LOC134466	chr5:150310000-150326146:-	0.38	4.38	1.72E-5	Crohn's disease	
CESC	cis	1	rs10058821	chr5:150226385	LOC134466	chr5:150310000-150326146:-	0.44	5.04	8.53E-7	Crohn's disease	
CESC	cis	1	rs10058943	chr5:150226586	LOC134466	chr5:150310000-150326146:-	0.44	5.04	8.53E-7	Crohn's disease	
CESC	cis	1	rs10061105	chr5:150255185	LOC134466	chr5:150310000-150326146:-	0.4	4.92	1.48E-6	Crohn's disease	
CESC	cis	1	rs10065172	chr5:150227998	LOC134466	chr5:150310000-150326146:-	0.44	5.04	8.53E-7	Crohn's disease	
CESC	cis	1	rs10078968	chr5:150244273	LOC134466	chr5:150310000-150326146:-	0.4	4.93	1.39E-6	Crohn's disease	
CESC	cis	1	rs10078	chr5:438102	C5orf55	chr5:441645-443258:-	0.37	5.15	5.08E-7	Fat distribution (HIV)	
CESC	cis	1	rs1012376	chr14:65294790	CHURC1	chr14:65381140-65411309:+	0.69	4.32	2.16E-5	Daytime sleep phenotypes	
CESC	cis	1	rs10140433	chr14:74659989	LIN52	chr14:74551656-74667117:+	-0.41	-8.21	8.45E-15	Common traits (Other)	
CESC	cis	1	rs10144220	chr14:74647904	LIN52	chr14:74551656-74667117:+	-0.41	-8.23	7.39E-15	Common traits (Other)	
CESC	cis	1	rs10150201	chr14:74649157	LIN52	chr14:74551656-74667117:+	-0.41	-8.18	1.05E-14	Common traits (Other)	
CESC	cis	1	rs10157597	chr1:45990278	CCDC163P	chr1:45960581-45965646:-	-0.79	-13.92	1.02E-33	Homocysteine levels	
CESC	cis	1	rs1016669	chr3:41894440	ULK4	chr3:41288091-42003660:-	0.51	8.19	1.02E-14	Diastolic blood pressure	
CESC	cis	1	rs10169714	chr2:73808773	ALMS1P	chr2:73872046-73912692:+	0.4	5.52	7.95E-8	Metabolite levels	
CESC	cis	1	rs10175180	chr2:73673123	ALMS1P	chr2:73872046-73912692:+	0.38	5.56	6.25E-8	Metabolite levels	
CESC	cis	1	rs10178409	chr2:73855507	ALMS1P	chr2:73872046-73912692:+	0.39	5.04	8.27E-7	Urinary metabolites	
CESC	cis	1	rs10178982	chr2:202227640	ALS2CR12	chr2:202153148-202222101:-	-0.3	-4.08	5.96E-5	Basal cell carcinoma	
CESC	cis	1	rs10179134	chr2:73637519	ALMS1P	chr2:73872046-73912692:+	0.41	5.73	2.57E-8	Metabolite levels	
CESC	cis	1	rs1018184	chr6:86648475	SNHG5	chr6:86386726-86388451:-	0.57	9.28	5.4E-18	Response to antipsychotic treatment	
CESC	cis	1	rs10184268	chr2:73627044	ALMS1P	chr2:73872046-73912692:+	0.39	5.57	6.14E-8	Metabolite levels	
