cancer.type	eQTL.type	tagSNP	LD	SNP.ID	SNP.position.hg19	Gene.symbol	Gene.position.hg19	Beta	t-stat	P-value	GWAS-Traits	
LIHC	cis	1	rs1000113	chr5:150240076	LOC134466	chr5:150310000-150326146:-	0.35	4.47	1.04E-5	Crohn's disease	
LIHC	cis	1	rs10002332	chr4:129875301	C4orf33	chr4:130014829-130033842:+	0.56	7.93	3.08E-14	Chronic obstructive pulmonary disease (moderate to severe)	
LIHC	cis	1	rs10005733	chr4:292001	ZNF718	chr4:53272-156488:+	0.27	5.1	5.59E-7	Immune response to smallpox vaccine (IL-6)	
LIHC	cis	1	rs1001530	chr5:176985515	DOK3	chr5:176928915-176937427:-	0.21	3.84	0.000145	Alzheimer disease and age of onset	
LIHC	cis	1	rs10021364	chr4:310691	ZNF718	chr4:53272-156488:+	-0.34	-5.26	2.57E-7	Immune response to smallpox vaccine (IL-6)	
LIHC	cis	1	rs1002675	chr3:38445226	XYLB	chr3:38388251-38456467:+	0.27	5.25	2.71E-7	Electrocardiographic conduction measures	
LIHC	cis	1	rs1002676	chr3:38444932	XYLB	chr3:38388251-38456467:+	-0.26	-5.05	7.05E-7	Electrocardiographic conduction measures	
LIHC	cis	1	rs10027325	chr4:282608	ZNF718	chr4:53272-156488:+	0.29	5.22	3.09E-7	Immune response to smallpox vaccine (IL-6)	
LIHC	cis	1	rs10030019	chr4:106998448	TBCK	chr4:106967233-107237861:-	0.21	3.86	0.000136	Airflow obstruction	
LIHC	cis	1	rs10037055	chr5:176691279	PRELID1	chr5:176730835-176733949:+	-0.23	-5.08	6.11E-7	Migraine without aura	
LIHC	cis	1	rs10041072	chr5:150259642	LOC134466	chr5:150310000-150326146:-	0.34	4.49	9.72E-6	Crohn's disease	
LIHC	cis	1	rs10051747	chr5:56083289	C5orf35	chr5:56205103-56213010:+	0.7	12.63	2.69E-30	Type 2 diabetes	
LIHC	cis	1	rs10051804	chr5:150226424	LOC134466	chr5:150310000-150326146:-	0.32	4.13	4.51E-5	Crohn's disease	
LIHC	cis	1	rs10051924	chr5:150226639	LOC134466	chr5:150310000-150326146:-	0.32	4.13	4.51E-5	Crohn's disease	
LIHC	cis	1	rs1005224	chr14:76173860	TTLL5	chr14:76127621-76421421:+	0.21	4.11	4.85E-5	Large artery stroke	
LIHC	cis	1	rs1005225	chr12:114545205	IQCD	chr12:113633248-113658880:-	0.31	3.83	0.000152	Visceral fat	
LIHC	cis	1	rs10052606	chr5:150272217	LOC134466	chr5:150310000-150326146:-	0.34	4.53	8.01E-6	Crohn's disease	
LIHC	cis	1	rs10053750	chr5:150270051	LOC134466	chr5:150310000-150326146:-	0.34	4.52	8.49E-6	Crohn's disease	
LIHC	cis	1	rs10057988	chr5:150272062	LOC134466	chr5:150310000-150326146:-	0.34	4.53	8.01E-6	Crohn's disease	
LIHC	cis	1	rs10058821	chr5:150226385	LOC134466	chr5:150310000-150326146:-	0.33	4.2	3.38E-5	Crohn's disease	
LIHC	cis	1	rs10058943	chr5:150226586	LOC134466	chr5:150310000-150326146:-	0.32	4.08	5.72E-5	Crohn's disease	
LIHC	cis	1	rs10061105	chr5:150255185	LOC134466	chr5:150310000-150326146:-	0.33	4.36	1.73E-5	Crohn's disease	
LIHC	cis	1	rs10065172	chr5:150227998	LOC134466	chr5:150310000-150326146:-	0.33	4.3	2.24E-5	Crohn's disease	
LIHC	cis	1	rs10078968	chr5:150244273	LOC134466	chr5:150310000-150326146:-	0.32	4.22	3.16E-5	Crohn's disease	
