cancer.type	eQTL.type	tagSNP	LD	SNP.ID	SNP.position.hg19	Gene.symbol	Gene.position.hg19	Beta	t-stat	P-value	GWAS-Traits	
LUAD	cis	1	rs1000113	chr5:150240076	LOC134466	chr5:150310000-150326146:-	0.3	3.9	0.000112	Crohn's disease	
LUAD	cis	1	rs10002332	chr4:129875301	C4orf33	chr4:130014829-130033842:+	0.46	7.8	3.77E-14	Chronic obstructive pulmonary disease (moderate to severe)	
LUAD	cis	1	rs10005733	chr4:292001	ZNF718	chr4:53272-156488:+	0.33	5.17	3.42E-7	Immune response to smallpox vaccine (IL-6)	
LUAD	cis	1	rs10006789	chr4:1330333	CRIPAK	chr4:1385340-1389782:+	0.22	4.66	4.14E-6	Systolic blood pressure	
LUAD	cis	1	rs10007789	chr4:165890377	C4orf39	chr4:165878100-165880273:+	0.3	5.87	8.13E-9	Ovarian cancer in BRCA1 mutation carriers	
LUAD	cis	1	rs10007789	chr4:165890377	TRIM61	chr4:165875600-165898818:-	0.2	4.07	5.57E-5	Ovarian cancer in BRCA1 mutation carriers	
LUAD	cis	1	rs10008757	chr4:76903036	NAAA	chr4:76831809-76862166:-	-0.36	-7.19	2.42E-12	Longevity	
LUAD	cis	1	rs1001373	chr1:171684506	VAMP4	chr1:171669298-171711214:-	0.24	3.87	0.000125	Hippocampal atrophy	
LUAD	cis	1	rs10017445	chr4:68423787	STAP1	chr4:68424446-68473053:+	-0.18	-3.79	0.00017	Parkinson's disease	
LUAD	cis	1	rs10023907	chr4:88772535	SPP1	chr4:88896802-88904562:+	-0.19	-3.82	0.000152	Bone mineral density;Bone mineral density (paediatric, total body less head)	
LUAD	cis	1	rs1002675	chr3:38445226	XYLB	chr3:38388251-38456467:+	0.21	3.82	0.000148	Electrocardiographic conduction measures	
LUAD	cis	1	rs1002676	chr3:38444932	XYLB	chr3:38388251-38456467:+	-0.2	-3.67	0.000271	Electrocardiographic conduction measures	
LUAD	cis	1	rs10027325	chr4:282608	ZNF718	chr4:53272-156488:+	0.25	3.74	0.000203	Immune response to smallpox vaccine (IL-6)	
LUAD	cis	1	rs1002978	chr3:112499796	CCDC80	chr3:112323411-112359977:-	-0.12	-3.75	0.000201	Prostate cancer (gene x gene interaction)	
LUAD	cis	1	rs1002979	chr3:112497880	CCDC80	chr3:112323411-112359977:-	-0.12	-3.83	0.000143	Prostate cancer (gene x gene interaction)	
LUAD	cis	1	rs10030019	chr4:106998448	TBCK	chr4:106967233-107237861:-	0.25	4.78	2.37E-6	Airflow obstruction	
LUAD	cis	1	rs1003719	chr21:38491095	PIGP	chr21:38437664-38445458:-	-0.36	-8.2	2.12E-15	Eye color traits	
LUAD	cis	1	rs1003719	chr21:38491095	TTC3	chr21:38445571-38575406:+	0.19	4.15	3.95E-5	Eye color traits	
LUAD	cis	1	rs10041072	chr5:150259642	LOC134466	chr5:150310000-150326146:-	0.28	3.7	0.000236	Crohn's disease	
LUAD	cis	1	rs1004467	chr10:104594507	SFXN2	chr10:104474298-104498946:+	-0.32	-3.67	0.000272	Hypertension;Systolic blood pressure;Diastolic blood pressure	
LUAD	cis	1	rs10048683	chr2:26320519	GPR113	chr2:26531041-26569685:-	-0.22	-3.74	0.000204	Gut microbiome composition (summer)	
LUAD	cis	1	rs10050159	chr4:106765915	INTS12	chr4:106603787-106629881:-	-0.49	-5.5	6.12E-8	Post bronchodilator FEV1	
LUAD	cis	1	rs10050333	chr4:106765813	INTS12	chr4:106603787-106629881:-	-0.49	-5.5	6.12E-8	Post bronchodilator FEV1	
LUAD	cis	1	rs10051747	chr5:56083289	C5orf35	chr5:56205103-56213010:+	0.79	14.06	5.77E-38	Type 2 diabetes	
LUAD	cis	1	rs10061105	chr5:150255185	LOC134466	chr5:150310000-150326146:-	0.3	3.82	0.000151	Crohn's disease	
LUAD	cis	1	rs1006396	chr22:30017000	NIPSNAP1	chr22:29950800-29977144:-	0.25	4.25	2.53E-5	Lipid traits	
LUAD	cis	1	rs10077411	chr5:156015151	SGCD	chr5:155135063-156194796:+	0.17	4.16	3.71E-5	Airway responsiveness in chronic obstructive pulmonary disease	
LUAD	cis	1	rs10077734	chr5:156009720	SGCD	chr5:155135063-156194796:+	0.15	3.95	8.89E-5	Airway responsiveness in chronic obstructive pulmonary disease	
LUAD	cis	1	rs10078	chr5:438102	C5orf55	chr5:441645-443258:-	0.23	4.17	3.68E-5	Fat distribution (HIV)	
LUAD	cis	1	rs10080429	chr6:109738106	AKD1	chr6:109814059-110012415:-	-0.22	-4.21	3.04E-5	Height	
LUAD	cis	1	rs10080429	chr6:109738106	SMPD2	chr6:109761931-109765121:+	0.23	4.6	5.48E-6	Height	
LUAD	cis	1	rs10082278	chr1:202495120	PPP1R12B	chr1:202317836-202557697:+	0.22	4.93	1.14E-6	Sex ratio	
LUAD	cis	1	rs10088439	chr8:8576699	CLDN23	chr8:8559666-8561616:+	-0.32	-5.48	6.84E-8	Obesity-related traits	
LUAD	cis	1	rs10090581	chr8:92070160	LRRC69	chr8:92114847-92231464:+	-0.22	-3.84	0.000141	Migraine - clinic-based	
LUAD	cis	1	rs1009242	chr9:131916832	CRAT	chr9:131857075-131873070:-	0.33	6.33	5.58E-10	Blood metabolite ratios	
LUAD	cis	1	rs1009242	chr9:131916832	PPP2R4	chr9:131873244-131911223:+	0.19	3.69	0.000251	Blood metabolite ratios	
LUAD	cis	1	rs10095630	chr8:92071264	LRRC69	chr8:92114847-92231464:+	-0.22	-3.84	0.000138	Migraine - clinic-based	
LUAD	cis	1	rs10095733	chr8:8574646	CLDN23	chr8:8559666-8561616:+	-0.32	-5.51	5.69E-8	Obesity-related traits	
LUAD	cis	1	rs10098234	chr8:8576692	CLDN23	chr8:8559666-8561616:+	-0.32	-5.5	6.09E-8	Obesity-related traits	
LUAD	cis	1	rs10103769	chr8:8573036	CLDN23	chr8:8559666-8561616:+	-0.33	-5.6	3.5E-8	Obesity-related traits	
LUAD	cis	1	rs10110267	chr8:92073814	LRRC69	chr8:92114847-92231464:+	-0.22	-3.77	0.000181	Migraine - clinic-based	
LUAD	cis	1	rs10110591	chr8:8576608	CLDN23	chr8:8559666-8561616:+	0.31	5.48	6.8E-8	Obesity-related traits	
LUAD	cis	1	rs10117059	chr9:123653477	LOC253039	chr9:123605320-123616644:+	-0.34	-6.7	5.92E-11	Rheumatoid arthritis	
LUAD	cis	1	rs10120103	chr9:102695468	STX17	chr9:102668915-102736817:+	-0.17	-3.68	0.000263	Alopecia areata	
LUAD	cis	1	rs10121601	chr9:102687445	STX17	chr9:102668915-102736817:+	-0.18	-3.79	0.000169	Alopecia areata	
LUAD	cis	1	rs10123261	chr9:102695442	STX17	chr9:102668915-102736817:+	-0.18	-3.83	0.000147	Alopecia areata	
LUAD	cis	1	rs10127539	chr1:110620117	ALX3	chr1:110602998-110613322:-	-0.2	-3.99	7.54E-5	Blood metabolite levels	
LUAD	cis	1	rs10128711	chr11:18632984	SPTY2D1	chr11:18627949-18656020:-	-0.22	-4.89	1.37E-6	Cholesterol, total	
LUAD	cis	1	rs10136440	chr14:104397367	TDRD9	chr14:104394817-104519002:+	-0.26	-3.99	7.76E-5	Bipolar disorder	
LUAD	cis	1	rs10136948	chr14:75511075	MLH3	chr14:75480467-75518235:-	0.24	4.7	3.39E-6	Height	
