cancer.type	eQTL.type	tagSNP	LD	SNP.ID	SNP.position.hg19	Gene.symbol	Gene.position.hg19	Beta	t-stat	P-value	GWAS-Traits	
THYM	cis	1	rs10005733	chr4:292001	ZNF718	chr4:53272-156488:+	0.54	6.46	4.44E-9	Immune response to smallpox vaccine (IL-6)	
THYM	cis	1	rs10006789	chr4:1330333	CRIPAK	chr4:1385340-1389782:+	0.76	6.54	3.04E-9	Systolic blood pressure	
THYM	cis	1	rs10008757	chr4:76903036	NAAA	chr4:76831809-76862166:-	-0.46	-4.92	3.56E-6	Longevity	
THYM	cis	1	rs10021364	chr4:310691	ZNF718	chr4:53272-156488:+	-0.66	-6.89	6.07E-10	Immune response to smallpox vaccine (IL-6)	
THYM	cis	1	rs10023335	chr4:77358987	STBD1	chr4:77172853-77232282:+	-0.48	-4.23	5.35E-5	Creatinine levels	
THYM	cis	1	rs10027325	chr4:282608	ZNF718	chr4:53272-156488:+	0.52	5.94	4.59E-8	Immune response to smallpox vaccine (IL-6)	
THYM	cis	1	rs10028351	chr4:71295971	AMTN	chr4:71384298-71398459:+	0.42	4.59	1.36E-5	Alcoholism (heaviness of drinking)	
THYM	cis	1	rs10051747	chr5:56083289	C5orf35	chr5:56205103-56213010:+	0.74	8.92	3.44E-14	Type 2 diabetes	
THYM	cis	1	rs1005224	chr14:76173860	TTLL5	chr14:76127621-76421421:+	0.33	4.35	3.48E-5	Large artery stroke	
THYM	cis	1	rs10078	chr5:438102	C5orf55	chr5:441645-443258:-	0.37	4.77	6.74E-6	Fat distribution (HIV)	
THYM	cis	1	rs1009242	chr9:131916832	CRAT	chr9:131857075-131873070:-	0.38	4.61	1.24E-5	Blood metabolite ratios	
THYM	cis	1	rs1010117	chr20:23608421	CST9	chr20:23583049-23586610:-	-0.51	-4.73	7.71E-6	Chronic kidney disease	
THYM	cis	1	rs10117059	chr9:123653477	LOC253039	chr9:123605320-123616644:+	-0.62	-5.56	2.51E-7	Rheumatoid arthritis	
THYM	cis	1	rs10140433	chr14:74659989	LIN52	chr14:74551656-74667117:+	-0.39	-7.22	1.25E-10	Common traits (Other)	
THYM	cis	1	rs10144220	chr14:74647904	LIN52	chr14:74551656-74667117:+	-0.39	-7.16	1.73E-10	Common traits (Other)	
THYM	cis	1	rs10150201	chr14:74649157	LIN52	chr14:74551656-74667117:+	-0.39	-7.16	1.73E-10	Common traits (Other)	
THYM	cis	1	rs10157597	chr1:45990278	CCDC163P	chr1:45960581-45965646:-	-0.85	-14.31	1.95E-25	Homocysteine levels	
THYM	cis	1	rs1016669	chr3:41894440	ULK4	chr3:41288091-42003660:-	1.02	11.47	1.22E-19	Diastolic blood pressure	
THYM	cis	1	rs10167422	chr2:227777554	RHBDD1	chr2:227700773-227861591:+	-0.31	-4.54	1.67E-5	Pulmonary function	
THYM	cis	1	rs10169714	chr2:73808773	ALMS1P	chr2:73872046-73912692:+	0.59	4.53	1.69E-5	Metabolite levels	
THYM	cis	1	rs10175180	chr2:73673123	ALMS1P	chr2:73872046-73912692:+	0.58	4.72	8.0E-6	Metabolite levels	
THYM	cis	1	rs10178409	chr2:73855507	ALMS1P	chr2:73872046-73912692:+	0.66	4.97	2.93E-6	Urinary metabolites	
THYM	cis	1	rs10179134	chr2:73637519	ALMS1P	chr2:73872046-73912692:+	0.58	4.3	4.1E-5	Metabolite levels	
THYM	cis	1	rs1018184	chr6:86648475	SNHG5	chr6:86386726-86388451:-	0.57	6.85	7.2E-10	Response to antipsychotic treatment	
THYM	cis	1	rs10184268	chr2:73627044	ALMS1P	chr2:73872046-73912692:+	0.57	4.51	1.85E-5	Metabolite levels	
THYM	cis	1	rs10186501	chr2:73697844	ALMS1P	chr2:73872046-73912692:+	0.58	4.72	8.0E-6	Metabolite levels	
THYM	cis	1	rs10187192	chr2:73713500	ALMS1P	chr2:73872046-73912692:+	0.63	4.71	8.5E-6	Metabolite levels	
THYM	cis	1	rs10187416	chr2:73713741	ALMS1P	chr2:73872046-73912692:+	0.57	4.73	7.87E-6	Metabolite levels	
THYM	cis	1	rs10189574	chr2:73698518	ALMS1P	chr2:73872046-73912692:+	0.58	4.72	8.0E-6	Metabolite levels	
THYM	cis	1	rs10190219	chr2:73658331	ALMS1P	chr2:73872046-73912692:+	0.63	4.71	8.5E-6	Metabolite levels	
THYM	cis	1	rs10193316	chr2:227777650	RHBDD1	chr2:227700773-227861591:+	-0.31	-4.54	1.67E-5	Pulmonary function	
THYM	cis	1	rs10193373	chr2:281886	SH3YL1	chr2:218138-264810:-	-0.34	-4.91	3.83E-6	Spherical equivalent (joint main effects and education interaction)	
THYM	cis	1	rs10193404	chr2:227777757	RHBDD1	chr2:227700773-227861591:+	-0.31	-4.51	1.82E-5	Pulmonary function	
THYM	cis	1	rs10193972	chr2:73717656	ALMS1P	chr2:73872046-73912692:+	0.58	4.75	7.12E-6	Metabolite levels	
